age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
10,7.35,30.35,22.49,7.43,21.96,7.23,14.37,14.5,14.75,7.48,29.92,7.6,15.83,8.02,0.0,8.01,8.0,24.19,8.16,16.77,8.76,35.62,0.0,17.29,0.0,16.54,15.75,7.55,6.72,6.61,6.41,6.23,6.05,5.89,5.74,5.59,5.46,5.33,5.21,5.1,4.99,4.89,4.8,4.72,4.63,4.56,4.49,4.42,4.35,4.3,4.24,4.19,4.14,4.09,4.04,3.99,3.94,3.89,3.85,3.8,3.75,3.71,3.67,3.62,3.58,3.53,3.49,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.13,3.1,3.06,3.02,2.99,2.95,2.91,2.88,2.84,2.81,2.78,2.74,2.71
11,29.49,22.69,44.92,22.28,29.11,7.22,21.51,7.27,29.51,14.95,15.0,0.0,0.0,16.0,31.82,15.94,15.93,32.17,0.0,8.38,17.49,8.89,8.88,8.63,8.46,32.97,7.84,7.05,6.93,6.72,6.52,6.33,6.15,5.99,5.83,5.69,5.55,5.42,5.3,5.19,5.08,4.99,4.89,4.81,4.73,4.65,4.58,4.51,4.45,4.39,4.34,4.29,4.23,4.18,4.13,4.08,4.03,3.99,3.94,3.89,3.84,3.8,3.75,3.71,3.66,3.62,3.58,3.53,3.49,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.13,3.09,3.06,3.02,2.98,2.95,2.91,2.88,2.84,2.81,2.78
12,29.54,30.27,29.87,37.01,29.05,0.0,21.54,43.54,22.1,7.49,30.04,22.95,23.73,0.0,31.65,15.87,15.89,24.06,16.29,16.74,17.5,8.87,8.84,0.0,0.0,16.41,8.02,7.87,7.61,7.37,7.15,6.94,6.74,6.56,6.39,6.23,6.08,5.94,5.81,5.69,5.57,5.47,5.37,5.28,5.19,5.11,5.03,4.96,4.9,4.84,4.78,4.72,4.66,4.61,4.55,4.5,4.44,4.39,4.34,4.29,4.23,4.18,4.13,4.08,4.04,3.99,3.94,3.89,3.84,3.8,3.75,3.71,3.66,3.62,3.58,3.53,3.49,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.13,3.09,3.06
13,44.4,22.72,14.85,14.8,29.01,14.4,7.19,14.54,22.15,14.99,0.0,22.98,47.33,31.64,15.76,0.0,0.0,8.01,8.12,25.09,26.15,8.83,0.0,0.0,16.81,9.82,9.62,9.28,8.97,8.69,8.42,8.17,7.93,7.72,7.51,7.32,7.15,6.98,6.83,6.69,6.56,6.44,6.32,6.22,6.12,6.03,5.94,5.86,5.79,5.72,5.65,5.58,5.51,5.45,5.38,5.32,5.25,5.19,5.13,5.07,5.01,4.95,4.89,4.83,4.77,4.71,4.66,4.6,4.55,4.49,4.44,4.38,4.33,4.28,4.23,4.18,4.13,4.08,4.03,3.98,3.93,3.89,3.84,3.79,3.75,3.7,3.66,3.61
14,37.11,22.71,22.22,29.59,21.78,14.4,21.45,50.99,44.37,22.51,15.07,46.02,15.73,23.64,7.86,15.82,15.84,39.9,24.33,8.33,17.38,17.6,8.77,8.53,13.13,12.83,12.36,11.93,11.52,11.15,10.8,10.47,10.17,9.89,9.63,9.39,9.17,8.96,8.77,8.59,8.42,8.27,8.13,8.0,7.87,7.76,7.66,7.56,7.47,7.38,7.29,7.2,7.12,7.03,6.95,6.86,6.78,6.7,6.62,6.54,6.46,6.38,6.31,6.23,6.16,6.08,6.01,5.94,5.87,5.8,5.73,5.66,5.59,5.52,5.46,5.39,5.33,5.26,5.2,5.14,5.08,5.01,4.95,4.89,4.84,4.78,4.72,4.66
15,67.0,52.98,44.37,22.24,58.0,49.99,50.17,29.2,22.23,52.6,52.71,76.6,47.18,39.24,54.94,31.63,15.8,39.91,40.44,33.25,17.33,35.09,17.47,17.49,17.06,16.41,15.81,15.25,14.73,14.25,13.81,13.39,13.01,12.66,12.33,12.02,11.74,11.48,11.24,11.02,10.81,10.62,10.45,10.29,10.14,10.0,9.88,9.76,9.64,9.52,9.41,9.3,9.19,9.07,8.97,8.86,8.75,8.65,8.54,8.44,8.34,8.24,8.14,8.04,7.95,7.85,7.76,7.66,7.57,7.48,7.39,7.3,7.21,7.13,7.04,6.96,6.87,6.79,6.71,6.63,6.55,6.47,6.39,6.32,6.24,6.17,6.09,6.02
16,59.8,68.27,73.97,74.2,57.51,28.65,43.08,29.28,74.18,37.57,67.8,76.71,31.38,23.49,39.17,94.8,47.48,7.97,8.07,41.44,17.29,26.23,23.81,23.2,22.28,21.44,20.66,19.93,19.27,18.65,18.08,17.55,17.06,16.6,16.18,15.8,15.44,15.11,14.8,14.52,14.27,14.03,13.81,13.61,13.42,13.25,13.09,12.94,12.78,12.63,12.48,12.33,12.18,12.03,11.89,11.74,11.6,11.46,11.33,11.19,11.06,10.92,10.79,10.66,10.54,10.41,10.28,10.16,10.04,9.92,9.8,9.68,9.57,9.45,9.34,9.23,9.11,9.01,8.9,8.79,8.68,8.58,8.48,8.38,8.28,8.18,8.08,7.98
17,75.72,61.38,89.3,74.37,64.72,57.3,35.98,102.42,81.48,22.51,128.17,84.37,39.14,101.32,46.98,23.71,31.61,55.63,32.22,16.55,25.86,32.56,31.69,30.42,29.25,28.17,27.17,26.24,25.38,24.59,23.86,23.19,22.56,21.98,21.45,20.96,20.51,20.09,19.71,19.35,19.03,18.73,18.46,18.21,17.97,17.75,17.54,17.33,17.12,16.92,16.71,16.51,16.32,16.12,15.93,15.74,15.55,15.36,15.18,14.99,14.81,14.64,14.46,14.29,14.12,13.95,13.78,13.61,13.45,13.29,13.13,12.97,12.82,12.66,12.51,12.36,12.21,12.07,11.92,11.78,11.64,11.5,11.36,11.22,11.09,10.95,10.82,10.69
18,64.78,97.54,83.43,134.6,79.99,114.96,158.56,73.08,126.23,112.73,67.52,91.89,70.23,78.12,70.68,71.0,71.19,63.71,48.36,16.56,41.63,40.51,38.88,37.37,35.98,34.69,33.5,32.4,31.39,30.45,29.58,28.78,28.04,27.36,26.73,26.15,25.62,25.12,24.67,24.26,23.88,23.53,23.21,22.91,22.63,22.36,22.09,21.83,21.57,21.31,21.05,20.8,20.55,20.3,20.06,19.82,19.58,19.35,19.11,18.88,18.66,18.43,18.21,17.99,17.78,17.57,17.35,17.15,16.94,16.74,16.54,16.34,16.14,15.95,15.76,15.57,15.38,15.2,15.01,14.83,14.66,14.48,14.31,14.13,13.96,13.8,13.63,13.47
19,110.29,102.12,77.77,77.63,67.27,51.9,141.23,120.6,167.58,99.4,137.78,117.28,104.18,87.69,64.16,24.16,80.85,57.28,90.66,51.64,50.27,48.26,46.4,44.68,43.09,41.62,40.27,39.01,37.85,36.78,35.79,34.87,34.03,33.25,32.53,31.87,31.26,30.7,30.18,29.71,29.28,28.88,28.51,28.16,27.83,27.49,27.16,26.84,26.52,26.2,25.88,25.57,25.27,24.96,24.66,24.37,24.07,23.79,23.5,23.22,22.94,22.66,22.39,22.12,21.86,21.6,21.34,21.08,20.83,20.58,20.33,20.09,19.85,19.61,19.37,19.14,18.91,18.68,18.46,18.24,18.02,17.8,17.59,17.38,17.17,16.96,16.76,16.56
