age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
10,20.16,17.11,17.14,11.12,19.91,12.26,16.43,13.63,13.66,13.82,14.82,9.6,8.58,12.97,11.27,12.51,6.23,11.75,8.66,8.19,8.38,9.17,8.33,10.98,10.99,7.22,5.83,8.49,6.29,6.17,5.99,5.81,5.65,5.5,5.35,5.22,5.09,4.97,4.86,4.76,4.66,4.57,4.48,4.4,4.32,4.25,4.19,4.12,4.06,4.01,3.96,3.91,3.86,3.81,3.77,3.72,3.68,3.63,3.59,3.55,3.5,3.46,3.42,3.38,3.34,3.3,3.26,3.22,3.18,3.14,3.11,3.07,3.03,3.0,2.96,2.92,2.89,2.85,2.82,2.79,2.75,2.72,2.69,2.65,2.62,2.59,2.56,2.53
11,15.61,18.43,17.45,14.68,16.07,17.27,16.09,14.81,10.62,14.1,16.56,12.56,9.17,13.82,13.42,11.19,9.0,9.78,9.88,7.49,11.35,6.43,8.94,10.91,8.74,6.88,10.15,6.87,6.73,6.52,6.33,6.15,5.97,5.81,5.66,5.52,5.39,5.26,5.15,5.04,4.94,4.84,4.75,4.67,4.59,4.52,4.45,4.38,4.32,4.27,4.21,4.16,4.11,4.06,4.01,3.97,3.92,3.87,3.82,3.78,3.73,3.69,3.64,3.6,3.56,3.51,3.47,3.43,3.39,3.35,3.31,3.27,3.23,3.19,3.15,3.12,3.08,3.04,3.0,2.97,2.93,2.9,2.86,2.83,2.79,2.76,2.73,2.7
12,20.17,23.36,18.76,16.59,18.25,15.99,16.99,15.4,19.09,12.29,15.34,14.95,17.05,13.17,11.81,9.59,10.49,10.97,10.77,11.02,10.63,11.1,9.22,9.88,9.93,9.81,7.89,7.71,7.46,7.23,7.01,6.8,6.61,6.43,6.26,6.11,5.96,5.82,5.69,5.58,5.46,5.36,5.26,5.17,5.09,5.01,4.93,4.87,4.8,4.74,4.68,4.63,4.57,4.52,4.46,4.41,4.36,4.3,4.25,4.2,4.15,4.1,4.05,4.0,3.96,3.91,3.86,3.82,3.77,3.72,3.68,3.64,3.59,3.55,3.51,3.46,3.42,3.38,3.34,3.3,3.26,3.22,3.18,3.15,3.11,3.07,3.03,3.0
13,18.21,21.04,21.7,20.13,20.39,15.96,16.04,20.51,21.86,17.07,15.34,16.71,18.25,16.46,11.46,13.83,10.42,8.73,10.72,10.65,11.23,10.36,8.83,11.73,11.11,9.52,9.29,8.97,8.67,8.39,8.13,7.89,7.66,7.45,7.26,7.08,6.91,6.75,6.6,6.46,6.34,6.22,6.11,6.0,5.91,5.82,5.74,5.66,5.59,5.52,5.46,5.39,5.33,5.26,5.2,5.14,5.08,5.02,4.95,4.9,4.84,4.78,4.72,4.66,4.61,4.55,4.5,4.44,4.39,4.34,4.29,4.24,4.18,4.13,4.08,4.04,3.99,3.94,3.89,3.85,3.8,3.75,3.71,3.66,3.62,3.58,3.53,3.49
14,26.31,27.25,26.95,24.94,22.84,19.07,24.0,22.13,20.66,20.09,19.44,18.5,18.19,14.26,14.46,12.51,12.79,10.86,13.5,13.47,10.49,14.58,10.39,14.17,11.84,11.53,11.1,10.71,10.35,10.01,9.7,9.41,9.14,8.89,8.65,8.44,8.23,8.05,7.87,7.71,7.56,7.43,7.3,7.18,7.07,6.97,6.88,6.79,6.71,6.63,6.55,6.47,6.39,6.32,6.24,6.16,6.09,6.02,5.95,5.87,5.8,5.73,5.66,5.6,5.53,5.46,5.4,5.33,5.27,5.21,5.14,5.08,5.02,4.96,4.9,4.84,4.78,4.73,4.67,4.61,4.56,4.5,4.45,4.4,4.34,4.29,4.24,4.19
15,34.38,32.11,26.9,23.27,23.8,24.87,28.72,24.56,27.94,22.12,21.06,26.7,20.78,26.44,16.15,16.31,13.95,14.82,14.03,18.45,15.59,17.1,19.98,14.96,14.54,13.99,13.47,12.99,12.55,12.14,11.77,11.41,11.09,10.79,10.51,10.25,10.01,9.79,9.58,9.39,9.22,9.05,8.91,8.77,8.64,8.52,8.42,8.31,8.21,8.12,8.02,7.92,7.83,7.73,7.64,7.55,7.46,7.37,7.28,7.19,7.11,7.02,6.94,6.85,6.77,6.69,6.61,6.53,6.45,6.38,6.3,6.22,6.15,6.07,6.0,5.93,5.86,5.79,5.72,5.65,5.58,5.52,5.45,5.38,5.32,5.26,5.19,5.13
16,47.91,47.76,38.6,40.67,33.18,40.67,34.93,31.84,32.41,35.59,31.62,34.18,26.56,21.38,24.1,17.73,22.03,22.38,18.86,21.11,23.84,22.49,18.92,18.37,17.64,16.98,16.36,15.79,15.26,14.77,14.31,13.89,13.51,13.15,12.81,12.51,12.22,11.96,11.72,11.5,11.3,11.11,10.93,10.78,10.63,10.49,10.37,10.24,10.12,10.0,9.88,9.76,9.64,9.53,9.41,9.3,9.19,9.08,8.97,8.86,8.75,8.65,8.55,8.44,8.34,8.24,8.14,8.05,7.95,7.85,7.76,7.67,7.57,7.48,7.39,7.3,7.22,7.13,7.04,6.96,6.88,6.79,6.71,6.63,6.55,6.47,6.4,6.32
17,54.09,61.09,53.49,55.59,56.25,49.8,51.06,54.84,53.46,47.92,47.24,45.57,34.21,31.65,31.76,27.81,27.81,27.9,26.57,31.19,33.46,23.67,22.96,22.04,21.19,20.41,19.68,19.01,18.39,17.82,17.29,16.8,16.35,15.93,15.54,15.19,14.86,14.56,14.28,14.02,13.79,13.57,13.37,13.19,13.02,12.86,12.71,12.56,12.41,12.26,12.11,11.96,11.82,11.68,11.54,11.4,11.26,11.13,11.0,10.86,10.73,10.6,10.48,10.35,10.23,10.1,9.98,9.86,9.75,9.63,9.51,9.4,9.29,9.17,9.06,8.96,8.85,8.74,8.64,8.53,8.43,8.33,8.23,8.13,8.03,7.94,7.84,7.75
18,72.73,79.39,82.21,73.44,71.65,63.62,63.0,60.17,53.17,53.35,53.54,48.1,37.44,49.56,39.05,42.3,37.8,36.2,36.58,44.66,29.17,28.29,27.15,26.09,25.12,24.22,23.39,22.62,21.91,21.26,20.65,20.09,19.58,19.1,18.66,18.26,17.88,17.54,17.23,16.94,16.67,16.43,16.2,16.0,15.8,15.61,15.43,15.24,15.06,14.88,14.7,14.52,14.35,14.18,14.01,13.84,13.67,13.51,13.34,13.18,13.03,12.87,12.72,12.56,12.41,12.26,12.12,11.97,11.83,11.69,11.55,11.41,11.27,11.13,11.0,10.87,10.74,10.61,10.48,10.36,10.23,10.11,9.99,9.87,9.75,9.63,9.52,9.4
19,76.53,86.19,70.92,64.7,62.05,67.88,65.34,59.38,59.76,57.01,40.53,39.28,43.83,46.02,45.26,45.99,40.32,39.62,43.4,34.55,33.52,32.17,30.93,29.79,28.73,27.75,26.84,26.01,25.23,24.52,23.86,23.25,22.69,22.17,21.69,21.25,20.84,20.47,20.12,19.81,19.52,19.25,19.01,18.78,18.55,18.33,18.11,17.89,17.68,17.46,17.26,17.05,16.84,16.64,16.44,16.24,16.05,15.86,15.67,15.48,15.29,15.11,14.93,14.75,14.57,14.4,14.22,14.05,13.89,13.72,13.55,13.39,13.23,13.07,12.91,12.76,12.61,12.46,12.31,12.16,12.01,11.87,11.73,11.59,11.45,11.31,11.17,11.04
20,78.9,86.37,81.79,74.4,65.51,67.74,65.08,72.83,56.56,50.73,50.03,44.51,41.39,45.52,46.65,49.31,45.76,50.46,38.85,37.72,36.24,34.87,33.61,32.44,31.35,30.35,29.42,28.56,27.77,27.03,26.35,25.72,25.14,24.61,24.11,23.66,23.24,22.85,22.5,22.17,21.87,21.59,21.33,21.07,20.82,20.57,20.32,20.08,19.84,19.6,19.37,19.13,18.9,18.68,18.45,18.23,18.01,17.8,17.58,17.37,17.16,16.96,16.75,16.55,16.35,16.16,15.96,15.77,15.58,15.4,15.21,15.03,14.85,14.67,14.49,14.32,14.15,13.98,13.81,13.65,13.48,13.32,13.16,13.0,12.85,12.69,12.54,12.39
21,74.68,78.2,62.39,69.65,62.39,69.72,62.13,65.21,59.61,49.3,43.51,42.64,47.93,47.37,49.62,43.83,53.31,41.68,40.53,38.99,37.56,36.24,35.02,33.89,32.84,31.86,30.96,30.12,29.34,28.62,27.95,27.34,26.77,26.24,25.75,25.3,24.89,24.5,24.15,23.83,23.52,23.24,22.96,22.68,22.41,22.14,21.88,21.61,21.36,21.1,20.85,20.6,20.35,20.1,19.86,19.62,19.39,19.16,18.93,18.7,18.48,18.25,18.03,17.82,17.6,17.39,17.18,16.98,16.77,16.57,16.37,16.18,15.98,15.79,15.6,15.42,15.23,15.05,14.87,14.69,14.51,14.34,14.17,14.0,13.83,13.66,13.5,13.34
22,81.56,78.64,70.45,73.52,65.82,65.47,58.0,56.15,53.54,45.94,41.67,45.71,46.91,50.19,45.06,49.62,43.13,42.01,40.49,39.07,37.76,36.53,35.4,34.34,33.36,32.45,31.6,30.81,30.08,29.4,28.77,28.19,27.65,27.14,26.68,26.25,25.85,25.48,25.14,24.82,24.52,24.23,23.94,23.65,23.37,23.09,22.81,22.53,22.26,22.0,21.73,21.47,21.21,20.96,20.71,20.46,20.21,19.97,19.73,19.5,19.26,19.03,18.8,18.58,18.35,18.13,17.92,17.7,17.49,17.28,17.07,16.87,16.66,16.46,16.27,16.07,15.88,15.69,15.5,15.31,15.13,14.95,14.77,14.59,14.42,14.24,14.07,13.9
23,81.01,72.91,65.33,65.55,69.49,61.78,62.54,47.53,52.63,50.75,56.25,53.37,52.14,44.24,49.73,43.52,42.48,41.01,39.65,38.37,37.19,36.09,35.06,34.1,33.21,32.37,31.6,30.87,30.2,29.57,28.99,28.45,27.95,27.48,27.04,26.64,26.27,25.92,25.59,25.28,24.98,24.68,24.38,24.09,23.8,23.51,23.23,22.95,22.68,22.41,22.14,21.87,21.61,21.35,21.09,20.84,20.59,20.34,20.1,19.86,19.62,19.38,19.15,18.92,18.69,18.47,18.25,18.03,17.81,17.6,17.39,17.18,16.97,16.77,16.57,16.37,16.17,15.98,15.79,15.6,15.41,15.23,15.04,14.86,14.68,14.51,14.33,14.16
24,66.46,66.09,69.28,68.11,62.01,58.86,46.33,46.29,51.13,53.31,54.57,53.75,46.99,53.56,43.74,42.78,41.38,40.08,38.86,37.73,36.66,35.67,34.74,33.87,33.06,32.3,31.59,30.93,30.31,29.73,29.19,28.69,28.22,27.78,27.38,26.99,26.64,26.3,25.99,25.67,25.37,25.06,24.76,24.46,24.17,23.88,23.59,23.31,23.03,22.75,22.48,22.21,21.95,21.68,21.42,21.16,20.91,20.66,20.41,20.17,19.93,19.69,19.45,19.22,18.99,18.76,18.53,18.31,18.09,17.87,17.66,17.45,17.24,17.03,16.83,16.63,16.43,16.23,16.03,15.84,15.65,15.46,15.28,15.09,14.91,14.73,14.56,14.38
25,74.57,69.24,61.98,66.61,58.83,58.28,50.91,56.2,45.48,61.91,56.54,54.23,51.3,44.58,43.67,42.33,41.06,39.88,38.77,37.73,36.75,35.84,34.98,34.18,33.42,32.72,32.05,31.43,30.85,30.31,29.8,29.33,28.88,28.46,28.07,27.7,27.36,27.03,26.7,26.38,26.06,25.75,25.44,25.14,24.84,24.54,24.24,23.95,23.67,23.38,23.1,22.82,22.55,22.28,22.01,21.75,21.49,21.23,20.97,20.72,20.47,20.23,19.99,19.75,19.51,19.27,19.04,18.82,18.59,18.37,18.15,17.93,17.71,17.5,17.29,17.08,16.88,16.68,16.48,16.28,16.08,15.89,15.7,15.51,15.32,15.14,14.96,14.78
26,71.91,76.22,74.81,59.37,54.87,53.33,57.14,66.06,49.64,58.51,51.03,55.17,46.31,45.45,44.12,42.86,41.69,40.58,39.54,38.56,37.64,36.78,35.97,35.2,34.49,33.81,33.18,32.58,32.02,31.5,31.01,30.54,30.11,29.7,29.31,28.95,28.6,28.25,27.92,27.58,27.25,26.92,26.6,26.28,25.97,25.65,25.35,25.04,24.74,24.44,24.15,23.86,23.57,23.29,23.01,22.74,22.46,22.19,21.93,21.66,21.4,21.15,20.89,20.64,20.4,20.15,19.91,19.67,19.43,19.2,18.97,18.74,18.52,18.3,18.08,17.86,17.65,17.43,17.22,17.02,16.81,16.61,16.41,16.22,16.02,15.83,15.64,15.45
27,71.78,66.23,62.9,53.77,52.73,61.64,61.85,56.04,56.3,53.76,58.17,48.8,47.96,46.61,45.35,44.15,43.03,41.97,40.97,40.03,39.15,38.31,37.53,36.78,36.09,35.43,34.81,34.23,33.68,33.16,32.67,32.21,31.78,31.36,30.98,30.6,30.23,29.87,29.51,29.16,28.81,28.46,28.12,27.78,27.45,27.12,26.8,26.47,26.16,25.84,25.53,25.23,24.92,24.62,24.33,24.04,23.75,23.46,23.18,22.9,22.63,22.36,22.09,21.82,21.56,21.3,21.05,20.8,20.55,20.3,20.06,19.82,19.58,19.34,19.11,18.88,18.65,18.43,18.21,17.99,17.78,17.56,17.35,17.14,16.94,16.73,16.53,16.34
