age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
28,76.6,61.23,66.22,59.67,53.01,62.82,62.29,65.04,59.84,63.59,52.21,51.39,50.02,48.73,47.51,46.35,45.27,44.24,43.26,42.35,41.48,40.66,39.88,39.15,38.46,37.8,37.19,36.6,36.05,35.53,35.03,34.57,34.12,33.7,33.29,32.89,32.5,32.11,31.72,31.34,30.97,30.6,30.23,29.87,29.51,29.15,28.8,28.46,28.12,27.78,27.45,27.12,26.79,26.47,26.15,25.84,25.53,25.22,24.92,24.62,24.33,24.03,23.75,23.46,23.18,22.9,22.63,22.35,22.09,21.82,21.56,21.3,21.05,20.79,20.54,20.3,20.05,19.81,19.57,19.34,19.11,18.88,18.65,18.43,18.21,17.99,17.77,17.56
29,74.14,65.93,63.58,64.03,66.29,57.66,66.37,60.48,68.74,56.17,55.36,53.96,52.64,51.38,50.19,49.06,48.0,46.99,46.03,45.12,44.26,43.44,42.67,41.94,41.24,40.59,39.96,39.37,38.81,38.28,37.77,37.29,36.83,36.38,35.95,35.51,35.09,34.67,34.25,33.84,33.43,33.03,32.64,32.25,31.86,31.48,31.1,30.73,30.36,29.99,29.63,29.28,28.93,28.58,28.24,27.9,27.56,27.23,26.91,26.58,26.26,25.95,25.64,25.33,25.03,24.73,24.43,24.14,23.85,23.56,23.28,23.0,22.72,22.45,22.18,21.91,21.65,21.39,21.13,20.88,20.63,20.38,20.14,19.9,19.66,19.42,19.19,18.96
30,71.48,69.46,65.0,77.06,61.03,72.16,63.19,72.09,60.6,59.83,58.4,57.05,55.76,54.54,53.38,52.27,51.22,50.22,49.27,48.37,47.52,46.7,45.92,45.19,44.49,43.82,43.18,42.58,42.0,41.45,40.93,40.42,39.94,39.46,38.98,38.52,38.05,37.6,37.15,36.7,36.26,35.82,35.39,34.97,34.55,34.14,33.73,33.32,32.92,32.53,32.14,31.75,31.37,30.99,30.62,30.25,29.89,29.53,29.18,28.83,28.48,28.14,27.8,27.47,27.14,26.81,26.49,26.17,25.86,25.55,25.24,24.94,24.64,24.35,24.05,23.77,23.48,23.2,22.92,22.65,22.37,22.1,21.84,21.58,21.32,21.06,20.81,20.56
31,73.65,76.88,72.3,64.06,75.79,70.36,84.95,65.3,64.58,63.14,61.76,60.46,59.21,58.02,56.89,55.8,54.77,53.79,52.85,51.95,51.09,50.28,49.5,48.75,48.04,47.36,46.71,46.08,45.49,44.92,44.36,43.83,43.3,42.78,42.27,41.76,41.26,40.77,40.28,39.8,39.32,38.85,38.38,37.92,37.46,37.02,36.57,36.13,35.7,35.27,34.85,34.43,34.02,33.61,33.2,32.81,32.41,32.02,31.64,31.26,30.88,30.51,30.15,29.79,29.43,29.08,28.73,28.38,28.04,27.71,27.37,27.04,26.72,26.4,26.08,25.77,25.46,25.16,24.85,24.56,24.26,23.97,23.68,23.4,23.12,22.84,22.57,22.29
32,79.21,74.17,89.15,86.99,75.85,70.27,70.47,69.81,68.38,67.01,65.7,64.44,63.23,62.08,60.97,59.91,58.9,57.92,56.99,56.09,55.23,54.41,53.62,52.86,52.13,51.43,50.76,50.11,49.48,48.88,48.29,47.71,47.14,46.57,46.01,45.46,44.92,44.38,43.84,43.32,42.8,42.28,41.78,41.28,40.78,40.29,39.81,39.33,38.86,38.39,37.93,37.48,37.03,36.58,36.14,35.71,35.28,34.86,34.44,34.03,33.62,33.22,32.82,32.42,32.03,31.65,31.27,30.9,30.52,30.16,29.8,29.44,29.09,28.74,28.39,28.05,27.71,27.38,27.05,26.73,26.41,26.09,25.78,25.47,25.16,24.86,24.56,24.27
33,79.81,82.0,86.58,78.55,91.95,76.05,75.49,74.07,72.71,71.4,70.13,68.92,67.75,66.62,65.54,64.5,63.49,62.52,61.59,60.69,59.82,58.98,58.17,57.39,56.63,55.91,55.2,54.52,53.85,53.2,52.57,51.93,51.31,50.7,50.09,49.49,48.89,48.31,47.73,47.15,46.59,46.03,45.48,44.93,44.39,43.86,43.33,42.81,42.3,41.79,41.29,40.8,40.31,39.82,39.35,38.87,38.41,37.95,37.49,37.04,36.6,36.16,35.72,35.3,34.87,34.45,34.04,33.63,33.23,32.83,32.44,32.05,31.66,31.28,30.91,30.54,30.17,29.81,29.45,29.1,28.75,28.4,28.06,27.73,27.39,27.06,26.74,26.42
34,90.28,90.02,87.86,92.94,82.08,81.63,80.24,78.9,77.6,76.34,75.13,73.95,72.81,71.7,70.63,69.6,68.59,67.62,66.68,65.76,64.88,64.02,63.18,62.37,61.58,60.81,60.07,59.34,58.62,57.92,57.23,56.54,55.86,55.19,54.53,53.88,53.23,52.59,51.96,51.34,50.72,50.11,49.51,48.92,48.33,47.75,47.18,46.61,46.05,45.5,44.95,44.41,43.88,43.35,42.83,42.32,41.81,41.31,40.82,40.33,39.84,39.36,38.89,38.43,37.96,37.51,37.06,36.61,36.18,35.74,35.31,34.89,34.47,34.06,33.65,33.24,32.85,32.45,32.06,31.68,31.3,30.92,30.55,30.18,29.82,29.46,29.11,28.76
35,94.01,96.37,98.75,89.0,88.68,87.32,86.01,84.72,83.48,82.26,81.08,79.92,78.8,77.7,76.64,75.6,74.58,73.59,72.63,71.69,70.77,69.87,68.99,68.14,67.3,66.48,65.68,64.89,64.11,63.34,62.58,61.83,61.09,60.35,59.63,58.91,58.21,57.51,56.82,56.14,55.46,54.8,54.14,53.49,52.85,52.22,51.59,50.97,50.36,49.76,49.16,48.57,47.99,47.41,46.84,46.28,45.72,45.18,44.63,44.1,43.57,43.05,42.53,42.02,41.52,41.02,40.53,40.04,39.56,39.08,38.62,38.15,37.69,37.24,36.8,36.35,35.92,35.49,35.06,34.64,34.22,33.81,33.41,33.01,32.61,32.22,31.83,31.45
36,112.56,104.26,96.71,96.53,95.23,93.95,92.7,91.47,90.27,89.08,87.92,86.78,85.67,84.57,83.49,82.44,81.4,80.38,79.38,78.4,77.43,76.49,75.55,74.64,73.74,72.85,71.97,71.11,70.26,69.41,68.58,67.76,66.95,66.14,65.35,64.57,63.79,63.03,62.27,61.52,60.78,60.06,59.34,58.62,57.92,57.23,56.54,55.86,55.19,54.53,53.87,53.23,52.59,51.96,51.34,50.72,50.11,49.51,48.92,48.33,47.75,47.18,46.61,46.05,45.5,44.95,44.41,43.88,43.35,42.83,42.32,41.81,41.31,40.82,40.33,39.84,39.36,38.89,38.42,37.96,37.51,37.06,36.61,36.17,35.74,35.31,34.89,34.47
37,124.5,105.55,105.54,104.29,103.04,101.82,100.61,99.41,98.22,97.05,95.89,94.75,93.62,92.5,91.39,90.3,89.22,88.15,87.1,86.05,85.02,84.0,83.0,82.0,81.02,80.05,79.09,78.14,77.2,76.27,75.36,74.46,73.56,72.68,71.81,70.95,70.1,69.26,68.42,67.6,66.79,65.99,65.2,64.42,63.65,62.88,62.13,61.38,60.65,59.92,59.2,58.49,57.79,57.09,56.41,55.73,55.06,54.4,53.75,53.11,52.47,51.84,51.22,50.6,50.0,49.4,48.8,48.22,47.64,47.07,46.5,45.95,45.39,44.85,44.31,43.78,43.25,42.74,42.22,41.72,41.22,40.72,40.23,39.75,39.27,38.8,38.34,37.88
38,115.21,115.36,114.13,112.91,111.7,110.49,109.28,108.08,106.89,105.7,104.52,103.34,102.17,101.01,99.85,98.7,97.56,96.42,95.29,94.17,93.06,91.95,90.86,89.77,88.7,87.63,86.58,85.54,84.52,83.5,82.5,81.51,80.53,79.57,78.61,77.67,76.74,75.82,74.91,74.01,73.12,72.25,71.38,70.52,69.68,68.84,68.01,67.2,66.39,65.6,64.81,64.03,63.26,62.5,61.76,61.01,60.28,59.56,58.84,58.14,57.44,56.75,56.07,55.4,54.73,54.08,53.43,52.79,52.15,51.53,50.91,50.3,49.7,49.1,48.51,47.93,47.35,46.79,46.22,45.67,45.12,44.58,44.05,43.52,43.0,42.48,41.97,41.47
39,126.12,124.95,123.78,122.6,121.42,120.23,119.03,117.83,116.62,115.41,114.19,112.98,111.76,110.54,109.32,108.1,106.88,105.66,104.44,103.22,102.01,100.81,99.6,98.41,97.23,96.06,94.91,93.77,92.65,91.54,90.44,89.36,88.28,87.22,86.18,85.14,84.12,83.11,82.12,81.13,80.16,79.2,78.25,77.31,76.38,75.47,74.56,73.67,72.78,71.91,71.05,70.19,69.35,68.52,67.7,66.89,66.08,65.29,64.51,63.73,62.97,62.21,61.47,60.73,60.0,59.28,58.57,57.87,57.17,56.49,55.81,55.14,54.48,53.83,53.18,52.54,51.91,51.29,50.67,50.07,49.47,48.87,48.29,47.71,47.13,46.57,46.01,45.46
40,136.51,135.38,134.22,133.05,131.86,130.66,129.44,128.2,126.95,125.69,124.42,123.14,121.85,120.55,119.24,117.93,116.61,115.29,113.97,112.64,111.32,109.99,108.68,107.37,106.08,104.81,103.55,102.31,101.09,99.87,98.68,97.49,96.32,95.17,94.03,92.9,91.78,90.68,89.6,88.52,87.46,86.41,85.37,84.35,83.34,82.34,81.35,80.38,79.41,78.46,77.52,76.59,75.67,74.76,73.86,72.98,72.1,71.24,70.38,69.54,68.71,67.88,67.07,66.26,65.47,64.68,63.91,63.14,62.38,61.63,60.89,60.16,59.44,58.73,58.02,57.33,56.64,55.96,55.29,54.63,53.97,53.32,52.68,52.05,51.43,50.81,50.2,49.6
41,147.65,146.51,145.34,144.15,142.93,141.69,140.42,139.13,137.82,136.48,135.13,133.77,132.38,130.98,129.57,128.15,126.72,125.28,123.83,122.38,120.93,119.48,118.05,116.63,115.23,113.85,112.49,111.14,109.81,108.49,107.19,105.9,104.63,103.38,102.14,100.91,99.7,98.51,97.32,96.16,95.0,93.86,92.74,91.63,90.53,89.44,88.37,87.31,86.26,85.23,84.2,83.19,82.2,81.21,80.24,79.27,78.32,77.38,76.46,75.54,74.63,73.74,72.85,71.98,71.12,70.26,69.42,68.59,67.76,66.95,66.15,65.35,64.57,63.8,63.03,62.27,61.53,60.79,60.06,59.34,58.63,57.92,57.23,56.54,55.86,55.19,54.53,53.88
42,159.57,158.41,157.21,155.97,154.7,153.4,152.06,150.69,149.3,147.87,146.42,144.95,143.45,141.94,140.4,138.85,137.29,135.72,134.13,132.54,130.96,129.39,127.84,126.3,124.79,123.29,121.81,120.35,118.91,117.48,116.08,114.68,113.31,111.95,110.61,109.28,107.97,106.67,105.4,104.13,102.88,101.65,100.43,99.22,98.03,96.86,95.7,94.55,93.42,92.3,91.19,90.09,89.01,87.95,86.89,85.85,84.82,83.8,82.8,81.8,80.82,79.85,78.9,77.95,77.01,76.09,75.18,74.28,73.38,72.5,71.63,70.78,69.93,69.09,68.26,67.44,66.63,65.83,65.04,64.26,63.49,62.73,61.98,61.23,60.5,59.77,59.06,58.35
43,171.64,170.38,169.09,167.75,166.37,164.95,163.5,162.01,160.49,158.94,157.36,155.75,154.12,152.46,150.79,149.1,147.39,145.68,143.95,142.23,140.53,138.84,137.18,135.53,133.91,132.3,130.71,129.15,127.6,126.07,124.56,123.06,121.59,120.13,118.69,117.26,115.86,114.47,113.1,111.74,110.4,109.07,107.77,106.47,105.2,103.94,102.69,101.46,100.24,99.04,97.85,96.68,95.52,94.37,93.24,92.12,91.02,89.92,88.85,87.78,86.73,85.69,84.66,83.64,82.64,81.65,80.67,79.7,78.75,77.8,76.87,75.95,75.04,74.14,73.25,72.37,71.5,70.64,69.79,68.96,68.13,67.31,66.51,65.71,64.92,64.14,63.37,62.61
44,183.99,182.6,181.16,179.68,178.16,176.6,174.99,173.36,171.69,169.98,168.25,166.49,164.71,162.9,161.08,159.23,157.38,155.52,153.66,151.82,150.0,148.2,146.42,144.67,142.93,141.22,139.52,137.85,136.2,134.56,132.95,131.36,129.78,128.22,126.69,125.17,123.67,122.18,120.72,119.27,117.84,116.43,115.03,113.65,112.29,110.94,109.61,108.3,107.0,105.71,104.45,103.19,101.96,100.73,99.53,98.33,97.15,95.99,94.84,93.7,92.57,91.46,90.37,89.28,88.21,87.15,86.11,85.08,84.06,83.05,82.05,81.07,80.09,79.13,78.18,77.25,76.32,75.41,74.5,73.61,72.72,71.85,70.99,70.14,69.3,68.47,67.64,66.83
45,196.85,195.31,193.73,192.09,190.41,188.69,186.93,185.14,183.3,181.44,179.55,177.62,175.68,173.71,171.73,169.73,167.72,165.72,163.73,161.77,159.83,157.91,156.02,154.15,152.3,150.47,148.67,146.89,145.12,143.38,141.67,139.97,138.29,136.63,134.99,133.37,131.77,130.19,128.63,127.09,125.57,124.06,122.57,121.1,119.65,118.21,116.8,115.4,114.01,112.65,111.29,109.96,108.64,107.34,106.05,104.78,103.52,102.28,101.05,99.84,98.64,97.46,96.29,95.14,94.0,92.87,91.75,90.65,89.57,88.49,87.43,86.38,85.35,84.32,83.31,82.31,81.32,80.35,79.39,78.43,77.49,76.56,75.64,74.74,73.84,72.95,72.08,71.22
46,209.73,207.98,206.18,204.33,202.45,200.53,198.57,196.58,194.56,192.51,190.43,188.33,186.22,184.08,181.93,179.78,177.63,175.5,173.4,171.32,169.27,167.24,165.23,163.25,161.29,159.36,157.45,155.56,153.7,151.85,150.03,148.23,146.46,144.7,142.96,141.25,139.56,137.88,136.23,134.6,132.98,131.39,129.81,128.25,126.72,125.2,123.7,122.21,120.75,119.3,117.87,116.45,115.06,113.68,112.31,110.97,109.64,108.32,107.02,105.74,104.47,103.22,101.98,100.76,99.55,98.35,97.17,96.01,94.86,93.72,92.6,91.49,90.39,89.3,88.23,87.17,86.13,85.1,84.08,83.07,82.07,81.09,80.11,79.15,78.2,77.26,76.34,75.42
47,222.65,220.63,218.58,216.5,214.38,212.23,210.06,207.86,205.63,203.39,201.12,198.84,196.55,194.25,191.95,189.66,187.38,185.14,182.92,180.72,178.56,176.42,174.3,172.21,170.15,168.11,166.09,164.1,162.13,160.19,158.27,156.37,154.5,152.64,150.81,149.0,147.22,145.45,143.71,141.99,140.28,138.6,136.94,135.3,133.67,132.07,130.49,128.92,127.38,125.85,124.34,122.85,121.38,119.92,118.48,117.06,115.66,114.27,112.9,111.55,110.21,108.89,107.58,106.29,105.02,103.76,102.51,101.28,100.07,98.87,97.68,96.51,95.35,94.21,93.08,91.96,90.86,89.77,88.69,87.63,86.58,85.54,84.51,83.5,82.5,81.51,80.53,79.56
48,235.15,232.84,230.51,228.16,225.79,223.4,221.0,218.58,216.15,213.71,211.26,208.81,206.35,203.9,201.46,199.05,196.66,194.3,191.97,189.67,187.4,185.15,182.93,180.74,178.57,176.43,174.32,172.23,170.16,168.12,166.11,164.11,162.15,160.2,158.28,156.38,154.51,152.66,150.83,149.02,147.23,145.46,143.72,142.0,140.29,138.61,136.95,135.31,133.68,132.08,130.5,128.93,127.39,125.86,124.35,122.86,121.39,119.93,118.49,117.07,115.67,114.28,112.91,111.55,110.22,108.89,107.59,106.3,105.02,103.76,102.52,101.29,100.07,98.87,97.69,96.52,95.36,94.22,93.09,91.97,90.87,89.78,88.7,87.64,86.58,85.55,84.52,83.51
49,247.67,245.05,242.43,239.8,237.16,234.53,231.89,229.26,226.62,223.99,221.37,218.75,216.15,213.56,211.0,208.47,205.97,203.5,201.06,198.65,196.27,193.92,191.59,189.3,187.03,184.79,182.57,180.38,178.22,176.08,173.97,171.89,169.82,167.79,165.78,163.79,161.83,159.88,157.97,156.07,154.2,152.35,150.53,148.72,146.94,145.18,143.44,141.72,140.02,138.34,136.68,135.04,133.42,131.82,130.24,128.68,127.13,125.61,124.1,122.62,121.14,119.69,118.26,116.84,115.44,114.05,112.69,111.33,110.0,108.68,107.38,106.09,104.82,103.56,102.32,101.09,99.88,98.68,97.5,96.33,95.17,94.03,92.9,91.79,90.69,89.6,88.52,87.46
50,260.41,257.48,254.57,251.67,248.78,245.91,243.05,240.21,237.38,234.57,231.79,229.02,226.28,223.56,220.88,218.24,215.62,213.04,210.48,207.96,205.47,203.0,200.57,198.17,195.79,193.44,191.12,188.83,186.57,184.33,182.12,179.94,177.78,175.65,173.54,171.46,169.41,167.38,165.37,163.39,161.43,159.49,157.58,155.69,153.82,151.98,150.16,148.36,146.58,144.82,143.08,141.37,139.67,138.0,136.34,134.71,133.09,131.5,129.92,128.36,126.82,125.3,123.8,122.31,120.85,119.4,117.97,116.55,115.15,113.77,112.41,111.06,109.73,108.41,107.11,105.83,104.56,103.3,102.07,100.84,99.63,98.44,97.26,96.09,94.94,93.8,92.67,91.56
51,274.12,270.89,267.7,264.53,261.4,258.3,255.23,252.19,249.18,246.2,243.25,240.34,237.46,234.61,231.8,229.02,226.28,223.56,220.88,218.24,215.62,213.04,210.48,207.96,205.47,203.0,200.57,198.17,195.79,193.44,191.12,188.83,186.57,184.33,182.12,179.94,177.78,175.65,173.54,171.46,169.41,167.38,165.37,163.39,161.43,159.49,157.58,155.69,153.82,151.98,150.16,148.36,146.58,144.82,143.08,141.37,139.67,138.0,136.34,134.71,133.09,131.5,129.92,128.36,126.82,125.3,123.8,122.31,120.85,119.4,117.97,116.55,115.15,113.77,112.41,111.06,109.73,108.41,107.11,105.83,104.56,103.3,102.07,100.84,99.63,98.44,97.26,96.09
52,288.94,285.42,281.94,278.52,275.15,271.82,268.54,265.31,262.12,258.97,255.87,252.8,249.77,246.78,243.82,240.9,238.01,235.16,232.34,229.56,226.81,224.09,221.4,218.75,216.13,213.53,210.97,208.45,205.95,203.48,201.04,198.63,196.25,193.9,191.57,189.27,187.01,184.76,182.55,180.36,178.2,176.06,173.95,171.86,169.8,167.77,165.76,163.77,161.81,159.87,157.95,156.06,154.18,152.34,150.51,148.7,146.92,145.16,143.42,141.7,140.0,138.32,136.66,135.02,133.4,131.8,130.22,128.66,127.12,125.6,124.09,122.6,121.13,119.68,118.24,116.82,115.42,114.04,112.67,111.32,109.99,108.67,107.36,106.08,104.8,103.55,102.3,101.08
53,306.15,302.34,298.61,294.93,291.33,287.78,284.29,280.86,277.48,274.16,270.87,267.62,264.42,261.25,258.12,255.02,251.97,248.95,245.96,243.02,240.1,237.23,234.38,231.57,228.8,226.06,223.35,220.67,218.02,215.41,212.83,210.28,207.76,205.27,202.81,200.38,197.97,195.6,193.26,190.94,188.65,186.39,184.15,181.95,179.76,177.61,175.48,173.38,171.3,169.24,167.21,165.21,163.23,161.27,159.34,157.43,155.54,153.67,151.83,150.01,148.21,146.44,144.68,142.94,141.23,139.54,137.86,136.21,134.58,132.96,131.37,129.79,128.24,126.7,125.18,123.68,122.2,120.73,119.28,117.85,116.44,115.04,113.66,112.3,110.95,109.62,108.31,107.01
54,326.72,322.63,318.62,314.68,310.82,307.04,303.32,299.67,296.08,292.53,289.02,285.56,282.14,278.76,275.42,272.12,268.86,265.63,262.45,259.31,256.2,253.13,250.09,247.1,244.14,241.21,238.32,235.46,232.64,229.85,227.1,224.37,221.69,219.03,216.4,213.81,211.25,208.71,206.21,203.74,201.3,198.88,196.5,194.14,191.82,189.52,187.25,185.0,182.78,180.59,178.43,176.29,174.17,172.09,170.02,167.98,165.97,163.98,162.01,160.07,158.15,156.26,154.38,152.53,150.7,148.9,147.11,145.35,143.6,141.88,140.18,138.5,136.84,135.2,133.58,131.97,130.39,128.83,127.28,125.76,124.25,122.76,121.29,119.83,118.39,116.97,115.57,114.19
55,353.0,348.61,344.3,340.07,335.93,331.86,327.86,323.93,320.05,316.21,312.43,308.68,304.98,301.33,297.72,294.15,290.63,287.15,283.71,280.31,276.95,273.63,270.35,267.11,263.91,260.75,257.62,254.53,251.48,248.47,245.49,242.55,239.64,236.77,233.93,231.13,228.36,225.62,222.92,220.25,217.61,215.0,212.42,209.87,207.36,204.87,202.42,199.99,197.59,195.22,192.88,190.57,188.29,186.03,183.8,181.6,179.42,177.27,175.14,173.04,170.97,168.92,166.89,164.89,162.91,160.96,159.03,157.12,155.24,153.38,151.54,149.72,147.93,146.15,144.4,142.67,140.96,139.27,137.6,135.95,134.32,132.71,131.12,129.54,127.99,126.46,124.94,123.44
56,384.65,379.91,375.26,370.7,366.21,361.81,357.47,353.19,348.96,344.78,340.65,336.57,332.53,328.55,324.61,320.72,316.88,313.09,309.33,305.63,301.97,298.35,294.77,291.24,287.75,284.3,280.9,277.53,274.21,270.92,267.67,264.47,261.3,258.17,255.07,252.01,248.99,246.01,243.06,240.15,237.27,234.43,231.62,228.84,226.1,223.39,220.71,218.06,215.45,212.87,210.32,207.8,205.3,202.84,200.41,198.01,195.64,193.29,190.97,188.68,186.42,184.19,181.98,179.8,177.64,175.51,173.41,171.33,169.27,167.24,165.24,163.26,161.3,159.37,157.46,155.57,153.7,151.86,150.04,148.24,146.46,144.71,142.97,141.26,139.56,137.89,136.24,134.6
57,420.94,415.81,410.76,405.8,400.92,396.12,391.38,386.69,382.06,377.48,372.96,368.49,364.08,359.72,355.41,351.15,346.95,342.79,338.68,334.63,330.62,326.66,322.74,318.88,315.06,311.28,307.55,303.87,300.23,296.63,293.08,289.56,286.1,282.67,279.28,275.93,272.63,269.36,266.13,262.94,259.79,256.68,253.6,250.56,247.56,244.59,241.66,238.77,235.9,233.08,230.28,227.52,224.8,222.1,219.44,216.81,214.21,211.64,209.1,206.6,204.12,201.67,199.26,196.87,194.51,192.18,189.87,187.6,185.35,183.13,180.93,178.76,176.62,174.5,172.41,170.34,168.3,166.28,164.29,162.32,160.37,158.45,156.55,154.67,152.82,150.98,149.17,147.39
58,461.93,456.34,450.84,445.43,440.09,434.82,429.62,424.47,419.39,414.37,409.4,404.5,399.66,394.87,390.14,385.47,380.85,376.29,371.79,367.33,362.93,358.59,354.29,350.05,345.85,341.71,337.62,333.57,329.58,325.63,321.73,317.87,314.07,310.3,306.58,302.91,299.28,295.7,292.15,288.65,285.19,281.78,278.4,275.06,271.77,268.51,265.29,262.11,258.97,255.87,252.8,249.77,246.78,243.82,240.9,238.01,235.16,232.34,229.56,226.81,224.09,221.4,218.75,216.12,213.53,210.97,208.45,205.95,203.48,201.04,198.63,196.25,193.9,191.57,189.27,187.01,184.76,182.55,180.36,178.2,176.06,173.95,171.86,169.8,167.77,165.76,163.77,161.81
59,506.51,500.41,494.41,488.49,482.64,476.86,471.16,465.52,459.94,454.44,449.0,443.62,438.31,433.06,427.88,422.75,417.69,412.69,407.75,402.86,398.04,393.27,388.56,383.91,379.31,374.77,370.28,365.84,361.46,357.13,352.86,348.63,344.45,340.33,336.25,332.22,328.24,324.31,320.42,316.58,312.79,309.04,305.34,301.68,298.07,294.5,290.97,287.48,284.04,280.63,277.27,273.95,270.67,267.42,264.22,261.05,257.92,254.83,251.78,248.76,245.78,242.83,239.92,237.05,234.21,231.4,228.63,225.89,223.18,220.5,217.86,215.25,212.67,210.12,207.6,205.11,202.65,200.22,197.82,195.45,193.11,190.79,188.51,186.25,184.01,181.81,179.63,177.48
60,551.59,544.98,538.45,532.01,525.64,519.35,513.13,506.99,500.92,494.93,489.0,483.15,477.37,471.65,466.01,460.43,454.92,449.47,444.09,438.77,433.52,428.33,423.2,418.13,413.12,408.18,403.29,398.46,393.69,388.97,384.31,379.71,375.16,370.67,366.23,361.84,357.51,353.23,349.0,344.82,340.69,336.6,332.57,328.59,324.65,320.76,316.92,313.12,309.37,305.66,302.0,298.38,294.81,291.28,287.79,284.34,280.93,277.56,274.24,270.95,267.7,264.5,261.33,258.2,255.1,252.04,249.02,246.04,243.09,240.18,237.3,234.45,231.64,228.87,226.12,223.41,220.74,218.09,215.48,212.89,210.34,207.82,205.33,202.87,200.44,198.03,195.66,193.31
61,598.93,591.76,584.68,577.69,570.78,563.95,557.2,550.53,543.94,537.44,531.0,524.65,518.37,512.17,506.04,499.98,493.99,488.08,482.24,476.47,470.76,465.13,459.56,454.06,448.62,443.25,437.94,432.7,427.52,422.4,417.34,412.34,407.41,402.53,397.71,392.94,388.24,383.59,378.99,374.46,369.97,365.54,361.16,356.84,352.56,348.34,344.17,340.04,335.97,331.94,327.97,324.04,320.16,316.32,312.53,308.79,305.09,301.43,297.82,294.25,290.73,287.24,283.8,280.4,277.04,273.72,270.44,267.2,264.0,260.83,257.71,254.62,251.57,248.55,245.57,242.63,239.72,236.85,234.01,231.21,228.44,225.7,222.99,220.32,217.68,215.07,212.49,209.95
62,648.39,640.63,632.97,625.4,617.92,610.52,603.22,596.0,588.87,581.83,574.87,567.99,561.19,554.48,547.84,541.29,534.81,528.41,522.09,515.84,509.66,503.56,497.54,491.58,485.7,479.88,474.14,468.46,462.85,457.31,451.84,446.43,441.08,435.8,430.58,425.43,420.33,415.3,410.33,405.41,400.56,395.76,391.02,386.34,381.71,377.14,372.62,368.16,363.75,359.39,355.09,350.84,346.63,342.48,338.38,334.33,330.32,326.36,322.45,318.59,314.77,311.0,307.28,303.59,299.96,296.36,292.81,289.3,285.84,282.41,279.03,275.68,272.38,269.12,265.89,262.71,259.56,256.45,253.37,250.34,247.34,244.37,241.44,238.55,235.69,232.87,230.08,227.32
63,699.69,691.32,683.05,674.88,666.81,658.84,650.96,643.17,635.48,627.88,620.37,612.95,605.62,598.37,591.21,584.14,577.15,570.25,563.42,556.68,550.02,543.44,536.93,530.51,524.16,517.89,511.69,505.56,499.51,493.53,487.63,481.79,476.02,470.32,464.69,459.13,453.63,448.2,442.84,437.53,432.3,427.12,422.01,416.95,411.96,407.03,402.15,397.34,392.58,387.88,383.23,378.64,374.11,369.63,365.2,360.82,356.5,352.23,348.01,343.84,339.72,335.66,331.63,327.66,323.74,319.86,316.03,312.24,308.5,304.8,301.15,297.54,293.98,290.45,286.97,283.54,280.14,276.78,273.47,270.19,266.95,263.75,260.59,257.47,254.38,251.34,248.33,245.35
64,754.63,745.61,736.69,727.89,719.19,710.59,702.09,693.7,685.4,677.2,669.11,661.1,653.2,645.39,637.67,630.04,622.5,615.06,607.7,600.43,593.25,586.15,579.14,572.21,565.36,558.6,551.91,545.31,538.78,532.33,525.96,519.67,513.45,507.3,501.23,495.23,489.3,483.45,477.66,471.94,466.29,460.71,455.19,449.75,444.36,439.04,433.78,428.59,423.46,418.39,413.38,408.43,403.54,398.7,393.93,389.21,384.55,379.94,375.39,370.9,366.46,362.07,357.73,353.44,349.21,345.03,340.89,336.81,332.78,328.79,324.85,320.96,317.11,313.31,309.56,305.85,302.19,298.57,294.99,291.46,287.97,284.52,281.11,277.74,274.41,271.12,267.88,264.67
65,813.38,803.66,794.05,784.56,775.18,765.92,756.76,747.72,738.78,729.95,721.22,712.6,704.08,695.66,687.34,679.12,671.0,662.98,655.05,647.21,639.47,631.82,624.27,616.8,609.42,602.13,594.93,587.81,580.78,573.83,566.96,560.18,553.47,546.85,540.31,533.84,527.45,521.14,514.9,508.74,502.65,496.64,490.69,484.82,479.01,473.28,467.61,462.02,456.49,451.02,445.62,440.29,435.01,429.8,424.66,419.57,414.55,409.59,404.68,399.83,395.05,390.32,385.64,381.02,376.46,371.95,367.49,363.09,358.74,354.45,350.2,346.01,341.86,337.77,333.72,329.72,325.77,321.87,318.02,314.21,310.44,306.72,303.05,299.42,295.83,292.29,288.79,285.33
