age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
10,18.56,9.47,16.14,13.02,22.01,9.37,12.55,3.15,9.68,19.32,3.15,12.53,12.95,6.64,13.64,13.76,6.84,17.39,10.67,7.35,11.18,3.83,0.0,3.77,3.73,0.0,7.11,6.86,10.23,3.4,3.41,3.43,10.27,10.36,7.2,6.21,6.15,6.09,6.04,5.98,5.93,5.88,5.82,5.74,5.66,5.57,5.5,5.42,5.35,5.28,5.21,5.15,5.09,5.03,4.97,4.92,4.86,4.81,4.76,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.36,4.31,4.26,4.21,4.17,4.12,4.08,4.03,3.99,3.94,3.9,3.86,3.82,3.77,3.73,3.69,3.65,3.61,3.57,3.53,3.49,3.46,3.42,3.38,3.34,3.31,3.27,3.24
11,9.29,22.11,12.92,19.52,6.29,18.75,18.86,3.16,6.46,12.86,6.27,15.64,9.67,13.21,16.99,10.26,13.59,6.92,3.54,10.98,18.57,11.43,11.33,0.0,7.45,14.47,7.09,6.82,3.41,3.38,3.38,3.37,6.76,6.7,6.73,6.66,6.6,6.54,6.49,6.44,6.39,6.33,6.27,6.19,6.1,6.02,5.94,5.86,5.79,5.72,5.65,5.58,5.52,5.46,5.39,5.33,5.28,5.22,5.16,5.1,5.05,4.99,4.94,4.88,4.83,4.78,4.73,4.67,4.62,4.57,4.52,4.47,4.42,4.38,4.33,4.28,4.23,4.19,4.14,4.1,4.05,4.01,3.96,3.92,3.88,3.83,3.79,3.75,3.71,3.67,3.63,3.59,3.55,3.51
12,15.46,6.32,12.94,16.29,9.44,9.38,15.75,12.64,9.68,12.85,9.41,15.59,16.08,6.58,6.76,10.22,16.92,13.8,3.53,0.0,7.4,3.78,3.75,0.0,7.44,14.44,7.05,6.81,10.18,3.35,9.98,13.32,8.84,7.44,7.36,7.29,7.23,7.17,7.12,7.06,7.01,6.95,6.89,6.8,6.71,6.63,6.54,6.46,6.38,6.31,6.23,6.16,6.09,6.02,5.96,5.89,5.83,5.76,5.7,5.64,5.58,5.51,5.45,5.39,5.34,5.28,5.22,5.16,5.11,5.05,5.0,4.94,4.89,4.83,4.78,4.73,4.68,4.62,4.57,4.52,4.47,4.43,4.38,4.33,4.28,4.24,4.19,4.14,4.1,4.05,4.01,3.96,3.92,3.88
13,6.19,9.51,12.99,13.06,15.71,12.52,18.9,25.29,12.91,9.63,15.62,6.25,6.43,9.84,10.09,10.18,13.49,6.88,3.53,14.49,22.09,11.26,18.54,11.15,14.87,7.17,7.03,10.17,13.46,0.0,6.58,7.98,8.48,8.39,8.3,8.23,8.17,8.11,8.05,7.99,7.93,7.87,7.8,7.71,7.61,7.51,7.42,7.33,7.25,7.16,7.08,7.0,6.92,6.85,6.77,6.7,6.62,6.55,6.48,6.41,6.34,6.27,6.2,6.13,6.07,6.0,5.93,5.87,5.81,5.74,5.68,5.62,5.56,5.49,5.43,5.38,5.32,5.26,5.2,5.14,5.09,5.03,4.98,4.92,4.87,4.82,4.76,4.71,4.66,4.61,4.56,4.51,4.46,4.41
14,18.6,22.27,13.03,13.06,12.56,9.4,15.75,18.96,16.14,22.47,9.43,12.49,12.81,9.8,20.09,6.76,10.07,0.0,7.07,3.6,7.32,22.29,22.03,14.8,18.49,7.15,10.51,20.17,9.97,9.79,9.95,10.07,9.95,9.85,9.76,9.68,9.61,9.54,9.48,9.41,9.34,9.27,9.19,9.08,8.97,8.87,8.76,8.66,8.56,8.46,8.37,8.28,8.18,8.09,8.01,7.92,7.83,7.75,7.66,7.58,7.49,7.41,7.33,7.25,7.17,7.09,7.02,6.94,6.86,6.79,6.71,6.64,6.57,6.5,6.42,6.35,6.28,6.22,6.15,6.08,6.01,5.95,5.88,5.82,5.76,5.69,5.63,5.57,5.51,5.45,5.39,5.33,5.27,5.21
15,18.65,31.94,19.6,29.4,15.68,21.91,22.1,34.77,19.34,19.34,37.78,15.54,28.64,16.26,16.68,6.74,10.16,34.88,7.06,10.71,25.43,14.7,14.55,29.31,3.69,17.78,17.37,9.96,9.87,11.79,12.47,12.31,12.18,12.07,11.97,11.88,11.79,11.71,11.63,11.55,11.47,11.38,11.27,11.15,11.02,10.89,10.77,10.65,10.53,10.41,10.29,10.18,10.07,9.96,9.85,9.74,9.64,9.53,9.43,9.32,9.22,9.12,9.02,8.92,8.82,8.73,8.63,8.54,8.44,8.35,8.26,8.17,8.08,7.99,7.9,7.82,7.73,7.65,7.56,7.48,7.4,7.32,7.24,7.16,7.08,7.0,6.93,6.85,6.78,6.7,6.63,6.56,6.48,6.41
16,18.73,25.68,36.05,19.6,25.09,34.54,19.0,25.29,48.26,12.87,12.53,15.49,31.4,25.93,19.91,10.16,27.25,24.51,10.54,17.67,10.8,18.22,10.76,21.84,22.02,3.53,6.86,3.29,12.51,15.58,15.38,15.21,15.06,14.93,14.81,14.7,14.6,14.5,14.4,14.3,14.2,14.08,13.96,13.81,13.65,13.5,13.34,13.2,13.05,12.9,12.76,12.62,12.48,12.35,12.21,12.08,11.95,11.82,11.69,11.56,11.43,11.31,11.18,11.06,10.94,10.82,10.7,10.59,10.47,10.36,10.24,10.13,10.02,9.91,9.8,9.69,9.59,9.48,9.38,9.28,9.18,9.08,8.98,8.88,8.78,8.68,8.59,8.5,8.4,8.31,8.22,8.13,8.04,7.95
17,62.73,38.67,26.27,32.75,59.99,66.37,34.93,31.49,22.38,37.87,43.33,38.51,31.17,28.79,26.52,27.14,27.27,17.44,13.87,27.79,28.43,21.45,21.17,21.53,14.51,13.9,6.78,15.89,18.91,18.65,18.43,18.23,18.06,17.91,17.78,17.65,17.53,17.41,17.29,17.17,17.03,16.9,16.74,16.57,16.38,16.2,16.02,15.84,15.67,15.5,15.33,15.16,14.99,14.83,14.67,14.51,14.35,14.19,14.03,13.88,13.73,13.58,13.43,13.28,13.14,12.99,12.85,12.71,12.57,12.44,12.3,12.16,12.03,11.9,11.77,11.64,11.51,11.39,11.26,11.14,11.02,10.9,10.78,10.66,10.54,10.43,10.31,10.2,10.09,9.98,9.87,9.76,9.66,9.55
18,40.59,44.93,49.31,26.19,37.99,44.03,37.56,24.69,46.61,49.09,29.4,28.82,30.07,12.42,19.42,9.9,23.04,23.41,26.48,33.3,40.36,10.22,13.47,17.16,21.05,30.35,23.45,21.3,21.0,20.73,20.5,20.3,20.12,19.96,19.81,19.67,19.53,19.4,19.26,19.11,18.96,18.8,18.63,18.43,18.23,18.03,17.83,17.63,17.44,17.25,17.06,16.87,16.69,16.51,16.33,16.15,15.97,15.8,15.62,15.45,15.28,15.12,14.95,14.79,14.63,14.47,14.31,14.15,14.0,13.84,13.69,13.54,13.39,13.25,13.1,12.96,12.82,12.68,12.54,12.4,12.27,12.13,12.0,11.87,11.74,11.61,11.48,11.36,11.23,11.11,10.99,10.87,10.75,10.63
19,39.28,21.92,41.44,22.3,39.52,35.84,26.64,40.84,32.07,26.67,53.01,44.09,34.25,35.13,27.45,18.42,24.52,24.95,15.44,9.21,28.12,22.26,21.63,9.65,26.39,23.56,22.67,22.33,22.03,21.77,21.53,21.33,21.15,20.98,20.83,20.68,20.53,20.39,20.23,20.08,19.91,19.74,19.55,19.34,19.13,18.92,18.72,18.51,18.31,18.11,17.91,17.71,17.52,17.33,17.14,16.95,16.77,16.58,16.4,16.22,16.04,15.87,15.7,15.52,15.35,15.19,15.02,14.86,14.69,14.53,14.37,14.22,14.06,13.91,13.75,13.6,13.46,13.31,13.16,13.02,12.88,12.74,12.6,12.46,12.32,12.19,12.05,11.92,11.79,11.66,11.54,11.41,11.28,11.16
