age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
10,0.0,16.04,10.71,26.57,20.46,15.29,20.14,19.92,4.95,14.93,4.91,15.05,15.35,5.18,5.3,10.6,0.0,5.43,5.57,17.2,23.36,0.0,12.07,0.0,0.0,5.63,5.55,26.8,5.34,10.68,5.25,10.61,5.36,10.78,7.96,7.12,6.9,6.71,6.55,6.41,6.29,6.18,6.08,5.97,5.87,5.77,5.67,5.59,5.51,5.43,5.35,5.28,5.22,5.16,5.09,5.04,4.98,4.92,4.87,4.82,4.76,4.71,4.66,4.61,4.56,4.51,4.46,4.41,4.36,4.31,4.27,4.22,4.17,4.13,4.08,4.04,4.0,3.95,3.91,3.87,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.42,3.39,3.35,3.31
11,31.51,16.02,5.35,10.62,15.32,15.28,15.09,14.87,4.93,4.96,0.0,5.0,10.2,10.3,15.85,5.28,10.48,10.83,16.66,5.71,5.84,0.0,5.99,17.7,11.41,11.23,5.53,21.38,10.64,15.97,5.18,10.46,0.0,5.97,7.91,7.66,7.44,7.25,7.09,6.95,6.83,6.72,6.62,6.51,6.4,6.3,6.21,6.12,6.04,5.95,5.88,5.81,5.74,5.67,5.6,5.54,5.48,5.42,5.36,5.3,5.24,5.19,5.13,5.07,5.02,4.96,4.91,4.86,4.8,4.75,4.7,4.65,4.6,4.54,4.5,4.45,4.4,4.35,4.3,4.25,4.21,4.16,4.12,4.07,4.03,3.98,3.94,3.9,3.85,3.81,3.77,3.73,3.69,3.65
12,20.97,15.99,21.38,21.19,30.55,20.33,20.04,14.85,9.84,0.0,4.88,14.96,20.34,0.0,26.31,0.0,10.44,16.21,5.54,5.7,11.66,6.01,5.96,17.59,17.04,16.8,16.57,5.32,0.0,5.26,10.23,0.0,6.7,8.87,8.59,8.34,8.11,7.92,7.76,7.62,7.5,7.39,7.28,7.17,7.06,6.96,6.86,6.77,6.68,6.59,6.51,6.44,6.36,6.29,6.22,6.15,6.08,6.02,5.95,5.88,5.82,5.76,5.69,5.63,5.57,5.51,5.45,5.39,5.33,5.27,5.21,5.16,5.1,5.04,4.99,4.93,4.88,4.83,4.77,4.72,4.67,4.62,4.57,4.52,4.47,4.42,4.37,4.32,4.28,4.23,4.18,4.14,4.09,4.05
13,47.11,42.62,26.72,10.58,10.16,10.16,25.0,19.81,24.63,29.61,9.72,14.96,15.25,25.52,15.75,15.71,5.21,5.39,11.05,28.48,5.83,11.96,5.91,5.82,28.22,11.18,5.5,15.89,10.48,10.41,20.32,12.4,10.05,9.74,9.45,9.19,8.96,8.76,8.59,8.45,8.32,8.2,8.09,7.97,7.86,7.75,7.64,7.55,7.45,7.36,7.27,7.19,7.11,7.03,6.95,6.87,6.8,6.72,6.65,6.58,6.5,6.43,6.36,6.29,6.22,6.16,6.09,6.02,5.96,5.89,5.83,5.76,5.7,5.64,5.58,5.52,5.45,5.4,5.34,5.28,5.22,5.16,5.11,5.05,5.0,4.94,4.89,4.83,4.78,4.73,4.68,4.63,4.57,4.52
14,20.91,15.95,10.67,31.64,30.38,30.48,29.98,19.87,24.59,14.78,14.55,24.96,35.49,15.27,15.68,20.91,20.74,21.57,5.52,0.0,0.0,5.96,11.73,5.78,16.82,16.66,16.44,10.49,15.53,10.35,11.22,11.6,11.26,10.93,10.62,10.34,10.1,9.88,9.7,9.55,9.41,9.28,9.15,9.03,8.9,8.78,8.67,8.56,8.46,8.35,8.26,8.16,8.07,7.98,7.9,7.81,7.72,7.64,7.56,7.47,7.39,7.31,7.23,7.15,7.07,7.0,6.92,6.84,6.77,6.69,6.62,6.55,6.48,6.41,6.34,6.27,6.2,6.13,6.06,6.0,5.93,5.87,5.8,5.74,5.68,5.61,5.55,5.49,5.43,5.37,5.31,5.26,5.2,5.14
15,26.1,5.31,26.64,42.22,15.2,15.23,15.1,19.86,49.2,9.84,33.85,29.85,15.18,20.22,20.81,31.29,15.56,21.55,22.05,5.68,11.55,23.68,34.96,5.73,0.0,5.54,16.26,10.39,15.43,14.27,14.08,13.7,13.31,12.93,12.58,12.26,11.98,11.74,11.53,11.35,11.18,11.03,10.89,10.74,10.59,10.46,10.33,10.2,10.08,9.96,9.85,9.74,9.63,9.52,9.42,9.32,9.21,9.11,9.01,8.92,8.82,8.72,8.63,8.53,8.44,8.35,8.25,8.16,8.08,7.99,7.9,7.81,7.73,7.64,7.56,7.48,7.39,7.31,7.23,7.15,7.08,7.0,6.92,6.85,6.77,6.7,6.62,6.55,6.48,6.41,6.34,6.27,6.2,6.13
16,47.08,37.26,58.82,47.66,25.33,35.71,40.34,34.82,39.38,44.17,33.76,29.79,30.21,20.11,20.74,10.44,10.37,26.94,16.52,22.64,17.27,0.0,28.93,22.71,16.61,21.94,26.81,25.74,20.75,19.47,18.97,18.46,17.95,17.45,16.99,16.57,16.2,15.88,15.61,15.37,15.15,14.95,14.75,14.55,14.36,14.18,14.01,13.84,13.68,13.52,13.37,13.22,13.08,12.93,12.79,12.65,12.51,12.38,12.24,12.11,11.97,11.84,11.71,11.59,11.46,11.33,11.21,11.09,10.97,10.85,10.73,10.61,10.49,10.38,10.27,10.15,10.04,9.93,9.82,9.72,9.61,9.5,9.4,9.3,9.2,9.1,9.0,8.9,8.8,8.7,8.61,8.51,8.42,8.33
17,58.5,59.37,70.5,80.13,50.87,71.3,60.7,59.62,73.65,48.83,47.99,44.52,65.19,34.97,41.4,31.33,25.85,42.97,54.9,45.13,28.71,11.73,17.19,45.09,16.4,21.69,42.51,33.49,30.97,30.2,29.45,28.69,27.93,27.2,26.51,25.89,25.35,24.87,24.45,24.09,23.76,23.45,23.15,22.85,22.56,22.28,22.02,21.76,21.51,21.27,21.03,20.8,20.58,20.35,20.13,19.91,19.69,19.48,19.26,19.05,18.84,18.64,18.43,18.23,18.03,17.83,17.64,17.45,17.26,17.07,16.88,16.7,16.51,16.33,16.15,15.98,15.8,15.63,15.46,15.29,15.12,14.96,14.79,14.63,14.47,14.31,14.16,14.0,13.85,13.7,13.55,13.4,13.25,13.11
18,70.94,111.65,72.07,101.03,85.47,86.0,110.7,54.21,67.7,72.3,84.83,72.63,49.08,53.6,30.68,41.08,71.33,47.45,43.38,38.97,33.88,57.01,33.35,32.89,53.1,63.08,45.42,40.28,39.38,38.5,37.62,36.74,35.85,35.0,34.19,33.46,32.82,32.25,31.76,31.31,30.91,30.53,30.16,29.79,29.43,29.08,28.74,28.42,28.1,27.79,27.48,27.18,26.88,26.59,26.3,26.01,25.73,25.45,25.17,24.89,24.62,24.35,24.08,23.82,23.56,23.3,23.05,22.8,22.55,22.3,22.06,21.81,21.58,21.34,21.11,20.88,20.65,20.42,20.2,19.98,19.76,19.54,19.33,19.12,18.91,18.7,18.5,18.29,18.09,17.9,17.7,17.51,17.32,17.13
19,117.04,124.35,86.78,66.71,64.24,112.85,78.11,85.21,46.89,101.36,53.42,91.88,31.8,46.79,29.17,54.21,48.68,50.96,83.02,53.56,42.83,97.05,36.39,30.51,39.59,43.03,45.03,44.21,43.35,42.49,41.64,40.77,39.9,39.05,38.25,37.52,36.87,36.29,35.78,35.33,34.9,34.49,34.09,33.69,33.3,32.92,32.55,32.19,31.83,31.49,31.14,30.8,30.46,30.13,29.8,29.47,29.15,28.83,28.52,28.21,27.9,27.59,27.29,26.99,26.7,26.4,26.12,25.83,25.55,25.27,24.99,24.72,24.45,24.18,23.92,23.65,23.4,23.14,22.89,22.64,22.39,22.14,21.9,21.66,21.43,21.19,20.96,20.73,20.5,20.28,20.06,19.84,19.62,19.41
20,75.49,89.09,111.15,80.51,57.99,86.81,57.1,83.7,77.97,79.83,42.78,61.93,67.51,27.33,23.76,38.1,38.34,39.79,70.76,41.24,37.0,25.82,29.88,59.01,50.69,49.14,48.47,47.71,46.9,46.09,45.27,44.43,43.59,42.76,41.97,41.25,40.6,40.02,39.51,39.03,38.58,38.15,37.73,37.3,36.88,36.47,36.06,35.67,35.28,34.89,34.51,34.13,33.76,33.39,33.02,32.66,32.3,31.95,31.6,31.26,30.91,30.58,30.24,29.91,29.58,29.26,28.94,28.62,28.31,28.0,27.69,27.39,27.09,26.8,26.5,26.21,25.93,25.64,25.36,25.08,24.81,24.54,24.27,24.0,23.74,23.48,23.23,22.97,22.72,22.47,22.23,21.98,21.74,21.5
21,109.09,77.91,73.82,90.66,83.18,72.13,62.65,84.43,90.72,70.21,51.77,72.03,41.1,50.98,43.19,52.86,43.48,60.03,75.11,68.49,46.28,35.73,39.8,47.76,51.56,51.1,50.5,49.8,49.06,48.3,47.53,46.74,45.94,45.15,44.39,43.7,43.06,42.49,41.98,41.49,41.03,40.59,40.14,39.7,39.26,38.82,38.4,37.98,37.56,37.15,36.75,36.34,35.95,35.55,35.16,34.78,34.4,34.02,33.65,33.28,32.92,32.56,32.2,31.85,31.5,31.16,30.82,30.48,30.15,29.82,29.49,29.17,28.85,28.53,28.22,27.91,27.61,27.3,27.01,26.71,26.42,26.13,25.84,25.56,25.28,25.0,24.73,24.46,24.19,23.93,23.67,23.41,23.15,22.9
