Column1,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
0,951.01,953.39,891.08,847.51,829.68,808.11,790.89,767.52,723.75,686.43,631.97,571.65,563.30,539.63,541.28,540.70,523.91,497.92,508.20,504.22,500.78,458.21,486.28,468.50,441.73,456.12,435.42,418.96,418.64,404.99,368.55,362.22,347.11,362.00,335.46,357.84,353.62,353.39,353.73,343.44,300.15,303.75,297.78,291.93,286.67,281.64,276.52,271.62,267.08,262.67,258.30,254.05,250.14,246.30,242.48,239.23,235.95,232.60,229.49,226.76,223.70,220.81,218.06,215.27,212.93,210.34,207.73,205.26,202.91,200.54,198.04,195.75,193.44,191.04,188.65,186.41,184.50,182.19,179.85,177.88,175.70,173.51,171.31,169.32,167.40,165.18,163.07,161.30,159.69,157.68,155.69,153.75,151.86,150.04,148.32,146.70,144.99,143.20,141.33,139.74,137.86,136.05,134.86,133.52,131.62,129.92,128.58,127.01,125.40,123.73,122.19,120.78,119.30,117.95,116.53,115.25,113.71,112.13,110.90,109.84,108.77,107.48,105.99,104.50,103.23,101.97,100.74,99.73,98.75,97.40,96.29,95.20,93.94,92.70,91.48,90.47,89.47,88.48,87.49,86.44
1,72.62,67.40,65.59,66.92,77.48,67.01,64.99,57.05,57.65,60.32,58.32,50.67,44.70,47.90,45.65,42.42,39.26,42.29,39.05,32.22,34.15,36.49,39.09,36.51,37.88,40.52,32.71,32.31,25.05,30.30,30.58,26.41,29.65,21.05,26.08,26.67,16.99,23.75,23.53,16.93,28.69,29.34,29.15,28.53,27.66,27.23,27.06,26.47,25.71,25.16,24.80,24.61,24.52,24.02,23.40,23.02,23.00,22.53,21.96,21.91,21.74,21.36,21.38,21.23,20.54,20.46,20.57,20.17,19.57,19.08,18.69,18.56,18.44,18.34,18.53,18.60,18.50,17.78,16.98,16.63,16.58,16.46,16.26,16.24,16.14,16.08,15.94,15.68,15.34,15.11,14.87,14.95,15.03,14.78,14.54,14.30,14.13,14.34,14.30,13.90,13.62,13.03,12.60,12.56,12.38,12.15,12.13,12.18,11.89,11.61,11.59,11.52,11.77,11.96,11.80,11.58,11.41,11.57,11.60,11.23,10.86,10.54,10.27,10.01,9.68,9.69,9.69,9.31,9.26,9.33,9.34,9.36,8.77,8.52,8.61,8.30,8.34,8.38,8.08,7.98
2,44.44,46.03,41.14,36.52,37.35,38.87,37.94,39.24,35.94,26.46,35.31,31.43,27.31,28.67,22.45,28.74,24.75,25.87,29.84,16.66,20.88,18.92,23.22,19.08,16.25,20.40,17.38,19.89,20.69,13.05,15.40,11.08,14.39,13.70,12.20,15.23,14.53,8.29,15.33,10.84,13.99,14.12,13.80,13.63,13.45,13.21,12.92,12.58,12.32,12.06,11.79,11.58,11.44,11.21,11.05,10.95,10.84,10.69,10.45,10.27,10.18,10.01,9.86,9.80,9.68,9.57,9.50,9.30,9.11,9.01,9.00,8.92,8.70,8.63,8.56,8.41,8.33,8.31,8.22,8.11,8.07,8.02,7.89,7.74,7.75,7.67,7.58,7.57,7.55,7.37,7.19,7.17,7.15,6.89,6.64,6.62,6.61,6.53,6.45,6.37,6.22,6.15,6.17,6.11,6.05,6.07,5.94,5.81,5.75,5.61,5.56,5.58,5.52,5.37,5.30,5.23,5.15,5.08,5.00,4.91,4.83,4.74,4.66,4.57,4.40,4.31,4.31,4.31,4.30,4.30,4.22,4.14,4.14,4.15,4.07,3.91,3.83,3.84,3.85,3.80
3,32.85,25.51,27.72,25.79,29.56,27.49,28.51,32.62,29.27,26.42,20.84,22.56,23.77,18.47,18.94,16.23,16.99,16.88,17.86,18.86,18.14,12.56,17.04,15.23,13.18,15.33,15.43,17.36,15.41,13.42,10.94,11.68,11.28,11.28,10.63,9.58,8.97,10.55,10.03,7.87,7.94,8.04,7.88,7.62,7.46,7.35,7.12,6.89,6.76,6.56,6.35,6.30,6.23,6.09,6.02,6.01,5.85,5.60,5.49,5.45,5.40,5.35,5.30,5.26,5.22,5.20,5.18,5.03,4.89,4.91,4.93,4.89,4.71,4.60,4.57,4.53,4.50,4.47,4.42,4.38,4.40,4.35,4.21,4.14,4.15,4.16,4.16,4.15,4.07,3.90,3.81,3.80,3.79,3.78,3.77,3.76,3.75,3.74,3.74,3.66,3.43,3.28,3.28,3.29,3.30,3.31,3.24,3.10,3.03,2.89,2.74,2.75,2.76,2.69,2.62,2.62,2.63,2.55,2.39,2.31,2.31,2.31,2.31,2.22,2.14,2.14,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.05,1.97,1.89,1.81,1.81,1.82,1.79
4,26.81,22.93,28.21,24.32,19.79,24.84,21.73,22.80,25.68,17.48,21.25,14.78,17.00,14.26,14.04,13.15,12.72,10.43,11.52,15.01,14.66,15.73,14.23,13.69,8.78,12.24,10.20,12.51,13.36,9.88,10.17,9.60,9.05,7.39,7.97,9.08,8.01,4.84,7.42,6.90,7.29,7.34,7.15,6.75,6.46,6.28,6.17,6.09,5.94,5.81,5.68,5.62,5.56,5.43,5.36,5.28,5.05,4.89,4.80,4.70,4.66,4.62,4.57,4.53,4.50,4.47,4.45,4.36,4.28,4.29,4.23,4.18,4.13,4.09,4.05,4.02,3.98,3.94,3.97,3.93,3.88,3.83,3.77,3.78,3.80,3.72,3.65,3.65,3.57,3.48,3.48,3.47,3.46,3.45,3.44,3.43,3.34,3.26,3.18,3.09,2.94,2.78,2.79,2.79,2.80,2.73,2.58,2.44,2.37,2.30,2.23,2.24,2.25,2.26,2.26,2.19,2.11,2.12,2.04,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.95,1.87,1.79,1.79,1.79,1.71,1.63,1.63,1.63,1.63,1.64,1.62
5,22.14,21.11,22.64,21.73,18.89,17.74,18.82,16.58,19.36,14.62,16.90,12.65,16.90,14.08,15.84,15.08,13.42,12.45,11.80,12.39,12.45,11.51,12.51,10.11,8.30,10.27,8.84,9.29,11.33,8.23,7.94,10.93,8.01,7.19,6.33,6.68,7.81,9.96,8.10,4.07,7.07,7.05,6.77,6.49,6.22,5.98,5.87,5.83,5.75,5.60,5.47,5.42,5.36,5.23,5.16,4.94,4.72,4.72,4.63,4.54,4.52,4.48,4.37,4.25,4.22,4.18,4.16,4.14,4.12,4.12,4.05,3.99,4.01,3.97,3.85,3.81,3.84,3.80,3.76,3.72,3.67,3.70,3.65,3.59,3.60,3.54,3.47,3.47,3.47,3.47,3.38,3.30,3.29,3.28,3.27,3.19,3.02,2.94,2.85,2.77,2.77,2.77,2.69,2.54,2.47,2.40,2.25,2.18,2.19,2.19,2.20,2.21,2.22,2.15,2.08,2.01,1.93,1.94,1.94,1.95,1.95,1.95,1.95,1.95,1.95,1.87,1.78,1.78,1.78,1.70,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.60
6,22.48,19.42,23.06,19.79,20.51,18.83,16.03,16.25,16.26,15.34,15.69,15.80,14.80,12.67,13.00,13.45,11.70,13.94,12.16,9.63,12.94,11.83,10.32,11.60,10.36,10.64,9.31,8.82,7.78,8.41,7.66,8.73,7.43,8.22,6.90,7.05,7.88,7.53,9.17,4.53,6.57,6.53,6.25,6.01,5.78,5.63,5.52,5.47,5.43,5.28,5.20,5.22,5.09,4.88,4.83,4.61,4.39,4.39,4.39,4.38,4.37,4.35,4.24,4.05,3.94,3.91,3.88,3.85,3.83,3.82,3.81,3.82,3.83,3.78,3.66,3.62,3.65,3.60,3.56,3.52,3.48,3.50,3.45,3.40,3.41,3.35,3.28,3.21,3.14,3.14,3.06,2.90,2.81,2.81,2.80,2.71,2.55,2.47,2.46,2.45,2.45,2.45,2.37,2.22,2.14,2.15,2.15,2.16,2.09,2.02,2.03,2.04,2.05,1.97,1.90,1.91,1.92,1.92,1.93,1.85,1.77,1.78,1.78,1.78,1.78,1.70,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.53,1.45,1.45,1.43
7,21.04,17.49,16.96,19.51,15.35,15.20,13.75,16.57,13.66,13.39,15.88,12.93,11.99,9.41,11.08,8.49,11.34,11.70,9.46,8.39,11.28,9.25,8.12,8.04,10.15,6.59,7.93,9.57,7.28,8.06,4.35,8.20,6.80,8.72,8.18,5.34,6.77,6.13,5.80,4.44,5.89,5.91,5.68,5.45,5.26,5.15,5.12,5.13,5.01,4.89,4.81,4.66,4.53,4.40,4.34,4.20,4.06,4.07,4.07,4.07,4.06,3.98,3.88,3.77,3.67,3.63,3.60,3.57,3.55,3.53,3.52,3.52,3.45,3.39,3.27,3.14,3.17,3.20,3.22,3.18,3.06,3.01,3.03,3.06,3.07,3.01,2.87,2.65,2.50,2.50,2.50,2.42,2.34,2.33,2.33,2.32,2.24,2.15,2.15,2.14,2.14,2.06,1.98,1.98,1.98,1.98,1.98,1.99,1.92,1.85,1.85,1.86,1.87,1.80,1.73,1.74,1.74,1.75,1.76,1.68,1.60,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.53,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.36,1.28,1.28,1.27
8,16.26,19.37,18.08,14.47,16.59,14.06,11.96,15.70,12.61,13.35,14.21,13.31,10.17,10.08,9.13,8.97,10.08,8.70,10.13,10.00,13.25,9.59,9.47,8.07,6.63,10.96,6.55,8.76,6.84,10.28,6.57,7.23,6.76,6.76,7.62,3.82,7.09,6.98,5.13,5.31,5.28,5.37,5.14,4.97,4.86,4.79,4.79,4.75,4.61,4.48,4.35,4.13,3.98,3.99,4.01,3.95,3.81,3.67,3.60,3.60,3.60,3.52,3.44,3.34,3.24,3.21,3.18,3.16,3.13,3.11,3.10,3.09,3.01,2.95,2.89,2.83,2.85,2.80,2.75,2.77,2.72,2.67,2.70,2.57,2.44,2.45,2.39,2.24,2.17,2.17,2.18,2.18,2.10,2.02,2.01,2.01,2.00,2.00,1.99,1.99,1.98,1.90,1.82,1.82,1.82,1.82,1.82,1.82,1.75,1.68,1.69,1.69,1.70,1.63,1.56,1.57,1.57,1.58,1.58,1.59,1.59,1.52,1.44,1.44,1.44,1.44,1.44,1.44,1.36,1.28,1.28,1.28,1.28,1.27,1.27,1.27,1.27,1.27,1.27,1.26
9,17.25,12.81,16.53,17.47,23.35,15.27,16.22,9.91,14.85,13.44,15.59,14.21,11.32,10.98,9.53,12.08,11.61,11.66,8.41,8.58,9.99,8.08,10.35,7.21,8.05,5.23,7.54,10.20,11.04,7.70,5.74,6.24,6.62,7.01,6.19,7.33,4.56,6.80,4.48,4.14,5.02,5.14,4.91,4.75,4.64,4.59,4.57,4.44,4.38,4.16,3.88,3.75,3.67,3.67,3.69,3.63,3.49,3.35,3.29,3.29,3.29,3.22,3.14,3.05,2.96,2.94,2.91,2.89,2.86,2.84,2.82,2.81,2.80,2.79,2.80,2.81,2.75,2.62,2.57,2.59,2.62,2.64,2.59,2.39,2.26,2.27,2.29,2.22,2.15,2.16,2.17,2.09,1.94,1.86,1.86,1.85,1.85,1.84,1.84,1.83,1.83,1.82,1.82,1.82,1.81,1.81,1.81,1.74,1.59,1.52,1.52,1.53,1.53,1.54,1.55,1.55,1.56,1.57,1.57,1.58,1.50,1.35,1.27,1.27,1.28,1.28,1.28,1.28,1.28,1.28,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.25
