,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
10,14.69,12.12,18.62,21.86,15.18,14.93,20.97,17.84,12.23,15.3,21.03,12.1,9.36,6.36,22.61,9.77,19.4,9.94,0.0,6.95,3.6,7.42,3.69,14.25,10.45,6.91,3.36,9.77,5.45,5.32,5.17,5.02,4.88,4.74,4.62,4.51,4.4,4.29,4.2,4.11,4.02,3.94,3.87,3.8,3.73,3.67,3.61,3.56,3.51,3.46,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.14,3.1,3.06,3.02,2.99,2.95,2.92,2.88,2.85,2.81,2.78,2.75,2.71,2.68,2.65,2.62,2.59,2.55,2.52,2.49,2.46,2.43,2.4,2.38,2.35,2.32,2.29,2.26,2.24,2.21,2.18
11,20.63,33.43,18.64,15.62,21.28,5.98,26.97,11.9,21.39,15.27,21.0,21.18,18.7,15.8,9.66,22.6,6.43,6.59,6.72,17.3,14.37,11.11,25.77,14.21,3.47,3.44,6.71,6.14,6.0,5.81,5.64,5.48,5.32,5.18,5.05,4.92,4.8,4.69,4.59,4.49,4.4,4.31,4.23,4.16,4.09,4.02,3.96,3.91,3.85,3.8,3.75,3.71,3.66,3.62,3.58,3.53,3.49,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.13,3.09,3.06,3.02,2.98,2.95,2.91,2.88,2.84,2.81,2.78,2.74,2.71,2.68,2.65,2.61,2.58,2.55,2.52,2.49,2.46,2.43,2.4
12,20.67,33.54,24.93,37.58,21.25,20.96,23.99,11.9,24.44,15.31,18.07,15.11,9.35,9.46,16.01,16.04,3.2,3.29,10.04,13.83,10.76,7.39,0.0,7.07,13.83,3.43,7.91,7.71,7.46,7.23,7.01,6.8,6.61,6.43,6.26,6.11,5.96,5.82,5.69,5.58,5.46,5.36,5.26,5.17,5.09,5.01,4.93,4.87,4.8,4.74,4.68,4.63,4.57,4.52,4.46,4.41,4.36,4.3,4.25,4.2,4.15,4.1,4.05,4.0,3.96,3.91,3.86,3.82,3.77,3.72,3.68,3.64,3.59,3.55,3.51,3.46,3.42,3.38,3.34,3.3,3.26,3.22,3.18,3.15,3.11,3.07,3.03,3.0
13,23.64,18.39,25.07,25.09,27.32,29.95,14.99,20.83,9.21,30.74,9.05,27.34,21.82,3.14,9.54,15.93,9.56,9.81,3.34,31.08,3.58,14.74,10.97,28.19,10.34,10.37,10.08,9.74,9.41,9.11,8.83,8.56,8.32,8.09,7.88,7.68,7.5,7.32,7.16,7.02,6.88,6.75,6.63,6.52,6.41,6.32,6.23,6.15,6.07,6.0,5.92,5.85,5.78,5.71,5.64,5.58,5.51,5.44,5.38,5.31,5.25,5.19,5.12,5.06,5.0,4.94,4.88,4.82,4.77,4.71,4.65,4.6,4.54,4.49,4.43,4.38,4.33,4.28,4.22,4.17,4.12,4.07,4.03,3.98,3.93,3.88,3.84,3.79
14,17.8,43.13,9.45,25.13,21.21,20.98,23.97,23.94,15.42,21.56,18.19,15.23,37.29,9.37,15.83,9.5,6.34,19.6,6.68,20.68,3.56,18.35,18.2,24.6,13.7,13.3,12.81,12.36,11.94,11.55,11.19,10.86,10.54,10.25,9.98,9.73,9.5,9.29,9.09,8.9,8.73,8.57,8.42,8.29,8.16,8.04,7.94,7.84,7.74,7.65,7.56,7.46,7.38,7.29,7.2,7.11,7.03,6.94,6.86,6.78,6.7,6.62,6.54,6.46,6.38,6.3,6.23,6.15,6.08,6.01,5.93,5.86,5.79,5.72,5.65,5.59,5.52,5.45,5.39,5.32,5.26,5.2,5.13,5.07,5.01,4.95,4.89,4.83
15,32.77,18.61,47.47,50.36,33.32,32.95,30.18,30.13,30.89,34.1,51.72,21.27,18.59,15.54,12.59,12.59,3.17,19.57,6.67,13.73,7.09,18.29,21.77,18.37,17.8,17.12,16.5,15.91,15.37,14.87,14.41,13.98,13.58,13.21,12.86,12.55,12.25,11.98,11.73,11.5,11.28,11.09,10.9,10.74,10.58,10.44,10.31,10.18,10.06,9.94,9.82,9.7,9.58,9.47,9.36,9.24,9.13,9.02,8.91,8.81,8.7,8.6,8.49,8.39,8.29,8.19,8.09,8.0,7.9,7.81,7.71,7.62,7.53,7.44,7.35,7.26,7.17,7.09,7.0,6.92,6.84,6.75,6.67,6.59,6.51,6.44,6.36,6.28
16,63.01,56.37,67.09,47.44,45.35,39.22,73.06,45.4,43.36,27.85,51.47,48.62,49.0,40.17,15.62,25.15,22.15,19.52,26.56,37.56,31.8,40.06,23.87,23.1,22.19,21.35,20.57,19.85,19.19,18.57,18.0,17.47,16.99,16.53,16.12,15.73,15.38,15.05,14.74,14.46,14.21,13.97,13.75,13.55,13.37,13.2,13.04,12.88,12.73,12.57,12.42,12.28,12.13,11.98,11.84,11.7,11.56,11.42,11.28,11.14,11.01,10.88,10.75,10.62,10.49,10.37,10.24,10.12,10.0,9.88,9.76,9.64,9.53,9.41,9.3,9.19,9.08,8.97,8.86,8.75,8.65,8.55,8.44,8.34,8.24,8.14,8.04,7.95
17,78.79,76.02,83.57,85.24,79.51,70.06,73.68,100.07,86.19,75.94,81.77,81.82,69.9,45.74,46.7,43.86,47.38,32.39,46.24,27.17,56.18,30.18,29.18,28.01,26.93,25.93,25.01,24.16,23.37,22.64,21.97,21.35,20.77,20.24,19.75,19.3,18.88,18.5,18.14,17.82,17.52,17.25,16.99,16.76,16.55,16.35,16.15,15.96,15.77,15.58,15.39,15.21,15.02,14.84,14.66,14.49,14.31,14.14,13.97,13.81,13.64,13.48,13.31,13.15,13.0,12.84,12.69,12.53,12.38,12.24,12.09,11.94,11.8,11.66,11.52,11.38,11.24,11.11,10.98,10.84,10.71,10.59,10.46,10.33,10.21,10.09,9.97,9.85
18,69.88,66.6,125.12,114.71,92.55,85.72,54.98,77.81,138.49,89.41,66.11,85.85,56.28,54.42,40.05,31.01,68.55,54.18,42.22,66.58,37.19,35.95,34.5,33.16,31.92,30.78,29.73,28.75,27.85,27.02,26.25,25.54,24.88,24.28,23.72,23.2,22.73,22.29,21.89,21.52,21.19,20.88,20.59,20.33,20.08,19.84,19.6,19.37,19.14,18.91,18.68,18.45,18.23,18.01,17.8,17.58,17.37,17.17,16.96,16.76,16.55,16.36,16.16,15.97,15.77,15.59,15.4,15.21,15.03,14.85,14.67,14.5,14.32,14.15,13.98,13.81,13.65,13.48,13.32,13.16,13.0,12.85,12.69,12.54,12.39,12.24,12.1,11.95
19,125.14,121.21,82.31,110.08,85.04,89.06,94.19,91.95,77.59,96.17,69.21,96.62,54.72,90.82,56.69,44.71,68.66,55.02,74.5,43.33,41.9,40.22,38.67,37.23,35.91,34.69,33.56,32.51,31.54,30.65,29.82,29.06,28.36,27.71,27.11,26.56,26.05,25.58,25.15,24.76,24.4,24.07,23.76,23.47,23.19,22.91,22.64,22.36,22.1,21.83,21.57,21.31,21.05,20.8,20.55,20.31,20.06,19.82,19.58,19.35,19.12,18.89,18.66,18.44,18.21,18.0,17.78,17.57,17.36,17.15,16.94,16.74,16.54,16.34,16.14,15.95,15.76,15.57,15.38,15.2,15.02,14.84,14.66,14.48,14.31,14.14,13.97,13.8
