age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
10,7.35,30.35,22.49,7.43,21.96,7.23,14.37,14.5,14.75,7.48,29.92,7.6,15.83,8.02,0.0,8.01,8.0,24.19,8.16,16.77,8.76,35.67,0.0,17.23,0.0,16.69,15.99,7.66,0.0,7.67,0.0,0.0,7.72,0.0,4.62,6.11,5.92,5.76,5.62,5.5,5.4,5.3,5.21,5.12,5.03,4.95,4.87,4.79,4.72,4.66,4.59,4.53,4.48,4.42,4.37,4.32,4.27,4.22,4.18,4.13,4.09,4.04,4.0,3.95,3.91,3.87,3.83,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.47,3.43,3.39,3.35,3.32,3.28,3.24,3.21,3.17,3.14,3.1,3.07,3.04,3.0,2.97,2.94,2.91,2.87,2.84
11,29.49,22.69,44.92,22.28,29.11,7.22,21.51,7.27,29.51,14.95,15.0,0.0,0.0,16.0,31.82,15.94,15.93,32.17,0.0,8.38,17.51,8.92,8.84,8.59,8.44,33.31,7.97,7.63,7.63,15.32,7.55,0.0,0.0,4.67,6.18,5.98,5.81,5.66,5.53,5.43,5.33,5.25,5.17,5.08,5.0,4.92,4.85,4.78,4.71,4.65,4.59,4.53,4.48,4.43,4.38,4.33,4.28,4.23,4.19,4.14,4.09,4.05,4.01,3.96,3.92,3.88,3.83,3.79,3.75,3.71,3.67,3.63,3.59,3.55,3.51,3.47,3.43,3.4,3.36,3.32,3.29,3.25,3.21,3.18,3.14,3.11,3.08,3.04,3.01,2.98,2.94,2.91,2.88,2.85
12,29.54,30.27,29.87,37.01,29.05,0.0,21.54,43.54,22.1,7.49,30.04,22.95,23.73,0.0,31.65,15.87,15.89,24.06,16.29,16.79,17.55,8.9,8.8,0.0,0.0,16.61,7.94,0.0,7.64,0.0,0.0,0.0,4.72,6.25,6.05,5.87,5.71,5.58,5.47,5.37,5.28,5.2,5.13,5.05,4.97,4.9,4.83,4.77,4.7,4.64,4.59,4.53,4.48,4.43,4.38,4.33,4.28,4.24,4.19,4.14,4.1,4.05,4.01,3.97,3.92,3.88,3.84,3.79,3.75,3.71,3.67,3.63,3.59,3.55,3.51,3.48,3.44,3.4,3.36,3.33,3.29,3.25,3.22,3.18,3.15,3.11,3.08,3.05,3.01,2.98,2.95,2.91,2.88,2.85
13,44.4,22.72,14.85,14.8,29.01,14.4,7.19,14.54,22.15,14.99,0.0,22.98,47.33,31.64,15.76,0.0,0.0,8.01,8.13,25.24,26.25,8.87,0.0,0.0,16.73,16.55,7.95,7.64,37.95,7.58,7.46,8.06,8.32,8.06,7.82,7.61,7.41,7.25,7.11,6.99,6.89,6.79,6.69,6.6,6.5,6.41,6.33,6.24,6.17,6.09,6.02,5.95,5.88,5.81,5.75,5.69,5.63,5.56,5.5,5.44,5.38,5.32,5.27,5.21,5.15,5.1,5.04,4.98,4.93,4.88,4.82,4.77,4.72,4.67,4.61,4.56,4.51,4.47,4.42,4.37,4.32,4.27,4.23,4.18,4.13,4.09,4.04,4.0,3.96,3.91,3.87,3.83,3.79,3.74
14,37.11,22.71,22.22,29.59,21.78,14.4,21.45,50.99,44.37,22.51,15.07,46.02,15.73,23.64,7.86,15.82,15.84,39.9,24.37,8.4,17.47,17.72,8.7,8.47,16.66,8.27,7.95,7.59,7.54,7.54,10.29,11.25,10.92,10.6,10.3,10.03,9.79,9.59,9.41,9.26,9.12,9.0,8.88,8.75,8.63,8.52,8.41,8.3,8.2,8.1,8.01,7.92,7.83,7.74,7.66,7.57,7.49,7.41,7.33,7.25,7.17,7.09,7.01,6.94,6.86,6.78,6.71,6.64,6.56,6.49,6.42,6.35,6.28,6.21,6.14,6.08,6.01,5.95,5.88,5.82,5.75,5.69,5.63,5.57,5.5,5.44,5.38,5.33,5.27,5.21,5.15,5.1,5.04,4.99
15,67.0,52.98,44.37,22.24,58.0,49.99,50.17,29.2,22.23,52.6,52.71,76.6,47.18,39.24,54.94,31.63,15.77,39.93,40.55,33.61,17.44,35.36,17.32,8.43,24.92,8.26,7.9,7.55,30.05,18.7,15.3,14.88,14.46,14.06,13.67,13.33,13.02,12.75,12.53,12.33,12.15,11.99,11.83,11.67,11.51,11.36,11.22,11.08,10.95,10.82,10.7,10.58,10.46,10.35,10.24,10.12,10.01,9.9,9.8,9.69,9.58,9.48,9.37,9.27,9.17,9.07,8.97,8.87,8.78,8.68,8.58,8.49,8.4,8.31,8.21,8.12,8.04,7.95,7.86,7.78,7.69,7.61,7.52,7.44,7.36,7.28,7.2,7.12,7.04,6.97,6.89,6.81,6.74,6.67
16,59.8,68.27,73.97,74.2,57.51,28.65,43.08,29.28,74.18,37.57,67.8,76.71,31.38,23.49,39.17,94.77,47.27,7.97,8.09,42.0,17.42,26.45,8.62,16.81,33.19,0.0,55.04,30.13,23.96,22.32,21.74,21.16,20.57,20.01,19.48,19.0,18.57,18.21,17.89,17.61,17.36,17.13,16.91,16.68,16.46,16.25,16.05,15.86,15.68,15.5,15.32,15.15,14.99,14.82,14.66,14.5,14.34,14.19,14.03,13.88,13.73,13.58,13.43,13.28,13.13,12.99,12.85,12.71,12.57,12.43,12.3,12.16,12.03,11.9,11.77,11.64,11.51,11.38,11.26,11.14,11.01,10.89,10.78,10.66,10.54,10.43,10.31,10.2,10.09,9.98,9.87,9.76,9.65,9.55
17,75.72,61.38,89.3,74.37,64.72,57.3,35.98,102.42,81.48,22.51,128.17,84.37,39.14,101.32,47.03,23.69,31.41,55.68,32.35,16.82,26.07,44.1,112.0,25.21,16.53,16.36,15.65,30.7,35.86,34.97,34.1,33.22,32.34,31.49,30.7,29.98,29.35,28.79,28.32,27.89,27.51,27.15,26.8,26.46,26.12,25.8,25.49,25.2,24.91,24.63,24.36,24.09,23.82,23.56,23.31,23.05,22.8,22.55,22.3,22.06,21.82,21.58,21.34,21.11,20.88,20.65,20.42,20.2,19.98,19.76,19.55,19.33,19.12,18.91,18.7,18.5,18.3,18.1,17.9,17.7,17.51,17.32,17.13,16.94,16.76,16.57,16.39,16.21,16.03,15.86,15.69,15.51,15.34,15.18
18,64.78,97.54,83.43,134.6,79.99,114.96,158.56,73.08,126.23,112.73,67.52,91.89,70.23,78.42,70.84,70.94,70.63,63.78,48.59,16.86,34.91,35.54,26.01,41.97,57.81,65.3,52.39,48.93,47.85,46.77,45.7,44.63,43.56,42.52,41.54,40.66,39.87,39.18,38.58,38.04,37.55,37.09,36.64,36.19,35.75,35.33,34.92,34.52,34.14,33.76,33.39,33.02,32.66,32.31,31.95,31.6,31.26,30.91,30.58,30.24,29.91,29.58,29.26,28.94,28.62,28.31,28.0,27.69,27.39,27.09,26.8,26.5,26.21,25.93,25.64,25.36,25.08,24.81,24.54,24.27,24.01,23.74,23.48,23.23,22.97,22.72,22.47,22.23,21.98,21.74,21.5,21.27,21.04,20.81
19,110.29,102.12,77.77,77.63,67.27,51.9,141.23,120.6,167.58,99.4,137.78,117.28,104.6,88.41,64.36,24.14,80.04,57.36,91.17,112.3,90.24,91.83,44.99,59.55,92.28,66.91,59.91,58.81,57.67,56.53,55.39,54.24,53.08,51.95,50.89,49.92,49.05,48.28,47.61,47.0,46.43,45.89,45.36,44.83,44.31,43.8,43.31,42.82,42.35,41.89,41.43,40.98,40.53,40.08,39.65,39.21,38.78,38.36,37.94,37.52,37.11,36.71,36.31,35.91,35.52,35.13,34.74,34.36,33.99,33.62,33.25,32.88,32.53,32.17,31.82,31.47,31.13,30.78,30.45,30.11,29.79,29.46,29.14,28.82,28.5,28.19,27.88,27.58,27.28,26.98,26.68,26.39,26.1,25.82
