age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
10,0.0,5.53,11.07,5.54,0.0,5.37,5.29,5.22,15.88,21.28,15.71,20.75,16.04,5.44,11.12,11.24,16.63,22.72,0.0,6.03,0.0,0.0,19.2,6.21,0.0,0.0,0.0,5.6,11.33,11.18,5.54,16.51,0.0,0.0,3.56,4.68,4.55,4.43,4.33,4.22,4.13,4.04,3.96,3.89,3.82,3.76,3.7,3.64,3.59,3.54,3.49,3.45,3.41,3.36,3.33,3.29,3.25,3.21,3.18,3.14,3.11,3.08,3.04,3.01,2.98,2.94,2.91,2.88,2.85,2.82,2.79,2.76,2.72,2.7,2.67,2.64,2.61,2.58,2.55,2.52,2.5,2.47,2.44,2.41,2.39,2.36,2.34,2.31,2.29,2.26,2.24,2.21,2.19,2.16
11,5.43,5.51,5.52,22.09,5.32,5.36,15.85,31.26,21.09,10.62,5.2,5.15,15.94,5.41,0.0,22.42,16.57,11.34,5.79,18.07,0.0,12.79,6.37,12.37,6.02,11.92,0.0,0.0,5.64,0.0,5.48,0.0,11.05,6.69,5.23,5.09,4.96,4.84,4.73,4.63,4.53,4.45,4.36,4.29,4.22,4.15,4.09,4.03,3.98,3.92,3.87,3.83,3.78,3.74,3.69,3.65,3.61,3.57,3.53,3.49,3.46,3.42,3.38,3.34,3.31,3.27,3.24,3.2,3.16,3.13,3.1,3.06,3.03,3.0,2.96,2.93,2.9,2.87,2.84,2.8,2.77,2.74,2.71,2.68,2.65,2.62,2.6,2.57,2.54,2.51,2.48,2.46,2.43,2.4
12,10.83,5.49,11.02,11.01,0.0,21.43,0.0,5.21,5.26,5.29,10.34,5.12,15.87,16.15,5.52,16.78,22.06,5.65,17.36,6.01,0.0,0.0,12.68,12.31,12.0,5.96,0.0,11.13,5.62,0.0,5.4,0.0,4.67,6.15,6.0,5.85,5.71,5.58,5.47,5.36,5.25,5.16,5.07,4.99,4.91,4.84,4.77,4.71,4.65,4.59,4.53,4.48,4.43,4.37,4.33,4.28,4.23,4.18,4.14,4.09,4.05,4.0,3.96,3.92,3.87,3.83,3.79,3.75,3.71,3.67,3.63,3.59,3.55,3.51,3.47,3.43,3.4,3.36,3.32,3.29,3.25,3.21,3.18,3.14,3.11,3.08,3.04,3.01,2.98,2.94,2.91,2.88,2.85,2.82
13,10.82,5.49,0.0,5.5,5.32,5.35,21.14,10.39,21.0,15.82,0.0,30.6,15.8,10.71,5.51,16.77,0.0,16.92,23.11,12.01,12.42,0.0,0.0,6.12,5.98,11.9,5.8,22.14,16.72,10.89,16.08,9.69,7.56,7.38,7.2,7.04,6.89,6.74,6.61,6.49,6.37,6.27,6.17,6.07,5.99,5.9,5.82,5.75,5.68,5.61,5.54,5.48,5.42,5.35,5.3,5.24,5.18,5.12,5.07,5.01,4.96,4.9,4.85,4.8,4.74,4.69,4.64,4.59,4.54,4.49,4.44,4.39,4.34,4.3,4.25,4.2,4.16,4.11,4.07,4.02,3.98,3.93,3.89,3.85,3.81,3.77,3.72,3.68,3.64,3.6,3.56,3.52,3.49,3.45
14,5.4,21.91,21.99,5.5,21.21,10.7,10.57,5.2,5.25,0.0,20.54,15.24,31.41,10.65,11.01,16.76,10.99,11.28,17.31,5.99,18.58,6.29,25.1,12.18,5.96,5.93,11.57,0.0,11.04,5.41,8.4,9.33,9.11,8.91,8.71,8.53,8.36,8.2,8.05,7.91,7.78,7.65,7.54,7.43,7.33,7.24,7.14,7.05,6.97,6.89,6.81,6.73,6.66,6.58,6.51,6.44,6.37,6.3,6.23,6.16,6.09,6.03,5.96,5.9,5.83,5.77,5.71,5.64,5.58,5.52,5.46,5.4,5.34,5.28,5.22,5.17,5.11,5.06,5.0,4.95,4.89,4.84,4.78,4.73,4.68,4.63,4.58,4.53,4.48,4.43,4.38,4.33,4.29,4.24
15,26.92,38.3,38.44,11.0,10.63,21.45,21.14,10.41,41.94,10.51,5.12,30.31,15.63,10.59,16.49,11.16,21.92,11.24,23.05,11.97,0.0,12.52,37.43,12.12,11.82,17.79,5.73,21.76,10.95,11.3,11.33,11.09,10.85,10.62,10.41,10.2,10.01,9.83,9.67,9.51,9.36,9.22,9.09,8.97,8.85,8.74,8.64,8.53,8.43,8.34,8.24,8.15,8.06,7.97,7.89,7.8,7.71,7.63,7.55,7.46,7.38,7.3,7.22,7.14,7.06,6.99,6.91,6.83,6.76,6.69,6.61,6.54,6.47,6.4,6.33,6.26,6.19,6.12,6.06,5.99,5.92,5.86,5.8,5.73,5.67,5.61,5.55,5.49,5.43,5.37,5.31,5.25,5.19,5.13
16,26.92,27.34,33.0,16.49,26.62,5.38,10.58,36.39,10.48,5.25,30.52,10.04,20.71,15.85,27.38,5.58,10.96,5.61,17.24,29.81,6.15,6.22,0.0,6.01,11.79,17.62,34.07,5.4,11.88,13.96,13.68,13.41,13.14,12.89,12.64,12.41,12.2,11.99,11.8,11.62,11.45,11.29,11.14,11.0,10.86,10.73,10.61,10.48,10.36,10.25,10.13,10.02,9.91,9.8,9.7,9.59,9.48,9.38,9.28,9.18,9.08,8.98,8.88,8.78,8.69,8.59,8.5,8.4,8.31,8.22,8.13,8.04,7.95,7.87,7.78,7.7,7.61,7.53,7.45,7.36,7.28,7.2,7.13,7.05,6.97,6.89,6.82,6.74,6.67,6.6,6.53,6.45,6.38,6.31
17,16.22,16.46,22.05,5.51,16.0,26.94,10.58,41.61,31.34,15.66,15.13,4.98,25.81,5.25,16.39,16.74,5.46,22.38,22.92,5.96,0.0,6.18,24.55,11.94,17.51,11.64,5.62,13.88,16.53,16.22,15.92,15.63,15.34,15.06,14.8,14.55,14.31,14.09,13.88,13.68,13.49,13.31,13.14,12.98,12.82,12.67,12.53,12.39,12.25,12.11,11.98,11.85,11.72,11.59,11.46,11.34,11.21,11.09,10.97,10.85,10.73,10.61,10.5,10.38,10.27,10.16,10.04,9.94,9.83,9.72,9.61,9.51,9.4,9.3,9.2,9.1,9.0,8.9,8.8,8.71,8.61,8.52,8.42,8.33,8.24,8.15,8.06,7.97,7.89,7.8,7.71,7.63,7.55,7.46
18,21.74,66.46,22.21,32.74,26.47,32.02,31.43,25.61,20.54,30.58,19.72,14.68,15.13,20.41,0.0,21.95,5.39,22.08,17.13,41.34,30.3,0.0,11.99,29.41,17.12,11.34,17.14,18.97,18.64,18.32,18.0,17.69,17.39,17.1,16.82,16.55,16.3,16.06,15.83,15.62,15.42,15.22,15.03,14.85,14.68,14.51,14.35,14.19,14.03,13.88,13.73,13.57,13.43,13.28,13.13,12.99,12.85,12.71,12.57,12.43,12.3,12.16,12.03,11.9,11.77,11.64,11.51,11.38,11.26,11.14,11.01,10.89,10.78,10.66,10.54,10.43,10.31,10.2,10.09,9.98,9.87,9.76,9.65,9.55,9.44,9.34,9.24,9.14,9.04,8.94,8.84,8.74,8.65,8.55
19,37.48,21.68,10.8,5.3,25.77,20.66,20.18,39.41,34.07,4.84,18.71,18.49,32.74,24.54,25.76,37.15,31.3,37.99,33.57,34.8,29.21,17.22,17.18,16.61,0.0,15.53,20.61,20.29,19.97,19.65,19.33,19.01,18.71,18.42,18.13,17.86,17.6,17.36,17.13,16.91,16.7,16.49,16.3,16.11,15.92,15.74,15.57,15.4,15.23,15.06,14.9,14.73,14.57,14.41,14.25,14.1,13.94,13.79,13.64,13.49,13.34,13.2,13.05,12.91,12.77,12.63,12.49,12.36,12.22,12.09,11.95,11.82,11.69,11.57,11.44,11.31,11.19,11.07,10.95,10.83,10.71,10.59,10.48,10.36,10.25,10.14,10.03,9.92,9.81,9.7,9.59,9.49,9.39,9.28
