age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
10,0.0,7.85,0.0,15.49,23.14,0.0,7.58,7.62,0.0,0.0,7.88,8.02,0.0,8.27,0.0,17.12,0.0,0.0,0.0,18.0,0.0,0.0,0.0,9.14,8.98,8.78,0.0,16.07,0.0,0.0,0.0,7.92,0.0,0.0,3.02,4.0,3.89,3.79,3.7,3.61,3.53,3.46,3.39,3.33,3.27,3.22,3.16,3.12,3.07,3.03,2.99,2.95,2.91,2.88,2.84,2.81,2.78,2.75,2.72,2.69,2.66,2.63,2.6,2.57,2.54,2.52,2.49,2.46,2.43,2.41,2.38,2.36,2.33,2.3,2.28,2.25,2.23,2.21,2.18,2.16,2.13,2.11,2.09,2.06,2.04,2.02,2.0,1.98,1.95,1.93,1.91,1.89,1.87,1.85
11,0.0,23.41,0.0,7.72,15.34,0.0,15.16,15.25,0.0,7.82,0.0,8.04,8.21,8.24,8.41,0.0,16.66,0.0,17.18,0.0,9.22,9.26,9.25,0.0,8.93,17.52,8.41,16.03,0.0,24.01,0.0,0.0,7.96,6.35,5.84,5.69,5.55,5.41,5.29,5.18,5.07,4.97,4.88,4.8,4.72,4.64,4.57,4.51,4.45,4.39,4.33,4.28,4.23,4.18,4.13,4.08,4.04,3.99,3.95,3.91,3.86,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.54,3.5,3.46,3.42,3.39,3.35,3.31,3.28,3.24,3.21,3.17,3.14,3.1,3.07,3.03,3.0,2.97,2.94,2.9,2.87,2.84,2.81,2.78,2.75,2.72,2.69
12,22.93,15.56,15.52,7.69,0.0,7.59,7.58,7.61,15.6,7.83,23.69,0.0,16.36,24.62,8.37,0.0,8.3,8.42,0.0,0.0,9.16,0.0,0.0,9.04,17.77,0.0,0.0,16.04,15.96,7.97,0.0,0.0,4.92,6.52,6.35,6.2,6.05,5.92,5.79,5.68,5.57,5.47,5.37,5.29,5.21,5.13,5.06,4.99,4.93,4.86,4.8,4.75,4.69,4.64,4.59,4.53,4.49,4.44,4.39,4.34,4.29,4.24,4.2,4.15,4.11,4.06,4.02,3.97,3.93,3.89,3.84,3.8,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.48,3.44,3.41,3.37,3.33,3.3,3.26,3.22,3.19,3.15,3.12,3.09,3.05,3.02,2.99
13,0.0,38.77,7.72,23.0,7.61,30.33,7.58,15.22,23.39,0.0,15.81,8.06,32.59,24.5,0.0,16.82,0.0,25.22,0.0,0.0,27.26,0.0,9.14,8.99,0.0,8.7,8.41,16.05,7.93,7.92,7.76,6.9,6.66,6.5,6.35,6.2,6.07,5.94,5.83,5.72,5.62,5.52,5.43,5.35,5.28,5.2,5.13,5.07,5.0,4.94,4.88,4.83,4.77,4.72,4.67,4.62,4.57,4.52,4.47,4.42,4.37,4.32,4.27,4.23,4.18,4.14,4.09,4.05,4.0,3.96,3.91,3.87,3.83,3.79,3.75,3.7,3.66,3.62,3.58,3.54,3.51,3.47,3.43,3.39,3.36,3.32,3.28,3.25,3.21,3.18,3.14,3.11,3.07,3.04
14,22.94,23.1,38.42,15.28,7.59,7.57,15.13,0.0,31.19,15.68,39.5,40.22,16.21,8.14,8.3,33.52,0.0,8.37,17.12,8.95,0.0,9.09,9.1,0.0,8.76,17.38,8.42,15.97,7.89,0.0,5.92,7.86,7.68,7.5,7.34,7.19,7.04,6.91,6.78,6.66,6.55,6.45,6.35,6.26,6.18,6.1,6.02,5.94,5.87,5.8,5.74,5.67,5.61,5.55,5.48,5.42,5.37,5.31,5.25,5.19,5.13,5.08,5.02,4.97,4.91,4.86,4.81,4.75,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.35,4.31,4.26,4.21,4.17,4.12,4.08,4.03,3.99,3.94,3.9,3.86,3.82,3.77,3.73,3.69,3.65,3.61,3.57
15,15.25,7.67,22.94,53.42,30.26,22.62,30.27,15.24,15.61,7.85,23.69,24.08,8.09,24.31,16.55,8.35,24.68,16.65,17.08,17.87,18.01,9.06,27.13,8.89,8.74,8.69,0.0,7.95,7.86,10.4,11.28,11.03,10.8,10.57,10.36,10.15,9.96,9.79,9.62,9.46,9.32,9.18,9.05,8.93,8.81,8.7,8.6,8.49,8.39,8.3,8.2,8.11,8.02,7.94,7.85,7.76,7.68,7.59,7.51,7.43,7.35,7.27,7.19,7.11,7.03,6.95,6.88,6.8,6.73,6.65,6.58,6.51,6.44,6.37,6.3,6.23,6.16,6.09,6.03,5.96,5.9,5.83,5.77,5.7,5.64,5.58,5.52,5.46,5.4,5.34,5.28,5.22,5.17,5.11
16,30.56,30.59,30.52,15.28,30.19,7.54,45.42,38.12,23.41,31.35,39.45,40.11,40.38,32.38,33.02,8.32,0.0,24.86,25.6,17.84,26.91,53.98,9.01,0.0,34.86,8.64,25.0,7.92,13.52,15.44,15.13,14.83,14.53,14.25,13.98,13.73,13.49,13.26,13.05,12.86,12.67,12.49,12.32,12.17,12.02,11.87,11.73,11.59,11.46,11.33,11.21,11.08,10.96,10.84,10.72,10.61,10.49,10.37,10.26,10.15,10.04,9.93,9.82,9.71,9.61,9.5,9.4,9.29,9.19,9.09,8.99,8.89,8.8,8.7,8.61,8.51,8.42,8.33,8.24,8.14,8.06,7.97,7.88,7.79,7.71,7.62,7.54,7.46,7.38,7.3,7.22,7.14,7.06,6.98
17,30.97,0.0,46.11,15.36,7.56,7.56,30.3,45.79,31.18,23.46,55.22,32.07,24.18,8.06,16.48,41.48,24.36,16.48,8.53,8.92,0.0,8.96,9.01,17.7,0.0,0.0,16.59,16.37,16.41,16.11,15.81,15.51,15.23,14.95,14.69,14.44,14.21,13.99,13.78,13.58,13.4,13.22,13.05,12.89,12.73,12.58,12.44,12.3,12.16,12.03,11.89,11.76,11.63,11.51,11.38,11.26,11.13,11.01,10.89,10.77,10.65,10.54,10.42,10.31,10.2,10.08,9.97,9.86,9.76,9.65,9.54,9.44,9.34,9.23,9.13,9.03,8.93,8.84,8.74,8.64,8.55,8.46,8.36,8.27,8.18,8.09,8.0,7.92,7.83,7.74,7.66,7.58,7.49,7.41
18,49.86,24.47,23.77,7.77,23.01,30.33,30.39,15.29,23.37,54.78,23.63,24.06,24.07,32.34,41.47,33.29,8.11,24.93,25.83,53.77,0.0,45.32,18.31,26.73,34.95,17.24,19.72,20.72,20.37,20.02,19.67,19.33,19.0,18.68,18.37,18.08,17.81,17.55,17.3,17.07,16.84,16.63,16.42,16.23,16.04,15.86,15.68,15.5,15.33,15.16,15.0,14.83,14.67,14.51,14.35,14.19,14.04,13.88,13.73,13.58,13.43,13.29,13.14,13.0,12.86,12.71,12.58,12.44,12.3,12.17,12.03,11.9,11.77,11.64,11.52,11.39,11.27,11.14,11.02,10.9,10.78,10.66,10.55,10.43,10.32,10.2,10.09,9.98,9.87,9.76,9.66,9.55,9.45,9.34
19,34.74,17.36,0.0,16.11,23.56,15.57,23.46,15.64,31.81,87.96,48.39,16.32,0.0,8.5,34.84,34.89,8.47,17.61,18.08,18.97,77.24,29.42,10.0,28.05,27.28,25.88,25.69,25.29,24.89,24.49,24.09,23.7,23.32,22.96,22.6,22.27,21.94,21.64,21.35,21.08,20.81,20.56,20.31,20.08,19.85,19.63,19.41,19.19,18.98,18.77,18.57,18.37,18.17,17.97,17.77,17.58,17.38,17.19,17.0,16.82,16.63,16.45,16.27,16.1,15.92,15.74,15.57,15.4,15.23,15.07,14.9,14.74,14.58,14.42,14.26,14.1,13.95,13.8,13.65,13.5,13.35,13.2,13.06,12.92,12.78,12.64,12.5,12.36,12.23,12.09,11.96,11.83,11.7,11.57
