age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
10,18.18,17.08,17.14,12.7,19.61,12.46,16.93,14.34,13.14,13.79,15.34,10.01,9.22,11.89,11.53,12.04,7.05,11.7,7.8,8.8,8.75,9.45,7.85,10.84,10.06,7.48,6.03,9.51,7.05,7.24,3.34,7.09,7.37,6.68,6.93,6.58,6.44,6.31,6.15,6.01,5.92,5.88,5.85,5.76,5.65,5.47,5.28,5.1,4.91,4.86,4.88,4.82,4.68,4.62,4.62,4.61,4.6,4.58,4.57,4.47,4.31,4.22,4.21,4.2,4.2,4.2,4.21,4.15,4.02,3.98,4.01,4.05,3.86,3.67,3.71,3.75,3.63,3.43,3.38,3.41,3.43,3.45,3.38,3.23,3.16,3.17,3.17,3.18,3.18,3.18,3.18,3.09,3.01,3.01
11,17.38,19.8,17.94,14.83,16.94,15.82,17.16,14.31,11.86,13.76,16.04,12.48,9.7,13.87,13.84,11.97,9.09,10.31,9.63,8.21,11.54,6.55,10.01,11.3,8.42,7.72,9.79,8.5,5.34,7.95,9.18,11.39,7.95,7.36,7.39,7.1,6.84,6.66,6.57,6.5,6.43,6.39,6.3,6.23,6.06,5.82,5.7,5.59,5.47,5.43,5.45,5.32,5.18,5.19,5.12,5.04,5.03,4.94,4.84,4.75,4.66,4.64,4.63,4.62,4.61,4.62,4.56,4.43,4.38,4.4,4.37,4.26,4.22,4.27,4.24,4.05,3.93,3.97,3.93,3.88,3.91,3.76,3.62,3.55,3.48,3.49,3.49,3.5,3.5,3.5,3.41,3.33,3.24,3.16
12,20.59,24.14,19.84,19.37,19.52,16.07,17.9,16.05,19.16,11.76,15.51,15.22,16.8,11.78,13.52,9.85,10.07,11.04,10.64,11.21,10.95,10.48,8.28,9.61,10.2,10.01,11.51,9.7,8.47,12.61,9.5,6.87,8.39,8.59,8.26,7.97,7.78,7.63,7.48,7.31,7.18,7.09,6.96,6.84,6.75,6.66,6.61,6.51,6.4,6.43,6.31,6.11,6.05,5.99,5.84,5.76,5.68,5.58,5.56,5.54,5.51,5.49,5.4,5.32,5.32,5.25,5.12,4.99,4.94,4.9,4.87,4.84,4.81,4.79,4.69,4.66,4.71,4.67,4.55,4.51,4.46,4.4,4.26,4.11,4.13,4.14,4.14,4.15,4.07,3.9,3.82,3.73,3.65,3.65
13,21.12,21.97,22.0,19.87,20.77,16.82,16.09,20.29,20.97,18.75,14.04,17.7,19.33,16.32,11.65,13.64,9.76,8.63,10.11,13.65,10.91,10.69,8.48,12.18,11.96,13.82,9.75,10.16,13.15,11.96,9.38,9.91,10.0,9.69,9.43,9.26,9.03,8.83,8.64,8.49,8.32,8.12,8.08,8.06,7.87,7.71,7.67,7.57,7.54,7.43,7.24,7.19,7.14,7.0,6.93,6.92,6.91,6.81,6.71,6.68,6.65,6.56,6.46,6.38,6.31,6.24,6.11,6.06,6.01,5.98,5.95,5.86,5.77,5.6,5.51,5.49,5.39,5.29,5.25,5.22,5.17,5.12,5.06,5.0,4.94,4.95,4.95,4.88,4.71,4.55,4.46,4.46,4.46,4.46
14,25.65,27.91,24.44,25.47,23.05,19.65,24.21,23.16,21.24,20.02,18.95,19.45,20.54,14.22,14.42,12.79,12.76,13.08,13.02,13.34,9.75,14.51,10.85,14.18,10.84,13.78,9.96,10.99,18.37,12.49,12.29,12.16,11.76,11.48,11.17,10.89,10.68,10.45,10.29,10.1,9.9,9.86,9.72,9.49,9.31,9.17,9.06,8.98,8.88,8.78,8.75,8.63,8.5,8.52,8.45,8.36,8.27,8.17,8.14,8.03,7.93,7.89,7.8,7.64,7.49,7.43,7.45,7.33,7.22,7.27,7.18,7.02,6.87,6.79,6.78,6.62,6.54,6.52,6.42,6.39,6.35,6.31,6.26,6.12,5.98,5.91,5.92,5.92,5.76,5.6,5.59,5.59,5.59,5.51
15,34.98,30.31,29.29,26.49,25.4,25.98,28.92,24.95,29.08,23.47,25.2,28.03,21.17,25.66,17.35,17.23,13.28,16.47,14.83,18.15,14.94,17.99,20.42,13.53,16.94,18.29,14.74,20.24,16.96,16.07,15.55,15.08,14.72,14.31,13.9,13.55,13.26,13.02,12.77,12.57,12.42,12.28,12.14,11.99,11.73,11.6,11.5,11.29,11.07,10.98,10.88,10.77,10.72,10.59,10.52,10.44,10.34,10.31,10.2,9.94,9.75,9.71,9.61,9.38,9.23,9.24,9.05,8.87,8.91,8.82,8.67,8.6,8.54,8.56,8.5,8.43,8.36,8.28,8.28,8.18,8.08,8.05,8.0,7.71,7.49,7.51,7.44,7.28,7.2,7.2,7.12,7.03,6.95,6.78
16,49.64,48.7,43.33,42.81,34.69,39.87,38.71,33.03,35.08,35.47,34.49,36.51,28.72,22.9,23.73,20.52,22.44,22.14,19.23,23.4,24.18,22.76,20.74,17.31,20.39,25.74,25.56,25.7,21.99,21.63,21.11,20.56,19.99,19.38,18.94,18.6,18.19,17.81,17.56,17.25,17.01,16.87,16.65,16.37,16.21,16.04,15.75,15.49,15.37,15.23,15.07,14.83,14.58,14.53,14.39,14.23,14.13,14.01,13.81,13.54,13.41,13.36,13.18,13.01,12.86,12.59,12.41,12.37,12.29,12.07,11.95,11.84,11.74,11.64,11.54,11.43,11.31,11.19,11.13,10.98,10.73,10.72,10.52,10.33,10.28,10.14,10.07,10.0,9.92,9.84,9.6,9.43,9.43,9.34
17,57.26,62.29,58.2,59.97,58.23,52.86,52.9,60.48,58.1,49.4,52.62,49.78,38.79,35.14,33.97,29.3,29.65,30.23,29.97,31.45,35.07,28.4,28.93,33.7,28.23,30.79,27.22,30.34,30.38,29.74,29.06,28.24,27.43,26.89,26.36,25.73,25.2,24.77,24.3,23.99,23.75,23.45,23.08,22.75,22.49,22.23,22.04,21.89,21.59,21.27,20.92,20.56,20.39,20.21,20.07,19.91,19.65,19.44,19.22,19.0,18.85,18.57,18.3,18.05,17.83,17.71,17.47,17.31,17.17,16.99,16.84,16.7,16.57,16.22,15.88,15.74,15.59,15.5,15.32,15.05,14.99,14.92,14.67,14.49,14.38,14.25,14.03,13.8,13.72,13.56,13.32,13.23,13.06,12.9
18,72.12,80.49,85.4,80.37,74.37,68.41,68.15,61.78,63.37,59.18,56.6,53.87,40.59,50.86,39.58,42.39,43.14,39.28,37.94,45.57,37.27,36.83,43.92,39.73,46.44,44.98,38.82,38.27,37.51,36.75,35.89,35.09,34.4,33.67,32.87,32.14,31.53,30.97,30.54,30.17,29.91,29.51,29.0,28.63,28.34,28.12,27.88,27.56,27.09,26.65,26.4,26.2,25.91,25.66,25.46,25.07,24.66,24.44,24.2,23.96,23.65,23.35,23.14,22.89,22.67,22.34,22.11,21.91,21.65,21.5,21.32,21.15,20.77,20.39,20.31,20.07,19.74,19.54,19.4,19.32,19.21,18.92,18.62,18.38,18.12,17.84,17.55,17.4,17.33,17.17,17.0,16.84,16.67,16.59
19,84.13,91.7,72.91,68.99,64.24,71.45,71.04,65.49,64.07,63.88,46.58,49.22,45.66,50.48,45.61,45.63,44.24,41.97,49.36,43.96,43.48,53.68,46.55,52.16,49.32,44.04,43.64,42.94,42.19,41.35,40.57,39.83,38.95,38.07,37.28,36.63,35.98,35.45,35.02,34.68,34.31,33.73,33.22,32.92,32.7,32.3,31.95,31.52,31.01,30.74,30.44,30.04,29.76,29.53,29.18,28.8,28.45,28.15,27.91,27.58,27.34,27.1,26.81,26.55,26.13,25.75,25.4,25.06,24.9,24.63,24.33,24.12,23.92,23.81,23.54,23.04,22.67,22.5,22.39,22.25,22.01,21.67,21.3,20.99,20.75,20.48,20.35,20.21,19.98,19.83,19.66,19.42,19.26,19.02
