,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
10,18.18,17.08,17.14,12.70,19.61,12.46,16.93,14.34,13.14,13.79,15.34,10.01,9.22,11.89,11.53,12.04,7.05,11.70,7.80,8.80,8.75,9.45,7.89,10.93,10.10,7.41,5.94,9.37,6.94,7.09,6.18,6.12,5.90,5.64,5.37,5.27,5.17,5.05,5.01,4.99,4.89,4.84,4.80,4.66,4.59,4.61,4.41,4.22,4.16,4.10,4.03,3.97,3.89,3.82,3.81,3.79,3.76,3.72,3.69,3.66,3.63,3.61,3.52,3.44,3.44,3.38,3.32,3.34,3.36,3.31,3.27,3.23,3.19,3.15,3.04,2.99,2.94,2.88,2.83,2.77,2.70,2.64,2.56,2.49,2.49,2.49,2.41,2.33,2.32,2.32,2.24,2.16,2.08,2.01,2.00,2.00,2.00,2.00,2.00,2.01,1.94,1.87,1.88,1.89,1.82,1.76,1.76,1.77,1.78,1.78,1.72,1.65,1.65,1.65,1.66,1.58,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.50,1.50,1.50,1.50,1.42,1.35,1.33,1.32,1.30,1.29,1.27,1.26,1.24,1.23,1.21,1.20,1.18
11,17.38,19.80,17.94,14.83,16.94,15.82,17.16,14.31,11.86,13.76,16.04,12.48,9.70,13.87,13.84,11.97,9.09,10.31,9.63,8.21,11.51,6.56,10.09,11.41,8.46,7.62,9.60,8.37,5.24,6.69,6.68,6.55,6.34,6.08,5.94,5.83,5.68,5.52,5.36,5.22,5.20,5.10,4.99,4.92,4.85,4.79,4.74,4.62,4.49,4.43,4.37,4.37,4.23,4.08,4.07,4.05,4.02,3.98,3.94,3.91,3.88,3.79,3.70,3.69,3.62,3.56,3.57,3.59,3.54,3.50,3.46,3.42,3.45,3.41,3.30,3.26,3.28,3.23,3.17,3.11,2.98,2.91,2.92,2.92,2.91,2.91,2.91,2.90,2.89,2.81,2.66,2.44,2.29,2.28,2.28,2.28,2.28,2.28,2.21,2.14,2.14,2.08,2.01,1.95,1.88,1.89,1.90,1.91,1.92,1.92,1.86,1.79,1.79,1.80,1.72,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.57,1.49,1.49,1.49,1.47,1.46,1.44,1.42,1.41,1.39,1.37,1.36,1.34,1.32,1.31,1.29
12,20.59,24.14,19.84,19.37,19.52,16.07,17.90,16.05,19.16,11.76,15.51,15.22,16.80,11.78,13.52,9.85,10.07,11.04,10.64,11.18,10.91,10.50,8.36,9.72,10.25,9.85,11.28,9.52,7.69,7.66,7.45,7.32,7.11,6.88,6.73,6.57,6.44,6.29,6.09,5.97,5.84,5.76,5.65,5.51,5.51,5.39,5.20,5.15,5.10,5.04,5.05,4.91,4.77,4.69,4.61,4.58,4.55,4.51,4.47,4.43,4.40,4.37,4.35,4.27,4.19,4.13,4.08,4.03,3.99,3.89,3.78,3.82,3.85,3.74,3.64,3.67,3.69,3.64,3.59,3.53,3.47,3.48,3.48,3.41,3.34,3.33,3.32,3.32,3.31,3.23,3.08,3.00,2.99,2.98,2.91,2.83,2.83,2.76,2.69,2.70,2.63,2.57,2.57,2.51,2.45,2.39,2.33,2.34,2.27,2.13,2.07,2.00,1.93,1.93,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.86,1.71,1.64,1.63,1.63,1.61,1.59,1.58,1.56,1.54,1.52,1.50,1.48,1.47,1.45,1.43,1.41,1.40
13,21.12,21.97,22.00,19.87,20.77,16.82,16.09,20.29,20.97,18.75,14.04,17.70,19.33,16.32,11.65,13.64,9.76,8.63,10.07,13.57,10.85,10.72,8.58,12.62,11.76,13.58,9.52,9.35,9.30,9.03,8.79,8.53,8.22,7.95,7.81,7.72,7.60,7.42,7.25,7.11,6.89,6.69,6.59,6.59,6.38,6.19,6.14,6.03,5.98,5.92,5.86,5.86,5.79,5.71,5.63,5.53,5.49,5.44,5.39,5.34,5.30,5.27,5.24,5.23,5.15,4.97,4.78,4.74,4.63,4.54,4.57,4.61,4.45,4.28,4.32,4.28,4.17,4.12,4.14,4.09,4.03,4.04,3.97,3.90,3.90,3.82,3.74,3.73,3.72,3.71,3.70,3.69,3.68,3.60,3.46,3.38,3.38,3.38,3.38,3.39,3.40,3.34,3.20,3.14,3.08,3.03,3.04,2.98,2.84,2.78,2.72,2.65,2.58,2.52,2.52,2.45,2.38,2.38,2.38,2.38,2.37,2.30,2.22,2.22,2.22,2.22,2.19,2.16,2.14,2.11,2.09,2.06,2.04,2.01,1.99,1.97,1.94,1.92,1.90,1.87
14,25.65,27.91,24.44,25.47,23.05,19.65,24.21,23.16,21.24,20.02,18.95,19.45,20.54,14.22,14.42,12.79,12.76,13.02,12.93,13.22,9.67,14.56,11.00,14.40,10.92,13.51,11.78,11.68,11.37,11.08,10.81,10.47,10.01,9.71,9.52,9.31,9.10,8.96,8.77,8.49,8.31,8.21,8.12,7.99,7.85,7.67,7.49,7.45,7.40,7.28,7.15,7.08,7.01,6.87,6.78,6.74,6.69,6.63,6.57,6.52,6.40,6.30,6.26,6.24,6.11,5.98,5.93,5.83,5.73,5.71,5.75,5.60,5.44,5.49,5.40,5.30,5.34,5.30,5.12,4.99,4.87,4.74,4.74,4.74,4.67,4.52,4.44,4.43,4.41,4.40,4.39,4.38,4.30,4.15,4.07,4.07,4.06,4.07,4.07,4.00,3.87,3.81,3.83,3.84,3.78,3.73,3.74,3.69,3.63,3.57,3.51,3.45,3.38,3.39,3.32,3.25,3.18,3.10,3.10,3.10,3.03,2.95,2.95,2.95,2.94,2.91,2.87,2.84,2.80,2.77,2.74,2.70,2.67,2.64,2.61,2.58,2.55,2.52,2.49,2.46
15,34.98,30.31,29.29,26.49,25.40,25.98,28.92,24.95,29.08,23.47,25.20,28.03,21.17,25.66,17.35,17.23,13.22,16.33,14.68,17.95,15.06,17.79,20.74,13.78,17.05,15.10,14.92,14.50,14.11,13.67,13.30,12.82,12.39,12.13,11.90,11.53,11.23,11.02,10.76,10.56,10.39,10.26,10.11,9.98,9.77,9.59,9.49,9.32,9.14,9.03,8.90,8.77,8.63,8.55,8.52,8.48,8.41,8.34,8.27,8.00,7.74,7.69,7.66,7.63,7.56,7.44,7.39,7.30,7.21,7.13,6.99,6.91,6.90,6.83,6.75,6.73,6.64,6.54,6.43,6.24,6.12,6.06,6.00,6.00,5.92,5.77,5.69,5.68,5.66,5.65,5.63,5.47,5.32,5.31,5.30,5.30,5.29,5.15,4.95,4.82,4.76,4.70,4.65,4.59,4.54,4.49,4.44,4.45,4.40,4.27,4.21,4.23,4.24,4.24,4.18,4.04,3.96,3.97,3.97,3.89,3.81,3.74,3.66,3.66,3.61,3.57,3.53,3.49,3.44,3.40,3.36,3.32,3.28,3.24,3.20,3.17,3.13,3.09,3.05,3.02
16,49.64,48.70,43.33,42.81,34.69,39.87,38.71,33.03,35.08,35.47,34.49,36.26,28.72,22.90,23.73,20.43,22.28,21.89,18.99,23.09,23.91,22.88,21.13,17.63,19.41,19.17,18.55,17.99,17.39,16.93,16.44,15.94,15.48,15.10,14.65,14.23,13.98,13.71,13.41,13.10,12.89,12.74,12.61,12.41,12.27,12.17,11.81,11.51,11.41,11.30,11.18,11.04,10.90,10.82,10.72,10.60,10.52,10.43,10.21,9.99,9.91,9.79,9.67,9.58,9.50,9.38,9.22,9.13,8.99,8.85,8.73,8.67,8.54,8.34,8.28,8.20,8.19,8.10,8.00,7.96,7.77,7.65,7.59,7.52,7.44,7.36,7.28,7.19,7.17,7.15,6.99,6.83,6.82,6.80,6.79,6.72,6.50,6.37,6.30,6.17,6.05,5.99,5.94,5.90,5.85,5.73,5.68,5.71,5.66,5.53,5.41,5.35,5.29,5.16,5.09,5.03,4.96,4.89,4.81,4.81,4.74,4.66,4.65,4.60,4.54,4.49,4.44,4.38,4.33,4.28,4.23,4.18,4.13,4.08,4.03,3.98,3.93,3.88,3.84,3.79
17,57.26,62.29,58.20,59.97,58.23,52.86,52.90,60.48,58.10,49.40,52.86,49.53,38.79,35.14,33.91,29.12,29.38,29.84,29.59,31.03,34.98,28.66,29.24,24.45,24.35,23.51,22.71,22.00,21.43,20.75,20.03,19.44,18.91,18.47,18.04,17.63,17.37,17.01,16.56,16.23,15.99,15.78,15.53,15.39,15.26,14.96,14.68,14.46,14.30,14.13,14.02,13.82,13.54,13.39,13.28,13.15,12.98,12.87,12.76,12.65,12.49,12.22,12.04,12.00,11.79,11.61,11.52,11.38,11.25,11.07,10.96,10.79,10.61,10.57,10.38,10.19,10.12,10.04,9.95,9.78,9.67,9.55,9.42,9.36,9.28,9.20,8.97,8.81,8.79,8.69,8.53,8.44,8.42,8.33,8.11,7.97,7.96,7.90,7.77,7.71,7.66,7.54,7.42,7.38,7.34,7.23,7.19,7.22,7.11,6.92,6.80,6.67,6.62,6.63,6.50,6.36,6.29,6.15,6.07,6.07,6.07,6.06,5.99,5.92,5.85,5.78,5.71,5.64,5.57,5.51,5.44,5.37,5.31,5.25,5.18,5.12,5.06,5.00,4.94,4.88
18,72.12,80.49,85.40,80.37,74.37,68.41,68.15,61.78,63.37,59.42,56.60,53.87,40.59,50.78,39.96,41.96,42.89,39.00,37.66,45.16,37.17,37.64,29.96,29.89,28.82,27.79,26.93,26.20,25.42,24.54,23.91,23.40,22.87,22.38,21.92,21.52,20.92,20.41,20.05,19.71,19.40,19.05,18.89,18.69,18.42,18.14,17.88,17.60,17.32,17.22,17.05,16.72,16.51,16.42,16.24,16.02,15.91,15.77,15.57,15.31,15.01,14.79,14.72,14.54,14.40,14.29,14.08,13.88,13.64,13.48,13.33,13.17,13.09,12.87,12.64,12.53,12.41,12.27,12.13,11.97,11.87,11.75,11.56,11.35,11.27,11.05,10.82,10.80,10.70,10.54,10.44,10.34,10.18,10.02,9.87,9.79,9.72,9.59,9.53,9.40,9.29,9.17,9.00,8.96,8.79,8.62,8.58,8.48,8.37,8.26,8.14,8.10,8.12,7.99,7.86,7.87,7.73,7.59,7.59,7.51,7.44,7.35,7.26,7.17,7.09,7.00,6.92,6.83,6.75,6.67,6.59,6.51,6.43,6.36,6.28,6.20,6.13,6.06,5.98,5.91
19,84.13,91.70,72.91,68.99,64.24,71.45,71.04,65.49,64.31,63.64,46.58,48.98,46.14,50.73,45.93,45.81,44.47,41.87,48.65,43.79,43.83,35.38,35.16,33.95,32.85,31.85,30.94,30.09,29.23,28.54,27.85,27.15,26.56,26.02,25.46,24.85,24.36,23.89,23.56,23.28,22.77,22.36,22.09,21.82,21.49,21.22,20.97,20.71,20.51,20.29,20.05,19.79,19.59,19.43,19.25,19.08,18.81,18.40,18.05,17.84,17.64,17.41,17.21,17.03,16.88,16.71,16.51,16.27,16.11,15.90,15.64,15.51,15.38,15.24,15.04,14.88,14.78,14.52,14.26,14.11,13.95,13.70,13.44,13.30,13.16,13.00,12.91,12.75,12.65,12.48,12.25,12.08,11.98,11.82,11.61,11.53,11.39,11.26,11.13,11.01,10.90,10.73,10.63,10.46,10.29,10.20,10.10,10.00,9.90,9.80,9.69,9.65,9.46,9.27,9.21,9.08,8.95,8.81,8.67,8.59,8.49,8.39,8.29,8.19,8.09,7.99,7.90,7.80,7.71,7.62,7.52,7.43,7.34,7.26,7.17,7.08,7.00,6.91,6.83,6.75
