,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105
10,20.16,17.11,17.14,11.12,19.91,12.26,16.43,13.63,13.66,13.82,14.82,9.6,8.61,13.12,11.45,12.83,6.42,12.13,9.35,9.03,8.83,8.64,8.47,8.3,8.15,8.0,7.86,7.73,7.61,7.49,7.38,7.28,7.18,7.08,6.99,6.91,6.83,6.75,6.68,6.61,6.54,6.47,6.41,6.34,6.28,6.22,6.16,6.09,6.03,5.97,5.91,5.85,5.79,5.74,5.68,5.62,5.57,5.51,5.46,5.4,5.35,5.29,5.24,5.19,5.14,5.09,5.03,4.98,4.93,4.88,4.84,4.79,4.74,4.69,4.65,4.6,4.55,4.51,4.46,4.42,4.37,4.33,4.29,4.24,4.2,4.16,4.12,4.08,4.04,4.0,3.96,3.92,3.88,3.84,3.8,3.76,3.72,3.69,3.65,3.61,3.58,3.54,3.51,3.47,3.44,3.4,3.37,3.33,3.3,3.27,3.24,3.2,3.17,3.14,3.11,3.08,3.05,3.02,2.99,2.96,2.93,2.9,2.87,2.84,2.81
11,15.61,18.43,17.45,14.68,16.07,17.27,16.09,14.81,10.62,14.1,16.55,12.55,9.21,14.03,13.68,11.55,9.3,10.71,10.38,10.18,9.99,9.82,9.65,9.49,9.33,9.19,9.05,8.92,8.79,8.67,8.56,8.45,8.35,8.25,8.15,8.06,7.97,7.89,7.8,7.72,7.64,7.57,7.49,7.42,7.34,7.27,7.2,7.13,7.05,6.98,6.91,6.84,6.78,6.71,6.64,6.57,6.51,6.44,6.38,6.32,6.25,6.19,6.13,6.07,6.01,5.95,5.89,5.83,5.77,5.71,5.65,5.6,5.54,5.49,5.43,5.38,5.32,5.27,5.22,5.17,5.11,5.06,5.01,4.96,4.91,4.86,4.81,4.77,4.72,4.67,4.63,4.58,4.53,4.49,4.44,4.4,4.35,4.31,4.27,4.23,4.18,4.14,4.1,4.06,4.02,3.98,3.94,3.9,3.86,3.82,3.78,3.75,3.71,3.67,3.63,3.6,3.56,3.53,3.49,3.46,3.42,3.39,3.35,3.32,3.29
12,20.17,23.36,18.76,16.59,18.25,15.99,16.99,15.4,19.09,12.26,15.32,14.94,17.17,13.42,12.08,9.95,12.56,12.23,12.05,11.88,11.71,11.55,11.39,11.24,11.1,10.96,10.83,10.69,10.57,10.45,10.33,10.21,10.1,9.99,9.88,9.78,9.68,9.58,9.48,9.39,9.29,9.2,9.11,9.02,8.93,8.84,8.75,8.66,8.58,8.49,8.4,8.32,8.24,8.15,8.07,7.99,7.91,7.83,7.76,7.68,7.6,7.52,7.45,7.38,7.3,7.23,7.16,7.08,7.01,6.94,6.87,6.81,6.74,6.67,6.6,6.54,6.47,6.41,6.34,6.28,6.22,6.15,6.09,6.03,5.97,5.91,5.85,5.79,5.74,5.68,5.62,5.57,5.51,5.46,5.4,5.35,5.29,5.24,5.19,5.14,5.08,5.03,4.98,4.93,4.88,4.84,4.79,4.74,4.69,4.65,4.6,4.55,4.51,4.46,4.42,4.37,4.33,4.29,4.24,4.2,4.16,4.12,4.08,4.04,4.0
13,18.21,21.04,21.7,20.13,20.39,15.96,16.04,20.51,21.74,16.99,15.32,16.7,18.41,16.84,11.76,15.02,14.72,14.6,14.48,14.36,14.24,14.11,13.99,13.87,13.74,13.62,13.49,13.37,13.24,13.12,13.0,12.87,12.75,12.62,12.5,12.38,12.25,12.13,12.01,11.89,11.77,11.65,11.54,11.42,11.31,11.2,11.08,10.97,10.86,10.75,10.65,10.54,10.43,10.33,10.23,10.12,10.02,9.92,9.82,9.73,9.63,9.53,9.44,9.34,9.25,9.16,9.07,8.97,8.88,8.8,8.71,8.62,8.53,8.45,8.36,8.28,8.2,8.12,8.04,7.95,7.88,7.8,7.72,7.64,7.57,7.49,7.41,7.34,7.27,7.19,7.12,7.05,6.98,6.91,6.84,6.77,6.71,6.64,6.57,6.51,6.44,6.38,6.31,6.25,6.19,6.13,6.06,6.0,5.94,5.88,5.83,5.77,5.71,5.65,5.6,5.54,5.48,5.43,5.38,5.32,5.27,5.22,5.16,5.11,5.06
14,26.31,27.25,26.95,24.94,22.84,19.07,24.0,21.94,20.45,19.95,19.4,18.48,18.39,14.65,18.16,17.83,17.71,17.59,17.46,17.33,17.2,17.07,16.93,16.79,16.65,16.51,16.37,16.22,16.08,15.93,15.78,15.64,15.49,15.34,15.19,15.04,14.89,14.74,14.6,14.45,14.3,14.16,14.02,13.88,13.74,13.6,13.47,13.33,13.2,13.07,12.94,12.81,12.68,12.55,12.43,12.3,12.18,12.06,11.94,11.82,11.7,11.58,11.47,11.35,11.24,11.13,11.02,10.91,10.8,10.69,10.58,10.48,10.37,10.27,10.16,10.06,9.96,9.86,9.76,9.67,9.57,9.47,9.38,9.29,9.19,9.1,9.01,8.92,8.83,8.74,8.65,8.57,8.48,8.4,8.31,8.23,8.15,8.07,7.99,7.91,7.83,7.75,7.67,7.59,7.52,7.44,7.37,7.3,7.22,7.15,7.08,7.01,6.94,6.87,6.8,6.73,6.66,6.6,6.53,6.47,6.4,6.34,6.27,6.21,6.15
15,34.38,32.11,26.9,23.27,23.8,24.87,28.4,24.14,27.51,21.92,21.01,26.68,21.05,23.05,22.52,22.27,22.03,21.79,21.55,21.32,21.09,20.86,20.64,20.43,20.21,20.0,19.8,19.59,19.39,19.19,19.0,18.81,18.62,18.43,18.24,18.06,17.88,17.7,17.52,17.35,17.17,17.0,16.83,16.66,16.5,16.33,16.17,16.01,15.85,15.69,15.53,15.38,15.22,15.07,14.92,14.77,14.62,14.48,14.33,14.19,14.05,13.91,13.77,13.63,13.49,13.36,13.23,13.09,12.96,12.83,12.7,12.58,12.45,12.33,12.2,12.08,11.96,11.84,11.72,11.61,11.49,11.37,11.26,11.15,11.04,10.93,10.82,10.71,10.6,10.5,10.39,10.29,10.18,10.08,9.98,9.88,9.78,9.69,9.59,9.49,9.4,9.3,9.21,9.12,9.03,8.94,8.85,8.76,8.67,8.58,8.5,8.41,8.33,8.25,8.16,8.08,8.0,7.92,7.84,7.76,7.69,7.61,7.53,7.46,7.38
16,47.91,47.76,38.6,40.67,33.18,40.31,34.15,31.04,31.74,35.17,31.55,34.17,31.9,30.91,30.33,29.78,29.26,28.77,28.3,27.85,27.43,27.03,26.64,26.27,25.92,25.58,25.26,24.96,24.66,24.38,24.1,23.84,23.59,23.34,23.1,22.87,22.64,22.41,22.19,21.97,21.75,21.53,21.32,21.1,20.89,20.68,20.48,20.27,20.07,19.87,19.67,19.47,19.28,19.09,18.89,18.71,18.52,18.33,18.15,17.97,17.79,17.61,17.43,17.26,17.09,16.92,16.75,16.58,16.41,16.25,16.09,15.93,15.77,15.61,15.45,15.3,15.15,15.0,14.85,14.7,14.55,14.4,14.26,14.12,13.98,13.84,13.7,13.56,13.43,13.29,13.16,13.03,12.9,12.77,12.64,12.51,12.39,12.26,12.14,12.02,11.9,11.78,11.66,11.55,11.43,11.32,11.2,11.09,10.98,10.87,10.76,10.66,10.55,10.44,10.34,10.24,10.13,10.03,9.93,9.83,9.73,9.64,9.54,9.44,9.35
17,54.09,61.09,53.49,55.59,55.78,48.94,49.37,53.02,52.11,47.3,47.12,42.62,40.87,39.71,38.64,37.64,36.71,35.86,35.06,34.31,33.62,32.98,32.38,31.82,31.31,30.82,30.37,29.95,29.55,29.18,28.83,28.5,28.19,27.9,27.61,27.33,27.06,26.79,26.52,26.26,25.99,25.73,25.48,25.22,24.97,24.72,24.47,24.23,23.99,23.75,23.51,23.27,23.04,22.81,22.58,22.36,22.13,21.91,21.69,21.48,21.26,21.05,20.84,20.63,20.42,20.22,20.02,19.82,19.62,19.42,19.23,19.04,18.85,18.66,18.47,18.29,18.1,17.92,17.74,17.57,17.39,17.22,17.04,16.87,16.71,16.54,16.37,16.21,16.05,15.89,15.73,15.57,15.41,15.26,15.11,14.96,14.81,14.66,14.51,14.37,14.22,14.08,13.94,13.8,13.66,13.53,13.39,13.26,13.13,12.99,12.86,12.74,12.61,12.48,12.36,12.23,12.11,11.99,11.87,11.75,11.63,11.52,11.4,11.29,11.18
18,72.73,79.39,82.21,72.87,70.52,62.02,60.37,57.86,51.71,52.64,50.44,47.86,46.06,44.41,42.9,41.52,40.26,39.11,38.05,37.08,36.19,35.38,34.63,33.95,33.33,32.75,32.23,31.75,31.31,30.9,30.53,30.18,29.85,29.54,29.25,28.95,28.66,28.38,28.09,27.81,27.54,27.26,26.99,26.72,26.45,26.19,25.92,25.67,25.41,25.15,24.9,24.65,24.41,24.16,23.92,23.68,23.45,23.21,22.98,22.75,22.52,22.3,22.07,21.85,21.63,21.42,21.2,20.99,20.78,20.57,20.37,20.17,19.96,19.76,19.57,19.37,19.18,18.99,18.8,18.61,18.42,18.24,18.05,17.87,17.7,17.52,17.34,17.17,17.0,16.83,16.66,16.49,16.33,16.17,16.0,15.84,15.69,15.53,15.37,15.22,15.07,14.92,14.77,14.62,14.47,14.33,14.19,14.04,13.9,13.76,13.63,13.49,13.36,13.22,13.09,12.96,12.83,12.7,12.57,12.45,12.32,12.2,12.08,11.96,11.84
19,76.53,86.19,70.62,63.75,60.63,65.85,62.22,56.87,58.04,55.18,51.88,49.5,47.36,45.41,43.65,42.06,40.62,39.32,38.13,37.06,36.09,35.21,34.41,33.69,33.04,32.45,31.92,31.44,31.0,30.61,30.24,29.91,29.6,29.3,29.01,28.72,28.43,28.15,27.86,27.59,27.31,27.04,26.77,26.5,26.23,25.97,25.71,25.45,25.2,24.95,24.7,24.45,24.21,23.97,23.73,23.49,23.25,23.02,22.79,22.56,22.34,22.11,21.89,21.67,21.46,21.24,21.03,20.82,20.61,20.41,20.2,20.0,19.8,19.6,19.41,19.21,19.02,18.83,18.64,18.45,18.27,18.09,17.91,17.73,17.55,17.37,17.2,17.03,16.86,16.69,16.52,16.36,16.19,16.03,15.87,15.71,15.56,15.4,15.25,15.09,14.94,14.79,14.65,14.5,14.35,14.21,14.07,13.93,13.79,13.65,13.51,13.38,13.25,13.11,12.98,12.85,12.72,12.6,12.47,12.35,12.22,12.1,11.98,11.86,11.74
