,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
10,0.0,5.53,11.07,5.54,0.0,5.37,5.29,5.22,15.88,21.28,15.71,20.75,16.04,5.44,11.12,11.24,16.63,22.72,0.0,6.03,0.0,0.0,19.26,6.23,0.0,0.0,0.0,5.53,4.68,4.62,4.5,4.39,4.28,4.17,4.08,3.99,3.9,3.82,3.74,3.66,3.6,3.53,3.47,3.41,3.35,3.3,3.25,3.2,3.16,3.12,3.08,3.04,3.0,2.97,2.93,2.9,2.86,2.83,2.79,2.76,2.73,2.69,2.66,2.63,2.6,2.57,2.54,2.51,2.48,2.45,2.42,2.39,2.36,2.33,2.3,2.27,2.25,2.22,2.19,2.17,2.14,2.12,2.09,2.07,2.04,2.02,1.99,1.97
11,5.43,5.51,5.52,22.09,5.32,5.36,15.85,31.26,21.09,10.62,5.2,5.15,15.94,5.41,0.0,22.42,16.57,11.34,5.79,18.07,0.0,12.82,6.39,12.41,5.99,11.64,0.0,4.85,4.8,4.67,4.55,4.44,4.33,4.23,4.14,4.05,3.96,3.88,3.81,3.73,3.67,3.6,3.54,3.48,3.43,3.38,3.33,3.28,3.24,3.2,3.16,3.12,3.08,3.05,3.01,2.97,2.94,2.9,2.87,2.83,2.8,2.77,2.73,2.7,2.67,2.63,2.6,2.57,2.54,2.51,2.48,2.45,2.42,2.39,2.36,2.34,2.31,2.28,2.25,2.23,2.2,2.17,2.15,2.12,2.09,2.07,2.04,2.02
12,10.83,5.49,11.02,11.01,0.0,21.43,0.0,5.21,5.26,5.29,10.34,5.12,15.87,16.15,5.52,16.78,22.06,5.65,17.36,6.0,0.0,0.0,12.73,12.35,11.94,5.79,6.35,6.28,6.11,5.95,5.81,5.67,5.53,5.41,5.29,5.18,5.07,4.97,4.88,4.79,4.71,4.63,4.55,4.48,4.41,4.35,4.29,4.23,4.18,4.12,4.07,4.03,3.98,3.93,3.88,3.84,3.79,3.74,3.7,3.66,3.61,3.57,3.53,3.48,3.44,3.4,3.36,3.32,3.28,3.24,3.2,3.16,3.12,3.09,3.05,3.01,2.98,2.94,2.91,2.87,2.84,2.8,2.77,2.74,2.7,2.67,2.64,2.61
13,10.82,5.49,0.0,5.5,5.32,5.35,21.14,10.39,21.0,15.82,0.0,30.6,15.8,10.71,5.51,16.77,0.0,16.92,23.08,11.97,12.39,0.0,0.0,6.15,5.93,7.9,7.8,7.6,7.4,7.21,7.04,6.87,6.72,6.57,6.43,6.3,6.17,6.05,5.94,5.84,5.74,5.64,5.55,5.47,5.39,5.32,5.24,5.18,5.11,5.05,4.99,4.93,4.87,4.81,4.76,4.7,4.64,4.59,4.53,4.48,4.42,4.37,4.32,4.27,4.21,4.16,4.11,4.07,4.02,3.97,3.92,3.87,3.83,3.78,3.74,3.69,3.65,3.6,3.56,3.52,3.47,3.43,3.39,3.35,3.31,3.27,3.23,3.19
14,5.4,21.91,21.99,5.5,21.21,10.7,10.57,5.2,5.25,0.0,20.54,15.24,31.41,10.65,11.01,16.76,10.99,11.25,17.28,5.95,18.52,6.33,25.24,12.22,9.69,9.57,9.32,9.07,8.84,8.63,8.42,8.23,8.04,7.87,7.71,7.56,7.41,7.27,7.14,7.02,6.91,6.8,6.69,6.6,6.5,6.42,6.34,6.26,6.18,6.11,6.03,5.96,5.89,5.82,5.75,5.68,5.61,5.54,5.48,5.41,5.35,5.28,5.22,5.16,5.1,5.03,4.97,4.91,4.86,4.8,4.74,4.68,4.63,4.57,4.52,4.46,4.41,4.36,4.3,4.25,4.2,4.15,4.1,4.05,4.0,3.95,3.91,3.86
15,26.92,38.3,38.44,11.0,10.63,21.45,21.14,10.41,41.94,10.51,5.12,30.31,15.63,10.59,16.49,11.16,21.9,11.21,22.96,11.88,0.0,12.62,37.66,11.6,11.47,11.16,10.86,10.59,10.33,10.08,9.85,9.63,9.43,9.23,9.05,8.87,8.71,8.55,8.41,8.27,8.14,8.01,7.9,7.79,7.68,7.59,7.49,7.4,7.31,7.22,7.14,7.05,6.97,6.88,6.8,6.72,6.64,6.56,6.48,6.4,6.33,6.25,6.17,6.1,6.03,5.96,5.88,5.81,5.74,5.67,5.61,5.54,5.47,5.41,5.34,5.28,5.21,5.15,5.09,5.03,4.97,4.91,4.85,4.79,4.73,4.68,4.62,4.57
16,26.92,27.34,33.0,16.49,26.62,5.38,10.58,36.39,10.48,5.25,30.52,10.04,20.71,15.85,27.38,5.58,10.93,5.59,17.15,29.59,6.13,6.28,13.73,13.57,13.2,12.86,12.54,12.23,11.94,11.67,11.41,11.17,10.94,10.72,10.51,10.32,10.14,9.96,9.8,9.65,9.5,9.36,9.23,9.11,8.99,8.88,8.77,8.67,8.56,8.46,8.36,8.26,8.16,8.06,7.97,7.87,7.78,7.68,7.59,7.5,7.41,7.32,7.23,7.15,7.06,6.97,6.89,6.81,6.73,6.65,6.57,6.49,6.41,6.33,6.26,6.18,6.11,6.03,5.96,5.89,5.82,5.75,5.68,5.61,5.55,5.48,5.41,5.35
17,16.22,16.46,22.05,5.51,16.0,26.94,10.58,41.61,31.34,15.66,15.13,4.98,25.81,5.25,16.39,16.68,5.43,22.26,22.79,5.9,0.0,16.31,16.12,15.7,15.3,14.91,14.55,14.21,13.89,13.59,13.3,13.03,12.77,12.53,12.3,12.09,11.88,11.69,11.51,11.33,11.17,11.01,10.87,10.73,10.59,10.47,10.34,10.22,10.09,9.97,9.85,9.73,9.62,9.5,9.39,9.28,9.16,9.05,8.95,8.84,8.73,8.63,8.52,8.42,8.32,8.22,8.12,8.03,7.93,7.83,7.74,7.65,7.55,7.46,7.37,7.29,7.2,7.11,7.03,6.94,6.86,6.78,6.7,6.62,6.54,6.46,6.38,6.3
18,21.74,66.46,22.21,32.74,26.47,32.02,31.43,25.61,20.54,30.58,19.72,14.68,15.13,20.35,0.0,21.81,5.34,21.95,16.83,40.55,19.04,18.83,18.35,17.88,17.45,17.03,16.64,16.27,15.92,15.59,15.28,14.98,14.7,14.43,14.18,13.94,13.72,13.5,13.3,13.11,12.93,12.76,12.6,12.44,12.29,12.14,12.0,11.85,11.71,11.57,11.43,11.29,11.16,11.02,10.89,10.76,10.63,10.5,10.38,10.25,10.13,10.01,9.89,9.77,9.65,9.54,9.42,9.31,9.2,9.09,8.98,8.87,8.76,8.66,8.56,8.45,8.35,8.25,8.15,8.05,7.96,7.86,7.77,7.67,7.58,7.49,7.4,7.31
19,37.48,21.68,10.8,5.3,25.77,20.66,20.18,39.41,34.07,4.84,18.71,18.49,32.71,24.41,25.78,36.59,31.06,36.85,32.37,21.62,21.4,20.86,20.34,19.85,19.39,18.96,18.54,18.15,17.78,17.43,17.1,16.78,16.48,16.2,15.93,15.67,15.43,15.2,14.99,14.78,14.59,14.4,14.22,14.05,13.88,13.71,13.55,13.39,13.23,13.07,12.91,12.76,12.6,12.45,12.3,12.16,12.01,11.87,11.72,11.58,11.44,11.31,11.17,11.04,10.9,10.77,10.64,10.52,10.39,10.27,10.14,10.02,9.9,9.78,9.66,9.55,9.43,9.32,9.21,9.1,8.99,8.88,8.77,8.67,8.56,8.46,8.36,8.26
