age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
10,14.69,12.12,18.62,21.86,15.18,14.93,20.97,17.84,12.23,15.3,21.03,12.1,9.36,6.36,22.61,9.77,19.4,9.94,0.0,6.95,3.6,7.39,3.65,14.2,10.6,6.94,3.38,9.92,6.55,16.4,0.0,9.72,9.81,6.55,7.07,7.21,7.07,6.93,6.81,6.69,6.58,6.48,6.38,6.27,6.16,6.06,5.96,5.87,5.79,5.71,5.63,5.56,5.49,5.42,5.36,5.3,5.24,5.18,5.12,5.07,5.01,4.96,4.9,4.85,4.79,4.74,4.69,4.64,4.59,4.54,4.49,4.44,4.39,4.34,4.3,4.25,4.2,4.16,4.11,4.07,4.02,3.98,3.93,3.89,3.85,3.81,3.76,3.72,3.68,3.64,3.6,3.56,3.52,3.49
11,20.63,33.43,18.64,15.62,21.28,5.98,26.97,11.9,21.39,15.27,21.0,21.18,18.7,15.8,9.66,22.6,6.43,6.59,6.72,17.3,14.35,11.02,25.36,14.16,3.53,3.46,6.75,13.17,6.54,9.79,12.87,19.1,16.13,9.92,7.86,7.71,7.56,7.43,7.3,7.19,7.08,6.97,6.87,6.76,6.65,6.55,6.45,6.36,6.27,6.19,6.11,6.04,5.96,5.89,5.83,5.76,5.7,5.63,5.57,5.51,5.45,5.39,5.33,5.27,5.22,5.16,5.1,5.05,4.99,4.94,4.88,4.83,4.78,4.73,4.67,4.62,4.57,4.52,4.47,4.42,4.38,4.33,4.28,4.23,4.19,4.14,4.1,4.05,4.01,3.96,3.92,3.88,3.83,3.79
12,20.67,33.54,24.93,37.58,21.25,20.96,23.99,11.9,24.44,15.31,18.07,15.11,9.35,9.46,16.01,16.04,3.2,3.29,10.04,13.82,10.73,7.3,0.0,7.03,14.07,3.45,6.71,19.7,16.29,16.17,12.66,6.29,8.22,8.84,8.67,8.51,8.36,8.22,8.09,7.97,7.86,7.76,7.65,7.53,7.42,7.31,7.21,7.11,7.02,6.93,6.85,6.77,6.69,6.61,6.54,6.47,6.39,6.32,6.26,6.19,6.12,6.05,5.99,5.92,5.86,5.79,5.73,5.67,5.6,5.54,5.48,5.42,5.36,5.3,5.25,5.19,5.13,5.08,5.02,4.97,4.91,4.86,4.8,4.75,4.7,4.65,4.6,4.55,4.5,4.45,4.4,4.35,4.3,4.26
13,23.64,18.39,25.07,25.09,27.32,29.95,14.99,20.83,9.21,30.74,9.05,27.34,21.82,3.14,9.54,15.93,9.56,9.81,3.37,31.03,3.56,14.49,10.66,27.97,10.55,3.42,16.74,16.34,12.92,12.74,6.25,9.34,10.33,10.14,9.96,9.79,9.63,9.49,9.35,9.22,9.1,8.99,8.87,8.75,8.62,8.51,8.39,8.29,8.18,8.08,7.99,7.9,7.81,7.72,7.64,7.55,7.47,7.39,7.31,7.23,7.15,7.07,6.99,6.92,6.84,6.76,6.69,6.62,6.55,6.47,6.4,6.33,6.26,6.19,6.13,6.06,5.99,5.93,5.86,5.8,5.74,5.67,5.61,5.55,5.49,5.43,5.37,5.31,5.25,5.2,5.14,5.08,5.03,4.97
14,17.8,43.13,9.45,25.13,21.21,20.98,23.97,23.94,15.42,21.56,18.19,15.23,37.29,9.37,15.83,9.5,6.34,19.85,6.77,20.63,3.54,17.96,17.57,24.37,14.0,20.47,6.66,3.23,15.9,12.59,12.82,12.88,12.66,12.44,12.24,12.05,11.87,11.71,11.55,11.41,11.27,11.13,11.0,10.85,10.71,10.57,10.44,10.31,10.19,10.07,9.95,9.84,9.73,9.62,9.52,9.41,9.31,9.21,9.11,9.01,8.91,8.81,8.72,8.62,8.53,8.43,8.34,8.25,8.16,8.07,7.98,7.9,7.81,7.72,7.64,7.56,7.47,7.39,7.31,7.23,7.15,7.07,7.0,6.92,6.84,6.77,6.69,6.62,6.55,6.48,6.41,6.34,6.27,6.2
15,32.77,18.61,47.47,50.36,33.32,32.95,30.18,30.13,30.89,34.1,51.72,21.27,18.59,15.54,12.59,12.59,3.21,20.07,6.79,13.69,7.03,17.79,20.9,20.69,24.44,16.96,13.17,31.91,12.59,16.37,17.6,17.32,17.05,16.79,16.54,16.3,16.09,15.88,15.69,15.5,15.32,15.15,14.97,14.79,14.6,14.42,14.25,14.08,13.92,13.76,13.61,13.45,13.31,13.16,13.02,12.87,12.73,12.59,12.46,12.32,12.19,12.05,11.92,11.79,11.66,11.53,11.41,11.28,11.16,11.04,10.92,10.8,10.68,10.56,10.45,10.33,10.22,10.11,10.0,9.89,9.78,9.67,9.57,9.46,9.36,9.26,9.15,9.05,8.96,8.86,8.76,8.66,8.57,8.48
16,63.01,56.37,67.09,47.44,45.35,39.22,73.06,45.4,43.36,27.85,51.47,48.62,49.0,40.17,15.62,25.52,22.76,20.22,27.18,37.33,31.4,38.81,37.77,41.1,41.73,40.19,22.76,31.54,27.72,26.53,26.15,25.77,25.4,25.05,24.71,24.39,24.09,23.81,23.54,23.28,23.02,22.77,22.52,22.25,21.99,21.73,21.47,21.23,20.99,20.75,20.52,20.3,20.08,19.86,19.64,19.42,19.21,19.0,18.79,18.59,18.39,18.18,17.99,17.79,17.59,17.4,17.21,17.02,16.84,16.65,16.47,16.29,16.11,15.94,15.76,15.59,15.42,15.25,15.08,14.92,14.75,14.59,14.43,14.28,14.12,13.97,13.81,13.66,13.51,13.36,13.22,13.07,12.93,12.79
17,78.79,76.02,83.57,85.24,79.51,70.06,73.68,100.07,86.19,75.94,81.77,81.82,69.9,45.74,47.23,45.12,49.17,33.78,47.28,26.84,55.29,59.01,47.3,47.4,34.28,46.23,32.13,38.61,40.8,40.27,39.74,39.23,38.72,38.23,37.76,37.32,36.89,36.48,36.09,35.71,35.34,34.97,34.59,34.2,33.8,33.41,33.04,32.67,32.3,31.95,31.6,31.25,30.91,30.57,30.23,29.9,29.58,29.25,28.93,28.62,28.3,27.99,27.69,27.39,27.09,26.79,26.5,26.21,25.92,25.64,25.36,25.08,24.8,24.53,24.26,24.0,23.74,23.48,23.22,22.97,22.72,22.47,22.22,21.98,21.74,21.5,21.26,21.03,20.8,20.57,20.35,20.13,19.91,19.69
18,69.88,66.6,125.12,114.71,92.55,85.72,54.98,77.81,138.49,89.41,66.11,85.85,56.28,54.26,40.64,31.94,70.94,56.05,42.65,65.14,63.33,83.68,45.73,35.95,57.02,58.37,54.08,52.84,52.24,51.64,51.03,50.43,49.84,49.26,48.71,48.17,47.65,47.15,46.67,46.2,45.73,45.26,44.78,44.29,43.79,43.3,42.81,42.34,41.87,41.41,40.96,40.51,40.07,39.63,39.2,38.77,38.35,37.93,37.51,37.1,36.7,36.29,35.9,35.5,35.12,34.73,34.35,33.98,33.6,33.24,32.87,32.51,32.16,31.81,31.46,31.11,30.77,30.44,30.1,29.78,29.45,29.13,28.81,28.49,28.18,27.87,27.57,27.27,26.97,26.67,26.38,26.09,25.81,25.53
19,125.14,121.21,82.31,110.08,85.04,89.06,94.19,91.95,77.59,96.17,69.21,96.62,54.66,90.65,57.55,46.0,70.8,56.69,75.2,36.99,69.51,60.6,33.62,59.8,41.94,54.18,58.33,57.75,57.17,56.58,55.98,55.37,54.77,54.19,53.61,53.06,52.52,51.99,51.47,50.96,50.45,49.94,49.42,48.88,48.34,47.81,47.28,46.76,46.25,45.74,45.24,44.75,44.26,43.77,43.3,42.82,42.35,41.89,41.43,40.98,40.53,40.09,39.65,39.22,38.79,38.36,37.94,37.53,37.12,36.71,36.31,35.91,35.52,35.13,34.75,34.37,33.99,33.62,33.25,32.89,32.53,32.17,31.82,31.47,31.13,30.79,30.45,30.12,29.79,29.46,29.14,28.82,28.51,28.19
