,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
10,18.58,16.59,16.93,12.9,19.52,12.66,17.03,14.33,13.08,14.01,14.84,10.09,9.0,12.02,11.92,12.18,7.01,11.28,7.79,8.53,8.74,8.58,8.14,10.72,10.43,7.11,5.62,9.43,6.35,6.21,6.08,5.96,5.73,5.52,5.36,5.2,5.1,4.99,4.91,4.82,4.7,4.66,4.6,4.48,4.41,4.41,4.35,4.21,4.14,4.14,4.12,4.11,4.02,3.93,3.91,3.88,3.84,3.81,3.77,3.75,3.72,3.64,3.56,3.56,3.56,3.5,3.38,3.27,3.22,3.17,3.12,3.08,3.03,2.97,2.92,2.93,2.93,2.87,2.81,2.8,2.8,2.79,2.72,2.65,2.64,2.63,2.62,2.61
11,16.92,19.69,16.92,14.55,16.49,16.14,17.0,14.56,11.24,13.72,16.08,12.9,10.03,13.8,13.23,11.84,8.86,9.57,9.96,8.2,11.32,6.48,10.13,11.5,8.46,6.82,9.66,6.89,6.69,6.55,6.41,6.23,6.06,5.86,5.7,5.6,5.45,5.29,5.09,5.0,4.94,4.84,4.78,4.72,4.66,4.59,4.53,4.46,4.39,4.38,4.37,4.29,4.2,4.18,4.15,4.12,4.02,3.92,3.89,3.86,3.83,3.81,3.8,3.79,3.73,3.67,3.61,3.56,3.52,3.47,3.42,3.31,3.27,3.21,3.16,3.17,3.11,2.99,2.92,2.92,2.91,2.91,2.9,2.89,2.88,2.87,2.8,2.66
12,20.26,23.91,19.46,18.7,19.17,16.67,17.77,15.07,19.05,11.9,15.02,14.96,16.57,12.18,12.9,9.64,9.88,10.6,10.45,10.99,10.69,10.55,8.34,10.03,10.58,9.65,8.1,7.85,7.58,7.25,7.04,6.85,6.63,6.5,6.35,6.19,5.98,5.83,5.78,5.63,5.51,5.47,5.36,5.3,5.23,5.17,5.11,4.97,4.84,4.76,4.75,4.73,4.71,4.68,4.65,4.55,4.45,4.41,4.31,4.21,4.19,4.16,4.15,4.14,4.14,4.08,3.97,3.92,3.93,3.95,3.84,3.74,3.69,3.64,3.65,3.6,3.48,3.42,3.42,3.41,3.41,3.34,3.26,3.19,3.12,3.04,2.97,2.96
13,20.25,21.94,22.27,20.06,20.46,16.91,16.42,20.5,20.93,18.88,14.52,17.53,18.4,15.81,11.51,14.1,10.09,8.65,10.13,13.19,10.34,10.78,8.86,12.75,11.87,9.89,9.57,9.22,8.76,8.48,8.26,7.99,7.78,7.55,7.35,7.19,7.0,6.82,6.73,6.58,6.47,6.37,6.33,6.2,6.07,6.01,5.88,5.75,5.67,5.6,5.52,5.5,5.47,5.44,5.4,5.36,5.32,5.21,5.1,5.06,4.97,4.88,4.86,4.85,4.85,4.79,4.62,4.51,4.53,4.43,4.32,4.34,4.36,4.31,4.2,4.15,4.16,4.1,4.03,4.03,3.96,3.89,3.81,3.74,3.66,3.59,3.57,3.56
14,25.23,28.1,24.52,25.31,23.1,19.85,24.31,22.17,20.42,19.94,19.08,18.56,20.7,13.9,14.64,12.68,12.66,12.11,12.54,13.39,9.41,14.46,11.07,14.59,12.19,11.78,11.34,10.9,10.54,10.24,9.92,9.65,9.39,9.13,8.87,8.6,8.38,8.23,8.04,7.85,7.74,7.65,7.48,7.35,7.29,7.16,7.03,6.97,6.83,6.69,6.67,6.64,6.55,6.44,6.4,6.35,6.3,6.24,6.19,6.08,5.98,5.95,5.87,5.8,5.79,5.68,5.51,5.46,5.42,5.32,5.29,5.31,5.21,5.1,5.12,5.07,4.95,4.89,4.89,4.83,4.75,4.68,4.61,4.53,4.45,4.44,4.36,4.28
15,33.79,29.47,28.71,26.65,24.19,25.08,28.13,24.79,29.33,22.47,24.27,26.4,20.31,25.21,16.08,16.75,13.13,15.54,13.82,17.44,14.7,17.51,20.85,15.42,14.98,14.36,13.83,13.4,12.96,12.52,12.1,11.74,11.45,11.1,10.74,10.48,10.28,10.13,9.92,9.75,9.58,9.3,9.13,9.08,8.95,8.76,8.63,8.56,8.43,8.35,8.26,8.03,7.87,7.82,7.77,7.71,7.65,7.58,7.52,7.4,7.29,7.19,7.1,7.09,7.03,6.91,6.8,6.7,6.61,6.52,6.48,6.39,6.29,6.32,6.21,6.1,6.11,6.05,5.93,5.86,5.79,5.65,5.57,5.56,5.54,5.45,5.31,5.23
16,49.26,47.98,42.17,41.63,33.84,40.28,38.55,33.16,33.7,35.4,33.38,35.17,28.63,22.88,23.22,17.98,21.45,22.36,19.36,22.48,24.13,22.77,19.5,18.99,18.25,17.59,17.04,16.41,15.89,15.3,14.71,14.33,13.95,13.52,13.12,12.87,12.71,12.5,12.22,11.88,11.52,11.32,11.22,11.1,10.91,10.79,10.73,10.6,10.52,10.38,10.15,10.05,9.94,9.82,9.75,9.68,9.54,9.39,9.19,9.0,8.94,8.9,8.86,8.73,8.6,8.49,8.33,8.29,8.2,8.06,7.97,7.82,7.73,7.64,7.54,7.56,7.44,7.32,7.26,7.13,7.0,6.92,6.84,6.75,6.73,6.65,6.56,6.47
17,56.58,62.33,57.02,59.44,57.99,52.69,53.53,58.98,57.28,50.31,50.12,48.64,38.78,32.99,33.48,29.3,29.3,28.99,29.5,31.51,34.99,24.48,23.7,22.82,21.98,21.15,20.37,19.74,19.07,18.39,17.86,17.39,16.93,16.5,16.11,15.75,15.4,15.08,14.74,14.35,14.06,13.94,13.79,13.54,13.42,13.3,13.11,13.04,12.9,12.75,12.65,12.48,12.36,12.22,11.96,11.68,11.52,11.36,11.2,11.12,10.99,10.87,10.77,10.63,10.51,10.4,10.36,10.27,10.13,10.05,9.85,9.65,9.51,9.36,9.33,9.23,9.12,9.0,8.82,8.75,8.67,8.53,8.45,8.36,8.27,8.24,8.15,7.99
18,72.37,79.89,85.48,78.39,74.16,66.7,64.82,61.38,61.2,57.39,56.24,52.64,39.63,50.15,38.69,41.28,41.98,38.19,37.31,46.09,30.02,29.07,27.91,26.81,25.81,24.93,24.11,23.34,22.58,21.81,21.17,20.61,20.14,19.63,19.09,18.68,18.33,18.03,17.75,17.45,17.18,16.81,16.48,16.31,16.19,16.0,15.81,15.69,15.55,15.33,15.16,14.98,14.72,14.45,14.23,14.06,13.88,13.76,13.65,13.49,13.28,13.16,13.05,12.91,12.78,12.68,12.52,12.26,12.07,11.94,11.76,11.57,11.43,11.35,11.2,11.11,11.0,10.89,10.83,10.69,10.55,10.47,10.26,10.05,10.01,9.92,9.76,9.66
19,83.25,91.35,72.74,68.69,64.14,72.14,68.58,63.63,60.63,62.73,43.72,47.1,44.1,49.82,45.35,46.23,43.09,41.39,47.85,35.28,34.2,32.78,31.54,30.38,29.37,28.4,27.43,26.55,25.71,24.97,24.32,23.75,23.09,22.46,22.05,21.66,21.24,20.91,20.64,20.29,19.9,19.49,19.18,19.01,18.82,18.64,18.52,18.33,18.07,17.91,17.67,17.29,17.03,16.87,16.64,16.4,16.26,16.13,15.99,15.76,15.54,15.46,15.29,15.09,14.96,14.74,14.36,14.11,14.04,13.93,13.75,13.63,13.51,13.32,13.18,13.02,12.8,12.57,12.45,12.32,12.18,11.97,11.76,11.72,11.56,11.4,11.3,11.2
