age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
10,18.99,17.05,16.77,12.01,19.94,12.43,16.65,13.99,13.16,13.89,14.26,9.91,8.96,12.53,10.94,12.4,5.89,11.4,8.49,8.67,9.2,8.69,8.52,10.42,10.43,7.13,5.81,9.4,6.34,6.19,6.06,5.93,5.73,5.56,5.45,5.34,5.23,5.1,5.01,4.91,4.78,4.73,4.68,4.54,4.47,4.47,4.4,4.25,4.17,4.16,4.15,4.13,4.04,3.94,3.91,3.88,3.85,3.81,3.78,3.75,3.72,3.63,3.55,3.55,3.54,3.48,3.35,3.23,3.18,3.12,3.07,3.02,2.96,2.91,2.85,2.85,2.86,2.79,2.72,2.72,2.71,2.71,2.63,2.55,2.54,2.53,2.52,2.51
11,16.54,18.29,16.75,14.44,16.03,17.15,16.03,14.81,10.29,13.58,15.62,12.13,9.23,13.62,13.56,10.86,9.09,9.84,10.25,7.39,11.05,6.08,8.79,11.27,8.88,7.09,9.9,6.92,6.71,6.56,6.42,6.22,6.03,5.86,5.76,5.65,5.47,5.35,5.2,5.1,5.04,4.93,4.87,4.8,4.73,4.66,4.59,4.52,4.44,4.43,4.42,4.33,4.23,4.21,4.18,4.14,4.04,3.93,3.9,3.86,3.84,3.82,3.8,3.79,3.73,3.66,3.6,3.55,3.49,3.44,3.39,3.27,3.22,3.16,3.11,3.11,3.05,2.92,2.85,2.84,2.84,2.83,2.82,2.81,2.8,2.79,2.71,2.57
12,20.21,22.93,18.91,16.85,18.96,16.24,17.16,15.37,18.55,11.59,14.74,14.95,17.24,12.42,12.62,9.06,10.48,11.26,10.49,10.74,10.68,10.83,9.05,10.29,10.3,10.16,8.08,7.82,7.54,7.25,7.03,6.83,6.64,6.49,6.33,6.15,5.98,5.87,5.8,5.64,5.52,5.47,5.35,5.28,5.21,5.14,5.07,5.0,4.92,4.84,4.83,4.81,4.78,4.75,4.72,4.61,4.5,4.46,4.35,4.25,4.22,4.2,4.18,4.17,4.17,4.1,3.98,3.93,3.94,3.96,3.84,3.73,3.67,3.62,3.63,3.57,3.44,3.38,3.37,3.37,3.37,3.29,3.21,3.14,3.06,2.98,2.9,2.89
13,19.9,22.3,21.99,19.57,19.79,15.62,16.56,20.47,22.02,17.79,15.02,16.62,18.08,16.97,11.7,13.93,10.13,8.55,10.74,11.61,10.93,10.44,8.68,11.43,12.0,9.79,9.53,9.18,8.76,8.45,8.22,8.0,7.76,7.5,7.27,7.1,6.95,6.8,6.68,6.53,6.41,6.3,6.25,6.11,5.97,5.9,5.83,5.76,5.68,5.6,5.51,5.49,5.46,5.42,5.39,5.34,5.29,5.18,5.06,5.02,4.92,4.83,4.81,4.8,4.8,4.74,4.61,4.56,4.58,4.47,4.35,4.37,4.39,4.34,4.22,4.16,4.17,4.1,4.03,4.03,3.95,3.88,3.8,3.72,3.64,3.56,3.54,3.53
14,25.99,26.6,26.0,25.33,23.28,19.74,24.35,22.0,20.89,19.79,19.16,18.86,19.17,14.32,14.53,12.97,13.23,11.44,13.06,12.75,9.92,14.12,10.47,13.74,11.98,11.7,11.32,10.86,10.48,10.16,9.83,9.53,9.24,8.94,8.73,8.56,8.36,8.19,7.97,7.76,7.64,7.54,7.35,7.21,7.15,7.01,6.94,6.94,6.79,6.63,6.61,6.58,6.48,6.37,6.32,6.27,6.22,6.16,6.1,5.99,5.88,5.85,5.76,5.68,5.68,5.62,5.5,5.45,5.4,5.3,5.25,5.28,5.16,5.05,5.07,5.01,4.88,4.82,4.82,4.75,4.67,4.66,4.65,4.56,4.48,4.46,4.38,4.29
15,33.9,30.55,26.88,24.36,23.3,24.31,27.93,24.29,29.18,21.41,21.79,26.88,20.47,26.1,16.4,17.13,14.03,15.18,14.45,17.76,15.36,17.44,20.77,15.09,14.72,14.14,13.61,13.17,12.77,12.37,11.93,11.55,11.22,10.88,10.62,10.39,10.16,9.96,9.71,9.52,9.34,9.1,8.99,8.93,8.79,8.66,8.59,8.52,8.37,8.28,8.18,7.94,7.76,7.71,7.66,7.6,7.53,7.46,7.39,7.27,7.15,7.05,6.96,6.94,6.87,6.75,6.69,6.65,6.54,6.44,6.4,6.3,6.19,6.21,6.1,5.98,5.99,5.93,5.79,5.72,5.71,5.63,5.55,5.53,5.51,5.42,5.26,5.18
16,47.86,47.15,39.76,41.07,32.73,40.39,35.25,32.01,32.81,36.08,31.75,33.94,26.76,21.31,23.91,17.33,21.39,22.61,18.72,21.17,23.47,21.31,19.17,18.67,17.91,17.23,16.67,16.11,15.62,15.06,14.45,14.03,13.66,13.25,12.93,12.71,12.51,12.25,11.92,11.61,11.36,11.21,11.11,10.98,10.77,10.64,10.57,10.43,10.34,10.18,9.94,9.83,9.71,9.58,9.52,9.44,9.36,9.27,9.06,8.86,8.8,8.75,8.71,8.57,8.43,8.37,8.26,8.22,8.12,7.96,7.86,7.7,7.6,7.5,7.39,7.4,7.28,7.15,7.08,7.01,6.93,6.85,6.76,6.67,6.65,6.56,6.46,6.37
17,54.34,60.99,54.46,56.97,55.94,51.03,51.62,55.11,54.62,47.97,47.28,45.51,35.93,31.83,32.28,27.98,27.69,28.68,28.04,31.88,33.18,24.03,23.28,22.39,21.53,20.74,20.02,19.39,18.74,18.02,17.48,17.03,16.57,16.2,15.83,15.5,15.15,14.76,14.42,14.13,13.9,13.76,13.6,13.33,13.2,13.06,12.86,12.78,12.63,12.47,12.36,12.17,12.04,11.96,11.75,11.52,11.42,11.25,11.08,11.0,10.86,10.74,10.63,10.48,10.35,10.22,10.18,10.08,9.92,9.83,9.62,9.46,9.37,9.21,9.17,9.06,8.94,8.81,8.68,8.67,8.59,8.44,8.35,8.25,8.16,8.13,8.03,7.87
18,72.63,81.21,81.64,74.99,72.44,64.9,65.76,59.83,54.01,54.43,55.32,49.48,38.09,49.76,38.57,42.2,39.6,36.77,36.88,44.29,29.46,28.51,27.34,26.29,25.34,24.51,23.68,22.91,22.11,21.35,20.75,20.22,19.79,19.28,18.74,18.35,17.99,17.68,17.41,17.15,16.92,16.59,16.23,16.04,15.91,15.71,15.5,15.36,15.21,14.97,14.79,14.66,14.51,14.29,14.06,13.88,13.7,13.57,13.45,13.29,13.07,12.94,12.82,12.67,12.53,12.41,12.25,12.03,11.88,11.73,11.59,11.45,11.3,11.21,11.05,10.94,10.82,10.7,10.63,10.49,10.34,10.25,10.09,9.93,9.89,9.79,9.62,9.52
19,78.82,88.32,71.82,64.82,62.18,70.51,66.09,60.89,59.0,59.62,41.29,42.33,43.1,46.01,44.3,46.37,40.75,40.14,45.44,34.68,33.57,32.17,30.98,29.8,28.78,27.85,26.93,26.05,25.23,24.56,23.9,23.35,22.71,22.06,21.67,21.29,20.92,20.56,20.22,19.91,19.56,19.18,18.9,18.72,18.52,18.32,18.19,17.98,17.69,17.52,17.33,17.05,16.83,16.66,16.42,16.16,16.02,15.88,15.74,15.49,15.26,15.18,15.0,14.78,14.65,14.47,14.18,13.96,13.89,13.75,13.56,13.42,13.28,13.07,12.92,12.75,12.58,12.39,12.26,12.12,11.97,11.81,11.65,11.61,11.44,11.27,11.16,11.05
