age (years),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
30,70.9,71.42,66.09,77.59,62.73,74.02,64.46,73.55,62.21,61.47,60.04,58.66,57.31,56.05,54.95,53.9,52.81,51.69,50.65,49.79,48.94,48.13,47.21,46.35,45.72,45.1,44.43,43.74,43.12,42.53,41.99,41.48,40.94,40.41,39.94,39.46,38.96,38.58,38.14,37.54,37.07,36.68,36.28,35.87,35.43,35.06,34.63,34.18,33.77,33.33,32.98,32.6,32.2,31.83,31.44,31.09,30.67,30.23,29.87,29.53,29.18,28.74,28.4,28.11,27.81,27.41,27.05,26.77,26.44,26.13,25.82,25.5,25.24,24.9,24.61,24.3,23.97,23.74,23.49,23.17,22.83,22.6,22.36,22.05,21.8,21.6,21.29,20.97
31,73.77,77.46,71.49,66.49,76.78,71.56,86.45,66.95,66.22,64.85,63.52,62.14,60.85,59.69,58.56,57.52,56.51,55.37,54.33,53.42,52.58,51.68,50.8,50.07,49.41,48.75,47.96,47.33,46.68,46.05,45.51,44.95,44.45,43.86,43.34,42.87,42.36,41.82,41.26,40.75,40.29,39.84,39.39,38.86,38.36,37.93,37.49,37.05,36.63,36.25,35.83,35.44,34.96,34.45,34.05,33.62,33.17,32.78,32.39,32.04,31.67,31.28,30.88,30.53,30.1,29.71,29.41,29.07,28.76,28.33,27.97,27.72,27.35,26.96,26.67,26.37,26.1,25.81,25.44,25.12,24.84,24.55,24.24,23.93,23.67,23.4,23.08,22.76
32,80.61,72.29,92.22,88.07,76.58,72.95,72.21,71.51,70.07,68.71,67.37,66.05,64.83,63.69,62.6,61.57,60.57,59.55,58.51,57.56,56.62,55.77,54.99,54.23,53.54,52.69,51.98,51.39,50.7,50.03,49.41,48.82,48.24,47.7,47.2,46.57,45.99,45.42,44.87,44.39,43.81,43.25,42.68,42.15,41.72,41.29,40.79,40.34,39.8,39.29,38.86,38.33,37.84,37.38,36.96,36.57,36.16,35.68,35.21,34.78,34.4,33.99,33.58,33.16,32.8,32.41,31.93,31.55,31.12,30.77,30.47,30.12,29.69,29.31,28.97,28.67,28.34,27.94,27.57,27.24,26.96,26.66,26.35,25.97,25.65,25.38,25.05,24.77
33,80.16,84.68,86.42,82.34,92.15,77.91,77.21,75.73,74.36,73.08,71.77,70.51,69.41,68.3,67.18,66.22,65.24,64.15,63.12,62.2,61.31,60.38,59.56,58.84,58.03,57.18,56.46,55.78,55.05,54.34,53.7,53.13,52.52,51.87,51.15,50.53,49.95,49.35,48.77,48.18,47.55,46.95,46.45,45.92,45.43,44.94,44.38,43.74,43.19,42.67,42.17,41.69,41.18,40.71,40.2,39.73,39.23,38.73,38.24,37.78,37.38,36.96,36.48,36.06,35.63,35.12,34.71,34.33,33.98,33.52,33.06,32.65,32.23,31.86,31.53,31.17,30.79,30.38,30.01,29.69,29.34,29.03,28.66,28.27,27.94,27.6,27.32,27.04
34,93.47,90.76,88.65,92.98,84.02,83.4,81.98,80.76,79.52,78.17,76.95,75.82,74.66,73.51,72.49,71.49,70.4,69.31,68.37,67.49,66.45,65.52,64.72,63.89,63.02,62.14,61.41,60.7,59.92,59.21,58.54,57.86,57.13,56.36,55.66,54.99,54.3,53.62,53.0,52.38,51.76,51.18,50.63,50.04,49.49,48.87,48.18,47.6,47.05,46.52,46.01,45.4,44.8,44.25,43.72,43.22,42.7,42.22,41.7,41.17,40.68,40.13,39.64,39.21,38.72,38.27,37.81,37.38,36.91,36.4,36.01,35.62,35.15,34.73,34.34,33.93,33.49,33.09,32.72,32.33,31.98,31.67,31.22,30.77,30.43,30.08,29.73,29.32
35,96.99,96.81,102.64,90.98,90.52,89.14,87.92,86.64,85.33,84.14,82.99,81.74,80.6,79.61,78.57,77.45,76.39,75.38,74.46,73.38,72.36,71.5,70.57,69.62,68.67,67.88,67.16,66.34,65.51,64.74,63.97,63.18,62.43,61.63,60.83,60.06,59.31,58.64,57.93,57.29,56.61,55.92,55.26,54.68,54.06,53.25,52.57,51.99,51.37,50.83,50.18,49.55,49.0,48.35,47.74,47.15,46.65,46.14,45.53,45.03,44.46,43.83,43.32,42.83,42.34,41.78,41.2,40.78,40.32,39.89,39.45,38.83,38.32,37.9,37.47,37.06,36.62,36.22,35.73,35.28,34.92,34.42,33.97,33.57,33.16,32.8,32.44,32.08
36,114.67,105.62,98.94,98.61,97.31,96.04,94.71,93.49,92.27,91.1,90.0,88.83,87.71,86.64,85.47,84.43,83.45,82.47,81.34,80.21,79.28,78.3,77.24,76.22,75.3,74.5,73.66,72.71,71.82,70.98,70.1,69.25,68.32,67.48,66.71,65.89,65.11,64.33,63.61,62.82,62.03,61.37,60.66,59.89,59.08,58.34,57.72,57.01,56.32,55.64,54.98,54.39,53.69,52.96,52.32,51.76,51.16,50.49,49.97,49.43,48.72,48.07,47.54,47.04,46.43,45.81,45.24,44.71,44.27,43.78,43.19,42.58,42.02,41.56,41.13,40.67,40.24,39.65,39.1,38.65,38.16,37.78,37.32,36.85,36.48,36.05,35.56,35.13
37,125.77,107.82,107.67,106.48,105.27,103.92,102.74,101.49,100.28,99.22,98.05,96.91,95.77,94.62,93.52,92.49,91.48,90.28,89.08,87.98,86.9,85.81,84.75,83.7,82.73,81.83,80.78,79.75,78.8,77.88,76.94,75.9,74.92,74.11,73.25,72.33,71.52,70.65,69.75,69.0,68.22,67.27,66.45,65.69,64.82,64.07,63.32,62.55,61.85,61.04,60.3,59.62,58.9,58.2,57.52,56.8,56.04,55.39,54.83,54.2,53.45,52.84,52.24,51.55,50.94,50.32,49.69,49.12,48.57,47.98,47.34,46.69,46.15,45.64,45.1,44.65,44.16,43.52,42.9,42.38,41.89,41.44,40.97,40.54,40.05,39.43,38.93,38.48
38,117.75,117.81,116.62,115.45,114.13,112.95,111.73,110.48,109.33,108.14,107.0,105.85,104.76,103.6,102.43,101.24,100.01,98.86,97.59,96.41,95.26,94.14,93.07,91.91,90.8,89.66,88.5,87.45,86.43,85.43,84.34,83.18,82.21,81.27,80.31,79.41,78.4,77.39,76.51,75.55,74.54,73.74,72.94,71.99,71.05,70.24,69.49,68.65,67.76,66.94,66.18,65.48,64.66,63.8,63.03,62.27,61.53,60.83,60.1,59.31,58.66,57.95,57.22,56.52,55.84,55.17,54.5,53.87,53.16,52.53,51.91,51.28,50.63,49.95,49.43,48.92,48.32,47.61,47.0,46.47,45.98,45.45,44.91,44.42,43.85,43.27,42.7,42.18
39,128.73,127.46,126.38,125.17,123.91,122.77,121.56,120.31,119.08,117.92,116.75,115.53,114.31,113.09,111.81,110.57,109.37,108.09,106.83,105.58,104.32,103.09,101.87,100.59,99.33,98.13,96.92,95.76,94.6,93.45,92.23,91.04,89.97,88.96,87.97,86.85,85.77,84.75,83.7,82.67,81.74,80.78,79.75,78.8,77.93,76.99,75.99,75.08,74.25,73.34,72.5,71.59,70.62,69.85,69.04,68.17,67.38,66.52,65.68,64.97,64.16,63.37,62.62,61.85,61.11,60.38,59.65,58.92,58.23,57.5,56.83,56.16,55.41,54.75,54.11,53.5,52.84,52.14,51.52,50.93,50.36,49.77,49.22,48.65,47.95,47.3,46.76,46.23
40,139.05,137.98,136.8,135.54,134.41,133.23,131.96,130.63,129.5,128.3,126.98,125.7,124.36,123.07,121.74,120.45,119.17,117.82,116.46,115.08,113.63,112.24,110.86,109.52,108.24,106.89,105.68,104.35,103.06,101.82,100.55,99.35,98.17,96.98,95.72,94.57,93.47,92.4,91.25,90.15,89.1,87.99,86.91,85.9,84.84,83.77,82.77,81.86,80.89,79.85,78.86,77.92,77.1,76.17,75.13,74.22,73.38,72.53,71.7,70.77,69.86,69.04,68.27,67.43,66.57,65.78,65.0,64.23,63.37,62.6,61.96,61.18,60.39,59.68,59.0,58.27,57.49,56.8,56.18,55.58,54.95,54.28,53.6,52.89,52.24,51.63,51.02,50.47
41,150.19,148.93,147.79,146.66,145.44,144.17,142.83,141.62,140.33,139.02,137.67,136.27,134.93,133.51,132.13,130.68,129.25,127.83,126.3,124.73,123.11,121.55,120.14,118.75,117.3,115.93,114.52,113.15,111.78,110.43,109.12,107.72,106.39,105.07,103.79,102.6,101.37,100.12,98.88,97.76,96.67,95.4,94.21,93.14,92.01,90.82,89.75,88.78,87.67,86.55,85.54,84.57,83.6,82.51,81.42,80.53,79.64,78.73,77.73,76.7,75.75,74.9,74.05,73.14,72.21,71.31,70.42,69.54,68.76,67.95,67.09,66.27,65.49,64.74,63.89,63.11,62.4,61.7,60.96,60.18,59.48,58.8,58.1,57.38,56.71,55.97,55.28,54.66
42,161.73,160.62,159.38,158.13,156.88,155.56,154.23,152.8,151.41,149.99,148.55,147.1,145.58,144.09,142.48,140.98,139.53,137.86,136.16,134.4,132.73,131.22,129.65,128.05,126.5,124.99,123.5,122.02,120.57,119.13,117.6,116.18,114.8,113.37,112.05,110.7,109.3,107.99,106.72,105.52,104.26,102.95,101.72,100.53,99.21,97.96,96.89,95.78,94.6,93.4,92.31,91.25,90.12,88.99,87.99,86.98,85.98,84.89,83.73,82.71,81.78,80.85,79.85,78.87,77.94,76.92,75.99,75.17,74.18,73.21,72.42,71.62,70.68,69.77,69.05,68.28,67.39,66.52,65.71,64.99,64.28,63.41,62.58,61.9,61.15,60.4,59.75,59.11
43,173.82,172.4,171.13,169.86,168.45,167.03,165.51,164.0,162.52,160.99,159.34,157.7,156.19,154.51,152.79,151.12,149.45,147.72,145.9,144.15,142.44,140.69,138.89,137.17,135.52,133.87,132.32,130.79,129.2,127.6,126.04,124.54,123.01,121.5,120.04,118.54,117.12,115.75,114.39,113.11,111.68,110.28,109.06,107.69,106.3,105.05,103.92,102.68,101.37,100.21,99.03,97.76,96.6,95.49,94.32,93.15,91.97,90.84,89.81,88.8,87.66,86.58,85.62,84.63,83.52,82.51,81.57,80.48,79.44,78.61,77.73,76.71,75.79,74.95,74.06,73.12,72.24,71.42,70.62,69.76,68.81,67.93,67.14,66.4,65.69,64.86,64.02,63.24
44,186.07,184.59,183.22,181.75,180.24,178.65,177.01,175.42,173.77,172.01,170.32,168.69,166.88,164.95,163.05,161.28,159.52,157.66,155.74,153.8,151.9,149.99,148.16,146.38,144.57,142.9,141.23,139.52,137.8,136.11,134.45,132.87,131.24,129.61,128.06,126.57,125.03,123.42,122.02,120.54,119.06,117.75,116.37,114.87,113.42,112.17,110.84,109.48,108.22,106.93,105.6,104.3,103.04,101.84,100.57,99.29,98.12,97.0,95.91,94.75,93.57,92.46,91.36,90.24,89.13,88.06,86.96,85.88,84.91,83.92,82.88,81.88,80.92,79.92,78.92,78.05,77.17,76.24,75.25,74.33,73.49,72.6,71.74,70.92,69.96,69.05,68.26,67.46
45,198.8,197.25,195.71,194.04,192.29,190.54,188.77,186.97,185.16,183.34,181.5,179.57,177.57,175.58,173.57,171.56,169.6,167.54,165.44,163.43,161.49,159.55,157.63,155.72,153.87,152.06,150.25,148.38,146.46,144.66,143.03,141.31,139.53,137.89,136.24,134.6,132.93,131.32,129.77,128.15,126.62,125.16,123.66,122.17,120.72,119.28,117.83,116.46,115.06,113.69,112.35,110.96,109.6,108.3,106.99,105.66,104.38,103.21,102.01,100.74,99.47,98.27,97.15,95.96,94.73,93.6,92.45,91.38,90.38,89.23,88.09,87.11,86.04,84.94,84.02,83.09,81.98,80.87,79.94,79.07,78.22,77.26,76.27,75.32,74.4,73.53,72.66,71.79
46,211.78,210.05,208.2,206.2,204.28,202.36,200.41,198.45,196.48,194.43,192.31,190.26,188.2,186.01,183.77,181.65,179.53,177.34,175.19,173.12,170.99,168.88,166.86,164.89,162.89,160.93,158.94,156.97,155.09,153.32,151.47,149.56,147.78,145.96,144.23,142.54,140.81,139.08,137.36,135.73,134.09,132.53,130.98,129.37,127.86,126.28,124.77,123.33,121.8,120.35,118.98,117.51,116.05,114.65,113.3,111.99,110.6,109.25,107.95,106.63,105.33,104.1,102.84,101.52,100.28,99.1,97.96,96.84,95.68,94.43,93.31,92.23,91.06,90.03,89.0,87.78,86.67,85.68,84.69,83.82,82.78,81.69,80.75,79.78,78.85,77.91,76.9,75.96
47,224.6,222.54,220.4,218.25,216.16,214.02,211.81,209.64,207.45,205.17,202.96,200.73,198.41,196.09,193.73,191.43,189.22,186.96,184.7,182.42,180.1,177.94,175.9,173.75,171.65,169.57,167.52,165.5,163.55,161.56,159.56,157.69,155.76,153.86,151.98,150.2,148.38,146.53,144.82,143.11,141.42,139.7,137.99,136.37,134.73,133.1,131.52,129.89,128.35,126.88,125.37,123.87,122.32,120.88,119.49,118.01,116.51,115.11,113.76,112.4,111.06,109.69,108.35,107.02,105.72,104.53,103.28,102.06,100.79,99.51,98.4,97.16,95.95,94.87,93.68,92.53,91.42,90.37,89.38,88.27,87.16,86.18,85.16,84.06,83.0,82.04,81.08,80.12
48,237.22,234.9,232.51,230.16,227.78,225.34,222.87,220.56,218.15,215.71,213.23,210.75,208.36,205.9,203.35,200.94,198.64,196.23,193.84,191.48,189.16,186.96,184.69,182.42,180.18,177.98,175.81,173.7,171.63,169.54,167.51,165.51,163.53,161.56,159.69,157.75,155.74,153.93,152.18,150.32,148.46,146.64,144.88,143.14,141.43,139.73,138.02,136.45,134.84,133.17,131.57,129.98,128.4,126.87,125.37,123.85,122.31,120.86,119.46,118.06,116.57,115.16,113.81,112.35,111.04,109.74,108.38,107.11,105.8,104.53,103.32,102.04,100.79,99.6,98.36,97.16,96.12,94.95,93.71,92.59,91.53,90.48,89.34,88.16,87.14,86.17,85.19,84.22
49,249.92,247.2,244.51,241.89,239.28,236.61,233.95,231.31,228.75,226.14,223.45,220.83,218.24,215.58,212.98,210.51,208.05,205.56,203.05,200.54,198.21,195.83,193.41,190.96,188.64,186.45,184.17,182.03,179.81,177.58,175.46,173.39,171.35,169.3,167.23,165.18,163.21,161.27,159.28,157.34,155.43,153.57,151.7,149.9,148.13,146.36,144.71,142.94,141.13,139.45,137.77,136.09,134.54,132.91,131.31,129.74,128.09,126.6,125.15,123.65,122.13,120.69,119.2,117.73,116.36,114.88,113.53,112.21,110.8,109.54,108.23,106.85,105.61,104.32,103.09,101.95,100.62,99.27,98.15,97.03,95.9,94.78,93.56,92.43,91.4,90.35,89.24,88.13
50,262.83,259.79,256.85,254.08,251.18,248.21,245.36,242.57,239.72,236.89,234.1,231.29,228.51,225.9,223.17,220.46,217.91,215.28,212.64,210.12,207.53,205.04,202.6,200.1,197.69,195.29,193.02,190.7,188.35,186.02,183.81,181.66,179.4,177.27,175.17,172.96,170.79,168.71,166.68,164.79,162.82,160.87,159.01,157.02,155.18,153.41,151.51,149.61,147.85,146.09,144.27,142.62,140.92,139.18,137.55,135.81,134.17,132.63,131.07,129.47,127.85,126.33,124.87,123.38,121.84,120.36,118.95,117.53,116.13,114.72,113.31,111.94,110.6,109.32,108.04,106.68,105.29,104.06,102.88,101.69,100.49,99.24,98.07,96.93,95.7,94.52,93.45,92.33
51,276.64,273.33,270.15,266.98,263.77,260.67,257.63,254.56,251.54,248.65,245.63,242.63,239.85,236.98,234.13,231.38,228.6,225.9,223.15,220.3,217.67,215.15,212.54,209.9,207.32,204.9,202.54,200.11,197.61,195.18,192.86,190.5,188.26,186.06,183.75,181.44,179.2,177.06,175.06,172.97,170.9,168.91,166.81,164.82,162.86,160.89,158.92,157.02,155.12,153.22,151.43,149.63,147.83,146.05,144.25,142.52,140.89,139.23,137.5,135.73,134.13,132.63,131.04,129.42,127.86,126.33,124.81,123.34,121.84,120.33,118.88,117.47,116.15,114.71,113.32,111.96,110.52,109.23,108.04,106.73,105.35,104.08,102.84,101.62,100.38,99.18,97.99,96.81
52,291.89,288.25,284.77,281.31,277.84,274.55,271.32,268.07,264.86,261.64,258.5,255.44,252.43,249.55,246.53,243.55,240.73,237.79,234.88,231.99,229.2,226.47,223.69,220.95,218.3,215.81,213.21,210.57,207.98,205.49,203.05,200.58,198.18,195.88,193.54,191.13,188.77,186.54,184.35,182.12,179.94,177.79,175.65,173.54,171.5,169.41,167.37,165.27,163.3,161.44,159.43,157.54,155.69,153.75,151.89,150.17,148.36,146.51,144.72,142.96,141.25,139.6,137.92,136.29,134.66,133.02,131.38,129.81,128.21,126.66,125.17,123.72,122.24,120.76,119.32,117.85,116.47,115.12,113.7,112.2,110.86,109.59,108.32,106.97,105.65,104.38,103.13,101.89
53,309.32,305.5,301.71,297.95,294.31,290.75,287.27,283.81,280.44,277.16,273.81,270.53,267.45,264.2,260.96,257.93,254.84,251.8,248.76,245.74,242.71,239.78,236.95,234.07,231.3,228.5,225.74,223.03,220.38,217.7,215.04,212.45,209.9,207.4,204.91,202.4,199.95,197.6,195.25,192.84,190.48,188.25,186.0,183.83,181.66,179.44,177.21,175.03,172.99,170.91,168.88,166.94,164.86,162.8,160.94,158.97,157.02,155.23,153.31,151.42,149.66,147.85,146.07,144.3,142.56,140.79,139.11,137.44,135.74,134.15,132.57,130.97,129.39,127.87,126.33,124.81,123.37,121.9,120.36,118.91,117.5,116.09,114.69,113.31,111.95,110.61,109.28,107.97
54,330.55,326.36,322.34,318.39,314.46,310.67,306.94,303.3,299.76,296.19,292.65,289.19,285.7,282.22,278.84,275.53,272.28,269.06,265.8,262.44,259.31,256.29,253.17,250.09,247.07,244.13,241.23,238.35,235.37,232.53,229.78,226.97,224.18,221.51,218.9,216.29,213.7,211.17,208.58,206.01,203.61,201.11,198.7,196.4,194.04,191.75,189.38,187.07,184.88,182.71,180.51,178.27,176.13,174.06,171.95,169.84,167.86,165.85,163.78,161.82,159.87,157.95,156.08,154.17,152.29,150.47,148.68,146.9,145.17,143.43,141.65,139.96,138.35,136.61,134.91,133.46,131.86,130.21,128.71,127.13,125.59,124.16,122.62,121.15,119.69,118.26,116.84,115.44
55,356.8,352.4,348.01,343.77,339.55,335.43,331.4,327.44,323.67,319.8,315.9,312.17,308.51,304.82,301.15,297.55,294.03,290.55,286.99,283.51,280.09,276.69,273.32,270.02,266.78,263.58,260.39,257.25,254.15,251.1,248.14,245.07,242.07,239.21,236.36,233.54,230.75,227.99,225.28,222.57,219.81,217.18,214.61,212.0,209.56,207.07,204.51,202.06,199.71,197.32,194.88,192.58,190.24,187.96,185.7,183.42,181.27,179.02,176.85,174.78,172.63,170.64,168.6,166.54,164.54,162.59,160.7,158.71,156.78,154.9,153.09,151.26,149.38,147.56,145.88,144.09,142.31,140.72,138.98,137.27,135.7,134.01,132.4,130.81,129.24,127.69,126.16,124.65
56,388.41,383.54,378.87,374.23,369.7,365.31,360.89,356.68,352.48,348.17,343.99,339.92,335.94,331.99,327.93,324.05,320.21,316.38,312.53,308.74,305.05,301.31,297.7,294.09,290.47,287.02,283.66,280.25,276.88,273.52,270.2,266.97,263.77,260.54,257.41,254.38,251.31,248.33,245.32,242.35,239.5,236.61,233.64,230.9,228.2,225.38,222.68,220.08,217.52,214.83,212.2,209.7,207.2,204.7,202.26,199.85,197.39,195.0,192.69,190.33,188.08,185.89,183.67,181.45,179.25,177.07,174.9,172.82,170.74,168.73,166.73,164.71,162.69,160.72,158.83,156.94,155.04,153.15,151.34,149.49,147.67,145.9,144.15,142.42,140.71,139.02,137.36,135.71
57,424.79,419.54,414.38,409.44,404.67,399.72,394.97,390.38,385.68,381.04,376.48,372.05,367.68,363.24,358.93,354.7,350.37,346.1,342.01,337.9,333.77,329.77,325.75,321.76,317.92,314.12,310.37,306.75,303.0,299.34,295.79,292.18,288.65,285.19,281.83,278.43,275.06,271.74,268.43,265.28,262.14,258.89,255.83,252.78,249.68,246.72,243.74,240.81,237.89,235.02,232.26,229.48,226.69,224.07,221.37,218.64,216.01,213.4,210.88,208.32,205.89,203.49,200.96,198.53,196.13,193.71,191.44,189.15,186.82,184.62,182.43,180.22,178.07,175.95,173.85,171.68,169.62,167.73,165.67,163.62,161.65,159.72,157.8,155.91,154.04,152.19,150.37,148.56
58,465.62,459.81,454.35,449.01,443.54,438.28,433.13,428.03,422.96,417.86,412.88,407.95,403.09,398.35,393.62,388.85,384.22,379.61,374.99,370.44,365.98,361.63,357.22,352.84,348.57,344.38,340.34,336.32,332.23,328.24,324.28,320.37,316.59,312.83,309.01,305.23,301.59,297.94,294.36,290.92,287.49,284.07,280.61,277.23,273.93,270.5,267.26,264.1,260.89,257.76,254.67,251.66,248.68,245.68,242.71,239.81,236.89,234.04,231.22,228.5,225.82,223.01,220.35,217.74,215.09,212.55,209.99,207.33,204.87,202.48,200.05,197.71,195.31,192.88,190.57,188.3,186.13,183.99,181.74,179.56,177.41,175.28,173.18,171.1,169.05,167.02,165.02,163.04
59,509.55,503.43,497.4,491.35,485.53,479.76,474.05,468.46,462.87,457.38,451.91,446.49,441.2,435.99,430.78,425.71,420.65,415.54,410.48,405.52,400.7,395.87,391.03,386.34,381.65,377.06,372.67,368.15,363.7,359.34,354.98,350.76,346.56,342.33,338.23,334.25,330.19,326.11,322.23,318.43,314.66,310.94,307.21,303.44,299.73,296.22,292.69,289.12,285.67,282.22,278.9,275.59,272.23,268.96,265.7,262.5,259.32,256.21,253.14,250.14,247.14,244.15,241.22,238.32,235.46,232.63,229.85,227.1,224.38,221.64,219.03,216.45,213.74,211.23,208.72,206.17,203.82,201.32,198.9,196.52,194.16,191.84,189.54,187.26,185.02,182.8,180.61,178.44
60,555.35,548.66,541.91,535.47,529.13,522.77,516.63,510.46,504.37,498.34,492.36,486.52,480.81,475.11,469.42,463.85,458.3,452.74,447.31,441.89,436.6,431.4,426.12,420.97,415.95,411.0,406.04,401.12,396.29,391.55,386.9,382.18,377.56,373.1,368.65,364.18,359.75,355.39,351.08,346.93,342.87,338.73,334.59,330.68,326.81,322.83,318.95,315.16,311.33,307.68,304.01,300.26,296.7,293.14,289.53,286.08,282.7,279.26,275.88,272.57,269.31,266.08,262.88,259.68,256.56,253.53,250.53,247.52,244.5,241.63,238.78,235.83,232.99,230.23,227.45,224.74,222.03,219.37,216.74,214.14,211.58,209.04,206.53,204.06,201.61,199.2,196.81,194.45
61,602.77,595.35,588.2,581.28,574.34,567.56,560.7,554.0,547.38,540.85,534.53,528.2,521.88,515.63,509.45,503.37,497.38,491.45,485.45,479.57,473.94,468.19,462.52,457.01,451.5,446.03,440.65,435.43,430.21,425.06,419.92,414.86,409.88,404.9,400.04,395.3,390.52,385.82,381.23,376.6,372.05,367.61,363.31,359.07,354.72,350.39,346.22,342.01,337.99,334.0,329.85,325.97,322.14,318.17,314.38,310.67,306.89,303.18,299.52,295.91,292.37,288.89,285.35,281.92,278.58,275.25,271.96,268.69,265.47,262.24,259.09,255.96,252.93,249.97,246.92,243.99,241.06,238.17,235.32,232.5,229.71,226.96,224.24,221.55,218.89,216.27,213.68,211.12
62,652.14,644.25,636.63,629.0,621.48,614.07,606.81,599.6,592.43,585.42,578.47,571.53,564.72,558.04,551.37,544.83,538.41,531.83,525.34,519.08,512.86,506.69,500.6,494.56,488.53,482.69,476.97,471.24,465.55,459.97,454.48,448.94,443.56,438.23,432.95,427.83,422.7,417.62,412.56,407.63,402.79,397.92,393.2,388.55,383.85,379.28,374.7,370.17,365.77,361.38,357.05,352.79,348.61,344.46,340.29,336.18,332.19,328.18,324.18,320.32,316.49,312.63,308.93,305.25,301.57,297.99,294.36,290.76,287.23,283.81,280.42,277.05,273.77,270.49,267.29,264.08,260.92,257.79,254.7,251.65,248.64,245.66,242.71,239.8,236.93,234.09,231.29,228.51
63,704.16,695.66,687.34,679.12,671.05,663.1,655.24,647.41,639.71,632.07,624.52,617.1,609.74,602.55,595.38,588.32,581.31,574.3,567.38,560.49,553.7,547.04,540.45,533.91,527.51,521.24,515.02,508.86,502.73,496.71,490.72,484.86,479.05,473.21,467.58,461.94,456.35,450.9,445.53,440.24,434.9,429.66,424.59,419.53,414.52,409.53,404.57,399.81,395.08,390.26,385.56,380.96,376.42,371.9,367.4,363.02,358.66,354.36,350.13,345.94,341.75,337.62,333.51,329.52,325.62,321.67,317.81,313.99,310.21,306.54,302.85,299.17,295.65,292.17,288.67,285.21,281.79,278.41,275.08,271.78,268.53,265.31,262.13,258.99,255.89,252.82,249.79,246.8
64,759.42,750.3,741.33,732.54,723.8,715.16,706.67,698.25,689.9,681.69,673.58,665.54,657.64,649.88,642.14,634.47,626.93,619.49,611.97,604.47,597.2,590.06,582.93,575.91,569.09,562.26,555.52,548.88,542.29,535.79,529.37,522.98,516.64,510.42,504.25,498.2,492.28,486.43,480.64,474.87,469.1,463.48,457.99,452.5,447.05,441.69,436.49,431.27,426.01,420.9,415.87,410.92,406.01,401.1,396.26,391.52,386.85,382.22,377.68,373.09,368.52,364.12,359.76,355.45,351.21,347.05,342.9,338.69,334.66,330.69,326.69,322.77,318.87,315.05,311.28,307.55,303.86,300.22,296.62,293.07,289.56,286.09,282.66,279.28,275.93,272.63,269.36,266.13
65,818.93,809.1,799.52,789.92,780.44,771.19,761.91,752.84,743.97,735.13,726.46,717.75,709.26,700.84,692.34,684.11,676.01,667.96,659.91,651.89,644.04,636.3,628.66,621.15,613.62,606.27,599.07,591.88,584.79,577.83,570.87,563.9,557.09,550.44,543.84,537.38,531.02,524.63,518.31,511.99,505.9,499.91,493.85,487.93,482.09,476.34,470.63,464.96,459.41,453.98,448.54,443.1,437.8,432.6,427.4,422.2,417.19,412.28,407.29,402.33,397.49,392.73,388.06,383.41,378.81,374.33,369.82,365.34,360.98,356.65,352.35,348.12,343.95,339.83,335.76,331.74,327.76,323.84,319.96,316.13,312.34,308.6,304.9,301.25,297.64,294.07,290.55,287.07
66,883.73,873.17,862.62,852.35,842.25,832.08,822.18,812.52,802.85,793.29,783.87,774.56,765.36,756.28,747.27,738.33,729.61,720.95,712.14,703.51,695.07,686.73,678.46,670.24,662.24,654.33,646.48,638.74,631.16,623.62,616.04,608.57,601.35,594.12,586.96,580.01,573.06,566.1,559.24,552.57,545.96,539.39,532.96,526.6,520.29,514.08,507.97,501.88,495.9,490.01,484.09,478.25,472.6,466.9,461.19,455.7,450.33,444.92,439.56,434.21,428.96,423.88,418.81,413.82,408.85,403.92,399.1,394.34,389.61,384.97,380.43,375.87,371.37,366.92,362.53,358.18,353.89,349.66,345.47,341.33,337.24,333.2,329.21,325.27,321.37,317.52,313.72,309.96
67,954.95,943.45,932.24,921.16,910.13,899.32,888.64,878.02,867.52,857.28,847.16,837.07,827.19,817.37,807.6,798.06,788.56,779.06,769.65,760.26,751.15,742.18,733.22,724.38,715.73,707.18,698.69,690.41,682.16,673.93,665.76,657.79,649.94,642.16,634.55,626.87,619.21,611.76,604.4,597.2,590.18,583.11,576.1,569.21,562.42,555.8,549.08,542.44,536.0,529.63,523.26,517.02,510.79,504.57,498.56,492.63,486.73,480.85,475.1,469.44,463.81,458.21,452.73,447.25,441.79,436.58,431.45,426.23,421.12,416.11,411.13,406.21,401.34,396.54,391.79,387.1,382.46,377.88,373.36,368.89,364.47,360.1,355.79,351.53,347.32,343.16,339.05,334.99
