,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
19,33.72,24.94,32.97,32.02,34.28,27.96,25.85,21.95,26.14,23.22,22.13,19.78,18.02,16.72,19.82,22.25,17.48,16.84,21.98,16.87,16.84,16.41,16.01,15.62,15.26,14.92,14.59,14.28,13.99,13.71,13.45,13.2,12.97,12.75,12.53,12.33,12.14,11.96,11.79,11.63,11.48,11.33,11.19,11.06,10.92,10.79,10.66,10.53,10.41,10.28,10.16,10.04,9.92,9.8,9.68,9.56,9.45,9.34,9.22,9.11,9.0,8.9,8.79,8.68,8.58,8.48,8.38,8.27,8.18,8.08,7.98,7.88,7.79,7.7,7.6,7.51,7.42,7.33,7.25,7.16,7.07,6.99,6.9,6.82,6.74,6.66,6.58,6.5
20,27.35,26.82,29.33,27.86,27.51,25.2,20.49,22.67,24.35,21.1,18.53,20.43,19.58,18.53,21.26,20.04,17.21,19.92,17.6,17.58,17.15,16.74,16.34,15.97,15.62,15.29,14.97,14.67,14.39,14.12,13.86,13.62,13.39,13.17,12.96,12.76,12.58,12.4,12.23,12.07,11.91,11.77,11.62,11.49,11.35,11.21,11.08,10.94,10.81,10.68,10.55,10.43,10.3,10.18,10.06,9.94,9.82,9.7,9.58,9.47,9.35,9.24,9.13,9.02,8.91,8.81,8.7,8.6,8.49,8.39,8.29,8.19,8.09,8.0,7.9,7.8,7.71,7.62,7.53,7.44,7.35,7.26,7.17,7.09,7.0,6.92,6.83,6.75
21,29.93,27.17,30.47,24.68,22.75,26.66,25.83,24.95,14.82,23.44,21.66,20.49,20.74,16.44,23.34,18.87,21.71,18.04,18.04,17.61,17.19,16.8,16.43,16.08,15.75,15.43,15.13,14.84,14.57,14.31,14.06,13.83,13.6,13.39,13.19,13.0,12.82,12.64,12.48,12.32,12.17,12.02,11.88,11.73,11.59,11.45,11.32,11.18,11.05,10.91,10.78,10.65,10.52,10.4,10.27,10.15,10.03,9.91,9.79,9.67,9.56,9.44,9.33,9.22,9.11,9.0,8.89,8.78,8.68,8.57,8.47,8.37,8.27,8.17,8.07,7.97,7.88,7.78,7.69,7.6,7.51,7.42,7.33,7.24,7.15,7.07,6.98,6.9
22,31.37,29.45,28.14,25.51,25.6,25.89,20.78,18.11,23.42,16.59,21.61,23.75,19.43,21.06,16.48,23.47,18.42,18.43,18.0,17.6,17.21,16.84,16.5,16.16,15.85,15.54,15.26,14.98,14.72,14.47,14.24,14.01,13.8,13.59,13.4,13.21,13.03,12.86,12.7,12.55,12.39,12.25,12.1,11.95,11.81,11.67,11.53,11.39,11.25,11.12,10.99,10.85,10.72,10.59,10.47,10.34,10.22,10.1,9.97,9.85,9.74,9.62,9.5,9.39,9.28,9.17,9.06,8.95,8.84,8.73,8.63,8.53,8.42,8.32,8.22,8.12,8.03,7.93,7.83,7.74,7.65,7.56,7.47,7.38,7.29,7.2,7.11,7.03
23,33.16,30.29,24.31,23.89,24.62,24.93,25.66,23.98,20.0,20.76,23.7,24.62,19.94,20.75,18.18,18.84,18.87,18.46,18.06,17.68,17.32,16.97,16.64,16.33,16.03,15.74,15.47,15.21,14.96,14.72,14.49,14.27,14.07,13.87,13.68,13.49,13.32,13.15,12.99,12.83,12.68,12.53,12.38,12.23,12.08,11.94,11.79,11.65,11.51,11.37,11.24,11.1,10.97,10.84,10.71,10.58,10.45,10.33,10.2,10.08,9.96,9.84,9.72,9.61,9.49,9.38,9.26,9.15,9.04,8.93,8.83,8.72,8.62,8.51,8.41,8.31,8.21,8.11,8.01,7.92,7.82,7.73,7.64,7.55,7.45,7.37,7.28,7.19
24,27.47,27.12,29.6,25.84,22.06,25.84,23.17,20.44,20.87,22.69,20.36,22.95,17.8,22.14,19.59,19.65,19.24,18.85,18.48,18.12,17.78,17.45,17.13,16.83,16.54,16.27,16.0,15.75,15.51,15.27,15.05,14.83,14.63,14.43,14.24,14.06,13.88,13.71,13.55,13.39,13.23,13.07,12.91,12.75,12.6,12.45,12.3,12.15,12.01,11.86,11.72,11.58,11.44,11.3,11.17,11.03,10.9,10.77,10.64,10.51,10.39,10.26,10.14,10.02,9.9,9.78,9.66,9.55,9.43,9.32,9.21,9.1,8.99,8.88,8.77,8.67,8.56,8.46,8.36,8.26,8.16,8.06,7.97,7.87,7.78,7.68,7.59,7.5
25,29.21,23.34,26.32,28.98,25.08,26.09,24.08,24.32,24.19,22.65,24.92,20.63,30.27,20.76,20.87,20.46,20.08,19.71,19.35,19.01,18.68,18.36,18.06,17.76,17.48,17.21,16.95,16.7,16.45,16.22,16.0,15.78,15.57,15.37,15.18,14.99,14.8,14.63,14.45,14.28,14.11,13.94,13.77,13.6,13.44,13.28,13.12,12.96,12.81,12.65,12.5,12.35,12.2,12.06,11.91,11.77,11.63,11.49,11.35,11.21,11.08,10.95,10.82,10.69,10.56,10.43,10.31,10.18,10.06,9.94,9.82,9.7,9.59,9.47,9.36,9.24,9.13,9.02,8.92,8.81,8.7,8.6,8.5,8.39,8.29,8.19,8.1,8.0
26,30.28,32.6,29.09,26.1,27.02,20.18,26.34,25.45,28.45,25.1,24.75,24.98,22.44,22.59,22.19,21.81,21.44,21.09,20.74,20.41,20.09,19.78,19.48,19.19,18.91,18.64,18.37,18.12,17.87,17.63,17.4,17.17,16.96,16.74,16.54,16.34,16.14,15.95,15.76,15.57,15.38,15.19,15.01,14.83,14.65,14.48,14.3,14.13,13.96,13.8,13.63,13.47,13.31,13.15,12.99,12.83,12.68,12.53,12.38,12.23,12.08,11.94,11.79,11.65,11.51,11.37,11.24,11.1,10.97,10.84,10.71,10.58,10.45,10.33,10.2,10.08,9.96,9.84,9.72,9.6,9.49,9.38,9.26,9.15,9.04,8.93,8.83,8.72
27,27.44,28.89,31.13,35.47,26.34,29.0,23.17,24.88,28.73,25.21,26.68,24.58,24.8,24.41,24.04,23.67,23.32,22.97,22.63,22.31,21.99,21.68,21.38,21.09,20.8,20.52,20.25,19.99,19.73,19.48,19.23,18.99,18.76,18.53,18.3,18.08,17.87,17.65,17.44,17.23,17.02,16.82,16.62,16.42,16.22,16.03,15.84,15.65,15.46,15.27,15.09,14.91,14.73,14.55,14.38,14.2,14.03,13.87,13.7,13.54,13.37,13.21,13.05,12.9,12.74,12.59,12.44,12.29,12.14,12.0,11.85,11.71,11.57,11.43,11.29,11.16,11.02,10.89,10.76,10.63,10.5,10.38,10.25,10.13,10.01,9.89,9.77,9.65
28,34.02,35.03,29.38,33.39,32.69,35.26,26.12,32.54,29.1,32.73,27.2,27.5,27.12,26.76,26.4,26.04,25.7,25.36,25.02,24.7,24.38,24.06,23.75,23.45,23.16,22.86,22.58,22.3,22.02,21.75,21.49,21.23,20.97,20.72,20.47,20.22,19.98,19.74,19.5,19.27,19.04,18.81,18.58,18.36,18.14,17.92,17.71,17.49,17.28,17.08,16.87,16.67,16.47,16.27,16.08,15.88,15.69,15.51,15.32,15.14,14.95,14.77,14.6,14.42,14.25,14.08,13.91,13.74,13.58,13.41,13.25,13.09,12.94,12.78,12.63,12.48,12.33,12.18,12.03,11.89,11.75,11.61,11.47,11.33,11.19,11.06,10.93,10.79
29,28.71,30.01,26.56,29.69,35.43,35.18,32.8,26.9,31.6,30.18,30.56,30.2,29.84,29.49,29.14,28.79,28.45,28.11,27.77,27.44,27.12,26.79,26.47,26.16,25.84,25.53,25.23,24.93,24.63,24.33,24.04,23.75,23.47,23.19,22.91,22.63,22.36,22.09,21.83,21.57,21.31,21.05,20.8,20.55,20.3,20.06,19.82,19.58,19.35,19.11,18.88,18.66,18.43,18.21,17.99,17.78,17.56,17.35,17.15,16.94,16.74,16.54,16.34,16.14,15.95,15.76,15.57,15.38,15.2,15.01,14.83,14.66,14.48,14.31,14.13,13.96,13.8,13.63,13.47,13.31,13.15,12.99,12.83,12.68,12.53,12.38,12.23,12.08
