,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
10,0.0,16.04,10.71,26.57,20.46,15.29,20.14,19.92,4.95,14.93,4.91,15.05,15.35,5.18,5.3,10.6,0.0,5.43,5.57,17.2,23.36,0.0,12.12,0.0,0.0,5.56,5.43,26.33,6.17,6.0,5.82,5.65,5.49,5.34,5.21,5.07,4.95,4.84,4.73,4.63,4.53,4.44,4.36,4.28,4.2,4.14,4.07,4.01,3.95,3.9,3.85,3.8,3.75,3.71,3.66,3.62,3.58,3.53,3.49,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.13,3.09,3.06,3.02,2.98,2.95,2.91,2.88,2.84,2.81,2.78,2.74,2.71,2.68,2.64,2.61,2.58,2.55,2.52,2.49,2.46
11,31.51,16.02,5.35,10.62,15.32,15.28,15.09,14.87,4.93,4.96,0.0,5.0,10.2,10.3,15.85,5.28,10.48,10.83,16.66,5.71,5.82,0.0,6.03,17.87,11.54,11.05,5.4,6.66,6.47,6.27,6.08,5.9,5.74,5.58,5.44,5.3,5.18,5.06,4.94,4.84,4.74,4.65,4.56,4.48,4.41,4.34,4.27,4.21,4.15,4.1,4.05,4.0,3.95,3.9,3.86,3.81,3.76,3.72,3.67,3.63,3.59,3.54,3.5,3.46,3.42,3.38,3.34,3.3,3.26,3.22,3.18,3.14,3.1,3.06,3.03,2.99,2.96,2.92,2.89,2.85,2.82,2.78,2.75,2.72,2.68,2.65,2.62,2.59
12,20.97,15.99,21.38,21.19,30.55,20.33,20.04,14.85,9.84,0.0,4.88,14.96,20.34,0.0,26.31,0.0,10.44,16.21,5.54,5.68,11.6,5.99,6.0,17.79,17.23,16.49,7.64,7.4,7.16,6.94,6.73,6.53,6.35,6.17,6.01,5.86,5.72,5.59,5.47,5.35,5.25,5.15,5.05,4.96,4.88,4.81,4.74,4.67,4.61,4.55,4.5,4.44,4.39,4.34,4.29,4.23,4.18,4.13,4.08,4.03,3.99,3.94,3.89,3.84,3.8,3.75,3.71,3.66,3.62,3.58,3.53,3.49,3.45,3.41,3.37,3.33,3.29,3.25,3.21,3.17,3.13,3.09,3.06,3.02,2.98,2.95,2.91,2.88
13,47.11,42.62,26.72,10.58,10.16,10.16,25.0,19.81,24.63,29.61,9.72,14.96,15.25,25.52,15.75,15.71,5.21,5.39,11.02,28.32,5.78,11.93,5.96,5.89,28.52,9.17,8.87,8.56,8.28,8.01,7.76,7.53,7.32,7.12,6.93,6.76,6.59,6.44,6.3,6.17,6.05,5.94,5.83,5.73,5.64,5.56,5.48,5.41,5.34,5.27,5.21,5.15,5.09,5.03,4.96,4.91,4.85,4.79,4.73,4.67,4.62,4.56,4.51,4.45,4.4,4.35,4.3,4.24,4.19,4.14,4.09,4.04,4.0,3.95,3.9,3.85,3.81,3.76,3.72,3.67,3.63,3.58,3.54,3.5,3.46,3.41,3.37,3.33
14,20.91,15.95,10.67,31.64,30.38,30.48,29.98,19.87,24.59,14.78,14.55,24.96,35.49,15.27,15.68,20.91,20.74,21.5,5.49,0.0,0.0,5.94,11.85,5.84,11.36,10.97,10.57,10.19,9.85,9.53,9.23,8.95,8.69,8.45,8.23,8.03,7.83,7.66,7.49,7.34,7.2,7.07,6.94,6.83,6.73,6.63,6.54,6.46,6.38,6.31,6.23,6.16,6.08,6.01,5.94,5.86,5.79,5.73,5.66,5.59,5.52,5.46,5.39,5.33,5.26,5.2,5.14,5.07,5.01,4.95,4.89,4.83,4.78,4.72,4.66,4.61,4.55,4.5,4.44,4.39,4.34,4.29,4.23,4.18,4.13,4.08,4.03,3.99
15,26.1,5.31,26.64,42.22,15.2,15.23,15.1,19.86,49.2,9.84,33.85,29.85,15.18,20.22,20.81,31.29,15.53,21.42,21.9,5.61,11.38,23.58,35.25,14.48,13.95,13.41,12.92,12.46,12.04,11.65,11.28,10.95,10.64,10.35,10.08,9.83,9.6,9.39,9.19,9.01,8.84,8.68,8.54,8.41,8.29,8.18,8.07,7.97,7.88,7.78,7.69,7.6,7.51,7.42,7.33,7.24,7.15,7.07,6.98,6.9,6.82,6.73,6.65,6.57,6.5,6.42,6.34,6.26,6.19,6.11,6.04,5.97,5.9,5.83,5.76,5.69,5.62,5.55,5.49,5.42,5.35,5.29,5.23,5.16,5.1,5.04,4.98,4.92
16,47.08,37.26,58.82,47.66,25.33,35.71,40.34,34.82,39.38,44.17,33.76,29.79,30.21,20.11,20.74,10.41,10.32,26.68,16.35,22.29,16.98,0.0,19.88,19.13,18.37,17.68,17.03,16.44,15.88,15.37,14.9,14.47,14.06,13.69,13.34,13.02,12.73,12.46,12.21,11.97,11.76,11.57,11.39,11.22,11.07,10.93,10.79,10.66,10.54,10.41,10.29,10.16,10.04,9.92,9.8,9.68,9.57,9.45,9.34,9.23,9.12,9.01,8.9,8.79,8.69,8.58,8.48,8.38,8.28,8.18,8.08,7.98,7.89,7.79,7.7,7.61,7.51,7.42,7.34,7.25,7.16,7.07,6.99,6.91,6.82,6.74,6.66,6.58
17,58.5,59.37,70.5,80.13,50.87,71.3,60.7,59.62,73.65,48.83,47.99,44.52,65.19,34.97,41.26,31.09,25.57,42.34,54.09,44.18,28.08,27.61,26.55,25.49,24.5,23.6,22.76,21.98,21.26,20.6,19.99,19.42,18.9,18.42,17.97,17.56,17.18,16.83,16.51,16.21,15.94,15.69,15.46,15.25,15.06,14.87,14.7,14.52,14.34,14.17,14.0,13.83,13.67,13.5,13.34,13.18,13.02,12.87,12.71,12.56,12.41,12.26,12.11,11.97,11.83,11.68,11.54,11.4,11.27,11.13,11.0,10.87,10.74,10.61,10.48,10.35,10.23,10.11,9.99,9.87,9.75,9.63,9.52,9.4,9.29,9.18,9.07,8.96
18,70.94,111.65,72.07,101.03,85.47,86.0,110.7,54.21,67.7,72.3,84.83,72.63,49.08,53.17,30.36,40.46,70.14,46.62,42.25,37.87,34.03,32.71,31.39,30.17,29.04,28.01,27.05,26.16,25.34,24.58,23.88,23.23,22.64,22.09,21.58,21.11,20.68,20.28,19.92,19.58,19.28,18.99,18.74,18.5,18.27,18.05,17.84,17.62,17.41,17.2,16.99,16.79,16.59,16.39,16.19,16.0,15.81,15.62,15.43,15.24,15.06,14.88,14.7,14.53,14.35,14.18,14.01,13.84,13.68,13.51,13.35,13.19,13.03,12.87,12.72,12.57,12.42,12.27,12.12,11.97,11.83,11.69,11.55,11.41,11.27,11.14,11.0,10.87
19,117.04,124.35,86.78,66.71,64.24,112.85,78.11,85.21,46.89,101.36,53.42,91.88,31.62,45.93,28.64,52.65,47.84,48.77,79.6,39.94,38.4,36.87,35.44,34.13,32.92,31.8,30.76,29.8,28.91,28.1,27.34,26.64,25.99,25.4,24.85,24.34,23.88,23.45,23.06,22.7,22.37,22.06,21.78,21.51,21.26,21.0,20.75,20.5,20.25,20.01,19.77,19.53,19.3,19.07,18.84,18.61,18.39,18.17,17.95,17.74,17.52,17.31,17.11,16.9,16.7,16.5,16.3,16.1,15.91,15.72,15.53,15.34,15.16,14.98,14.8,14.62,14.45,14.27,14.1,13.93,13.76,13.6,13.44,13.27,13.12,12.96,12.8,12.65
