,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
10,14.5,10.89,15.04,11.15,13.36,9.31,13.91,7.92,13.7,11.71,6.99,12.18,11.65,8.15,8.85,7.7,11.87,8.05,7.88,7.17,4.57,7.46,8.86,6.51,5.47,5.53,4.31,7.55,5.17,5.23,5.13,5.02,4.9,4.79,4.68,4.57,4.52,4.51,4.4,4.29,4.31,4.19,3.99,3.92,3.93,3.86,3.72,3.65,3.58,3.5,3.49,3.41,3.32,3.3,3.28,3.25,3.23,3.2,3.17,3.14,3.12,3.04,2.97,2.96,2.96,2.96,2.9,2.78,2.73,2.68,2.62,2.63,2.58,2.52,2.53,2.54,2.47,2.41,2.41,2.41,2.4,2.26,2.13,2.12,2.11,2.1,2.09,2.09
11,9.56,10.88,10.31,14.35,7.66,9.87,12.79,12.82,11.52,12.25,6.69,11.05,7.48,9.24,9.94,9.64,9.01,9.74,6.38,8.92,6.37,8.04,4.86,5.0,8.3,8.26,5.89,5.74,5.73,5.59,5.48,5.37,5.25,5.09,4.99,4.94,4.83,4.69,4.59,4.55,4.5,4.38,4.32,4.33,4.26,4.19,4.12,3.98,3.91,3.9,3.82,3.74,3.72,3.7,3.61,3.51,3.48,3.45,3.42,3.39,3.37,3.29,3.21,3.21,3.21,3.14,3.09,3.03,2.98,2.99,3.01,2.95,2.83,2.78,2.79,2.79,2.8,2.8,2.8,2.8,2.59,2.39,2.38,2.37,2.37,2.36,2.35,2.34
12,13.31,12.63,12.95,9.65,11.63,15.78,13.59,9.55,10.7,11.15,14.94,13.2,12.71,9.19,12.14,7.91,10.37,9.4,8.96,8.88,6.34,4.92,6.95,6.43,8.54,5.47,6.65,6.56,6.35,6.21,6.08,5.97,5.86,5.77,5.6,5.43,5.33,5.21,5.18,5.15,5.03,4.98,4.93,4.8,4.73,4.66,4.53,4.46,4.45,4.44,4.43,4.41,4.32,4.16,4.07,4.04,4.0,3.97,3.93,3.9,3.81,3.73,3.71,3.71,3.71,3.64,3.52,3.47,3.48,3.5,3.45,3.33,3.28,3.3,3.24,3.12,3.05,3.06,3.06,2.99,2.92,2.91,2.9,2.89,2.82,2.74,2.73,2.72
13,14.45,14.67,13.52,14.31,13.88,11.25,11.93,10.37,12.61,9.77,12.28,12.64,12.11,10.79,10.97,10.69,8.36,7.66,8.34,8.55,11.11,12.22,8.41,6.98,8.21,7.93,7.88,7.63,7.4,7.19,7.05,6.93,6.76,6.5,6.34,6.3,6.21,6.18,6.11,5.95,5.9,5.79,5.6,5.54,5.47,5.34,5.27,5.27,5.26,5.19,5.1,5.01,4.92,4.89,4.86,4.83,4.78,4.74,4.7,4.66,4.57,4.42,4.34,4.33,4.26,4.2,4.15,4.1,4.11,4.07,4.02,3.97,3.92,3.87,3.75,3.63,3.57,3.57,3.57,3.57,3.56,3.56,3.48,3.34,3.26,3.25,3.24,3.22
14,17.89,20.81,15.29,13.42,14.14,13.79,12.2,18.26,14.76,11.97,13.33,12.32,13.14,8.54,13.44,14.27,9.43,8.76,11.17,11.72,11.05,11.24,10.16,9.26,9.49,9.53,9.3,9.01,8.71,8.48,8.26,8.06,7.85,7.67,7.52,7.36,7.22,7.15,6.97,6.82,6.7,6.59,6.55,6.41,6.35,6.28,6.21,6.21,6.14,5.99,5.91,5.88,5.86,5.82,5.78,5.74,5.69,5.64,5.59,5.42,5.19,5.1,5.08,5.07,5.07,4.95,4.83,4.85,4.87,4.82,4.72,4.67,4.69,4.58,4.4,4.34,4.35,4.28,4.22,4.21,4.21,4.13,4.06,4.04,3.96,3.88,3.87,3.85
15,22.47,27.22,17.04,20.11,13.89,18.53,13.87,16.28,17.72,13.27,18.05,12.77,15.75,14.48,15.58,9.16,11.61,12.95,13.11,15.45,12.46,9.37,13.07,11.11,11.12,10.9,10.64,10.32,10.01,9.77,9.58,9.43,9.24,8.96,8.69,8.53,8.41,8.24,8.09,7.87,7.76,7.66,7.55,7.56,7.42,7.29,7.29,7.22,7.01,6.86,6.84,6.75,6.65,6.61,6.57,6.52,6.46,6.4,6.28,6.17,6.13,6.04,5.95,5.94,5.88,5.75,5.7,5.72,5.68,5.57,5.53,5.56,5.39,5.21,5.23,5.17,5.05,4.99,4.99,4.98,4.91,4.83,4.82,4.68,4.53,4.51,4.5,4.41
16,23.3,31.3,22.6,20.72,25.09,25.28,19.28,23.47,23.56,17.83,18.18,13.71,19.08,17.62,12.67,11.07,13.78,18.48,14.73,14.18,15.63,14.11,12.91,12.84,12.53,12.2,11.83,11.55,11.36,11.04,10.77,10.55,10.31,10.11,9.98,9.82,9.66,9.46,9.26,9.13,9.01,8.92,8.81,8.69,8.62,8.56,8.42,8.22,8.01,7.92,7.83,7.74,7.63,7.52,7.47,7.42,7.29,7.16,7.1,7.04,6.94,6.84,6.75,6.67,6.61,6.49,6.44,6.46,6.35,6.25,6.28,6.18,6.08,6.1,5.99,5.87,5.88,5.82,5.75,5.68,5.61,5.6,5.45,5.3,5.29,5.27,5.18,5.1
17,32.22,31.87,22.71,26.99,29.02,27.03,22.7,24.05,24.55,25.44,22.14,18.94,23.45,17.66,17.28,13.23,16.15,15.27,14.61,16.38,15.49,14.67,14.58,14.26,13.84,13.41,13.14,12.9,12.56,12.23,11.94,11.77,11.55,11.25,11.05,10.91,10.7,10.6,10.42,10.22,10.12,9.89,9.79,9.73,9.6,9.54,9.4,9.2,9.12,9.04,8.95,8.85,8.74,8.62,8.5,8.37,8.23,8.16,8.09,8.03,7.98,7.75,7.53,7.52,7.39,7.21,7.16,7.12,7.02,6.99,6.89,6.79,6.82,6.72,6.61,6.56,6.44,6.38,6.38,6.31,6.23,6.15,6.07,6.05,5.97,5.88,5.86,5.83
18,29.68,39.05,29.77,27.15,26.45,27.79,27.38,26.24,26.56,27.87,22.92,22.01,18.8,15.12,18.24,19.91,20.81,21.66,20.54,21.86,16.23,16.0,15.61,15.27,14.9,14.57,14.21,13.88,13.6,13.32,13.13,12.84,12.51,12.28,12.04,11.83,11.71,11.5,11.28,11.15,10.98,10.83,10.73,10.61,10.55,10.35,10.15,10.15,10.01,9.85,9.83,9.72,9.54,9.42,9.36,9.29,9.21,9.13,8.99,8.86,8.68,8.51,8.48,8.34,8.15,8.1,8.05,7.95,7.85,7.63,7.48,7.45,7.35,7.25,7.14,7.03,6.98,6.98,6.91,6.78,6.7,6.69,6.67,6.52,6.37,6.35,6.32,6.3
19,34.45,24.48,32.55,29.73,34.3,28.28,25.62,24.54,27.08,22.54,24.71,21.91,20.3,18.81,20.82,22.67,18.78,18.58,22.0,17.49,17.25,16.76,16.52,16.17,15.78,15.37,14.99,14.71,14.36,14.01,13.75,13.52,13.27,13.0,12.81,12.68,12.51,12.26,12.06,11.94,11.77,11.63,11.46,11.34,11.14,10.95,10.89,10.75,10.61,10.53,10.43,10.26,10.08,9.96,9.9,9.82,9.74,9.6,9.39,9.26,9.2,9.15,9.06,8.92,8.86,8.8,8.69,8.6,8.38,8.23,8.14,8.05,7.95,7.86,7.82,7.64,7.53,7.41,7.21,7.14,7.13,7.05,6.91,6.82,6.8,6.71,6.62,6.54
